Year_Month,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-04,1605594,536170,1605594,536170,2141764,0.7496596263640625,0.2503403736359375,All
2024-05,1883368,576665,1883368,576665,2460033,0.7655864779049711,0.2344135220950288,All
2024-06,2162605,696958,2162605,696958,2859563,0.7562711505219504,0.24372884947804963,All
2024-07,2949659,855758,2949659,855758,3805417,0.7751210971097254,0.22487890289027457,All
2024-08,3648992,1342174,3648992,1342174,4991166,0.7310900899709607,0.2689099100290393,All
2024-09,4621365,2189182,4621365,2189182,6810547,0.6785600334305012,0.32143996656949875,All
2024-10,4226167,2572921,4226167,2572921,6799088,0.6215785117062759,0.3784214882937241,All
2024-11,759939,451201,759939,451201,1211140,0.6274576019287613,0.3725423980712387,All
2024-04,35597,9530,35597,9530,45127,0.7888182241230306,0.21118177587696943,Small
2024-05,43217,11211,43217,11211,54428,0.7940214595428824,0.20597854045711766,Small
2024-06,67594,13164,67594,13164,80758,0.8369944773273236,0.1630055226726764,Small
2024-07,115730,47698,115730,47698,163428,0.7081405879041535,0.2918594120958465,Small
2024-08,195272,59335,195272,59335,254607,0.7669545613435609,0.23304543865643915,Small
2024-09,272596,91060,272596,91060,363656,0.7495985216798293,0.25040147832017073,Small
2024-10,441272,225359,441272,225359,666631,0.6619434139726476,0.33805658602735245,Small
2024-11,106116,56174,106116,56174,162290,0.653866535214739,0.34613346478526097,Small
2024-04,178421,95100,178421,95100,273521,0.6523118883010811,0.3476881116989189,Medium
2024-05,207133,95941,207133,95941,303074,0.6834403479018325,0.31655965209816744,Medium
2024-06,282739,125202,282739,125202,407941,0.6930879710546378,0.3069120289453622,Medium
2024-07,401135,192737,401135,192737,593872,0.6754570008351968,0.32454299916480317,Medium
2024-08,628809,297955,628809,297955,926764,0.6784995964452655,0.3215004035547345,Medium
2024-09,736218,477521,736218,477521,1213739,0.6065702758171237,0.3934297241828762,Medium
2024-10,851883,575064,851883,575064,1426947,0.596996945226417,0.40300305477358306,Medium
2024-11,148777,104725,148777,104725,253502,0.5868868884663632,0.41311311153363683,Medium
2024-04,1391576,404790,1391576,404790,1796366,0.7746617337446823,0.2253382662553177,Large
2024-05,1622235,468263,1622235,468263,2090498,0.7760040908912613,0.22399590910873868,Large
2024-06,1794647,557523,1794647,557523,2352170,0.7629750400693828,0.23702495993061726,Large
2024-07,2420594,615123,2420594,615123,3035717,0.7973714282326053,0.20262857176739466,Large
2024-08,2824911,984858,2824911,984858,3809769,0.7414914132589141,0.2585085867410859,Large
2024-09,3612551,1619428,3612551,1619428,5231979,0.6904750573349013,0.3095249426650986,Large
2024-10,2933012,1766352,2933012,1766352,4699364,0.6241295630642785,0.37587043693572153,Large
2024-11,505046,289801,505046,289801,794847,0.6354002720020331,0.3645997279979669,Large
