Year_Week,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-W14,174759,87503,174759,87503,262262,0.6663527312382275,0.3336472687617726,All
2024-W15,454879,177875,454879,177875,632754,0.718887592966619,0.2811124070333811,All
2024-W16,406776,103316,406776,103316,510092,0.7974561451659701,0.20254385483402995,All
2024-W17,388213,123487,388213,123487,511700,0.7586730506155951,0.24132694938440494,All
2024-W18,486881,162845,486881,162845,649726,0.7493635778774437,0.25063642212255627,All
2024-W19,431342,88630,431342,88630,519972,0.8295485141507619,0.17045148584923803,All
2024-W20,379741,125461,379741,125461,505202,0.7516617115530025,0.24833828844699743,All
2024-W21,337913,142213,337913,142213,480126,0.7038006689910565,0.29619933100894347,All
2024-W22,479469,116229,479469,116229,595698,0.8048860328555745,0.19511396714442553,All
2024-W23,422104,111782,422104,111782,533886,0.7906257141037599,0.20937428589624002,All
2024-W24,350652,73666,350652,73666,424318,0.826389641730966,0.17361035826903407,All
2024-W25,438670,96852,438670,96852,535522,0.8191446849989357,0.1808553150010644,All
2024-W26,900168,399934,900168,399934,1300102,0.6923825976731056,0.30761740232689433,All
2024-W27,301966,69685,301966,69685,371651,0.8124988228203341,0.18750117717966586,All
2024-W28,485936,151912,485936,151912,637848,0.761836675822453,0.23816332417754701,All
2024-W29,536595,214543,536595,214543,751138,0.7143760534016386,0.28562394659836143,All
2024-W30,774317,237736,774317,237736,1012053,0.7650953062734857,0.23490469372651432,All
2024-W31,1227348,288151,1227348,288151,1515499,0.8098639458026696,0.19013605419733037,All
2024-W32,694836,267540,694836,267540,962376,0.7220005486421108,0.2779994513578892,All
2024-W33,652617,361648,652617,361648,1014265,0.6434383519100038,0.3565616480899962,All
2024-W34,1073780,300836,1073780,300836,1374616,0.7811490627200615,0.21885093727993854,All
2024-W35,921584,326815,921584,326815,1248399,0.7382127028297844,0.2617872971702156,All
2024-W36,795137,416967,795137,416967,1212104,0.6559973401622303,0.3440026598377697,All
2024-W37,1060771,441906,1060771,441906,1502677,0.7059208332861953,0.29407916671380474,All
2024-W38,1015581,444555,1015581,444555,1460136,0.6955386347573103,0.30446136524268974,All
2024-W39,1198487,612205,1198487,612205,1810692,0.6618944580304105,0.33810554196958953,All
2024-W40,1006918,590213,1006918,590213,1597131,0.630454233246991,0.369545766753009,All
2024-W41,941205,469104,941205,469104,1410309,0.6673750220696315,0.33262497793036844,All
2024-W42,957200,578042,957200,578042,1535242,0.6234847665710032,0.37651523342899684,All
2024-W43,936055,670609,936055,670609,1606664,0.5826078134569518,0.4173921865430482,All
2024-W44,1363272,731900,1363272,731900,2095172,0.650673071232338,0.349326928767662,All
2024-W45,262517,236869,262517,236869,499386,0.5256795344683272,0.4743204655316729,All
2024-W14,4644,1885,4644,1885,6529,0.7112880992495022,0.2887119007504978,Small
2024-W15,9125,2707,9125,2707,11832,0.7712136578769438,0.22878634212305612,Small
2024-W16,9034,1835,9034,1835,10869,0.8311712209034869,0.16882877909651303,Small
2024-W17,8584,2071,8584,2071,10655,0.805631159080244,0.19436884091975598,Small
2024-W18,8902,2881,8902,2881,11783,0.755495204956293,0.24450479504370703,Small
2024-W19,9262,2392,9262,2392,11654,0.7947485841771066,0.20525141582289344,Small
2024-W20,7343,3379,7343,3379,10722,0.6848535720947584,0.31514642790524156,Small
2024-W21,9976,1809,9976,1809,11785,0.8464997878659313,0.15350021213406873,Small
2024-W22,13880,2185,13880,2185,16065,0.8639900404606287,0.1360099595393713,Small
2024-W23,12032,1556,12032,1556,13588,0.885487194583456,0.114512805416544,Small
2024-W24,10842,1029,10842,1029,11871,0.9133181703310589,0.08668182966894111,Small
2024-W25,17166,1353,17166,1353,18519,0.9269398995626114,0.07306010043738863,Small
2024-W26,25618,8823,25618,8823,34441,0.7438227693737116,0.25617723062628844,Small
2024-W27,8866,1723,8866,1723,10589,0.8372839739352158,0.16271602606478422,Small
2024-W28,16131,8363,16131,8363,24494,0.658569445578509,0.34143055442149095,Small
2024-W29,24662,15552,24662,15552,40214,0.6132690107922614,0.3867309892077386,Small
2024-W30,32513,12581,32513,12581,45094,0.7210050117532266,0.27899498824677343,Small
2024-W31,53720,12724,53720,12724,66444,0.8085003913069653,0.19149960869303473,Small
2024-W32,35937,15141,35937,15141,51078,0.70357100904499,0.29642899095500996,Small
2024-W33,31641,13764,31641,13764,45405,0.6968615791212421,0.30313842087875786,Small
2024-W34,60828,14463,60828,14463,75291,0.8079053273299598,0.19209467267004024,Small
2024-W35,50121,16277,50121,16277,66398,0.7548570740082533,0.24514292599174675,Small
2024-W36,37500,20298,37500,20298,57798,0.6488113775563168,0.35118862244368315,Small
2024-W37,60866,18651,60866,18651,79517,0.7654463825345523,0.23455361746544764,Small
2024-W38,65085,15354,65085,15354,80439,0.8091224406071682,0.19087755939283182,Small
2024-W39,79117,23050,79117,23050,102167,0.7743889905742559,0.22561100942574414,Small
2024-W40,73626,33646,73626,33646,107272,0.686348721008278,0.31365127899172196,Small
2024-W41,84969,33668,84969,33668,118637,0.7162099513642456,0.28379004863575447,Small
2024-W42,95303,51260,95303,51260,146563,0.6502527923145678,0.3497472076854322,Small
2024-W43,113060,56553,113060,56553,169613,0.6665762647910243,0.3334237352089757,Small
2024-W44,170490,82693,170490,82693,253183,0.6733864437975694,0.32661355620243065,Small
2024-W45,36551,33865,36551,33865,70416,0.5190723699159282,0.4809276300840718,Small
2024-W14,21548,15574,21548,15574,37122,0.5804644146328323,0.41953558536716773,Medium
2024-W15,51649,28404,51649,28404,80053,0.6451850648945074,0.3548149351054926,Medium
2024-W16,45236,22900,45236,22900,68136,0.6639074791593284,0.3360925208406716,Medium
2024-W17,41854,20192,41854,20192,62046,0.674564033136705,0.32543596686329496,Medium
2024-W18,44356,24522,44356,24522,68878,0.643979209617004,0.356020790382996,Medium
2024-W19,44599,18122,44599,18122,62721,0.7110696576904068,0.2889303423095933,Medium
2024-W20,40572,23996,40572,23996,64568,0.6283607979184735,0.37163920208152645,Medium
2024-W21,45783,18958,45783,18958,64741,0.7071716532027618,0.29282834679723824,Medium
2024-W22,57276,22441,57276,22441,79717,0.718491664262328,0.28150833573767203,Medium
2024-W23,50872,10028,50872,10028,60900,0.835336617405583,0.16466338259441707,Medium
2024-W24,50281,11479,50281,11479,61760,0.8141353626943005,0.1858646373056995,Medium
2024-W25,67729,17041,67729,17041,84770,0.7989736935236522,0.20102630647634775,Medium
2024-W26,106538,82586,106538,82586,189124,0.5633235337662063,0.4366764662337937,Medium
2024-W27,39449,6223,39449,6223,45672,0.8637458399019092,0.13625416009809074,Medium
2024-W28,59993,35467,59993,35467,95460,0.6284621831133459,0.3715378168866541,Medium
2024-W29,77823,59537,77823,59537,137360,0.5665623179965056,0.4334376820034945,Medium
2024-W30,111049,49221,111049,49221,160270,0.6928870031821301,0.30711299681786985,Medium
2024-W31,186915,61092,186915,61092,248007,0.75366824323507,0.24633175676493002,Medium
2024-W32,114306,65247,114306,65247,179553,0.636614258742544,0.36338574125745604,Medium
2024-W33,102404,71102,102404,71102,173506,0.5902043733357925,0.4097956266642076,Medium
2024-W34,196888,74550,196888,74550,271438,0.7253516456796764,0.2746483543203236,Medium
2024-W35,151953,71899,151953,71899,223852,0.6788101066776263,0.3211898933223737,Medium
2024-W36,126283,94777,126283,94777,221060,0.5712611960553696,0.42873880394463043,Medium
2024-W37,169294,99747,169294,99747,269041,0.6292498169423991,0.3707501830576009,Medium
2024-W38,170747,86989,170747,86989,257736,0.6624879721885961,0.33751202781140394,Medium
2024-W39,190890,137719,190890,137719,328609,0.5809031402061416,0.41909685979385836,Medium
2024-W40,181006,123480,181006,123480,304486,0.5944641132925652,0.40553588670743485,Medium
2024-W41,178744,105918,178744,105918,284662,0.6279166169000429,0.37208338309995714,Medium
2024-W42,194150,124075,194150,124075,318225,0.6101029146044465,0.38989708539555346,Medium
2024-W43,205183,151820,205183,151820,357003,0.5747374671921525,0.42526253280784754,Medium
2024-W44,262449,173733,262449,173733,436182,0.6016960809937136,0.39830391900628637,Medium
2024-W45,47296,55406,47296,55406,102702,0.46051683511518765,0.5394831648848124,Medium
2024-W14,148567,70044,148567,70044,218611,0.6795952628184309,0.3204047371815691,Large
2024-W15,394105,132814,394105,132814,526919,0.7479422833490537,0.25205771665094634,Large
2024-W16,352506,78581,352506,78581,431087,0.8177142896909441,0.18228571030905594,Large
2024-W17,337775,91724,337775,91724,429499,0.7864395493353884,0.21356045066461155,Large
2024-W18,433623,130892,433623,130892,564515,0.7681337076959868,0.23186629230401318,Large
2024-W19,373298,68116,373298,68116,441414,0.8456868155518402,0.15431318444815978,Large
2024-W20,331826,98086,331826,98086,429912,0.7718463313422281,0.2281536686577718,Large
2024-W21,282154,121446,282154,121446,403600,0.6990931615460853,0.30090683845391475,Large
2024-W22,401713,91603,401713,91603,493316,0.8143117190603995,0.18568828093960058,Large
2024-W23,354200,100198,354200,100198,454398,0.7794928674862125,0.22050713251378748,Large
2024-W24,289529,61158,289529,61158,350687,0.8256051692820093,0.1743948307179907,Large
2024-W25,347100,77389,347100,77389,424489,0.8176890331669372,0.1823109668330628,Large
