Year_Date,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-04-03,39864.0,17206.0,39864.0,17206.0,57070.0,0.6985106010162958,0.3014893989837042,All
2024-04-04,35499.0,19761.0,75363.0,36967.0,112330.0,0.6709071485800766,0.3290928514199234,All
2024-04-05,56580.0,41421.0,131943.0,78388.0,210331.0,0.6273112380010555,0.3726887619989445,All
2024-04-06,22088.0,4590.0,154031.0,82978.0,237009.0,0.6498951516609074,0.3501048483390926,All
2024-04-07,20728.0,4525.0,174759.0,87503.0,262262.0,0.6663527312382275,0.3336472687617726,All
2024-04-08,61099.0,44622.0,235858.0,132125.0,367983.0,0.6409480872757709,0.3590519127242291,All
2024-04-09,93499.0,37098.0,329357.0,169223.0,498580.0,0.6605900758153155,0.3394099241846845,All
2024-04-10,147476.0,40681.0,476833.0,209904.0,686737.0,0.6943458703987115,0.3056541296012884,All
2024-04-11,51818.0,34290.0,528651.0,244194.0,772845.0,0.6840323738912718,0.3159676261087281,All
2024-04-12,44552.0,9789.0,573203.0,253983.0,827186.0,0.692955393345632,0.3070446066543679,All
2024-04-13,24766.0,5529.0,597969.0,259512.0,857481.0,0.6973553932973442,0.3026446067026558,All
2024-04-14,31669.0,5866.0,629638.0,265378.0,895016.0,0.7034935688300544,0.2965064311699456,All
2024-04-15,90356.0,13709.0,719994.0,279087.0,999081.0,0.7206562831241912,0.2793437168758089,All
2024-04-16,38785.0,11672.0,758779.0,290759.0,1049538.0,0.7229647711659797,0.2770352288340203,All
2024-04-17,110077.0,19389.0,868856.0,310148.0,1179004.0,0.7369406719570077,0.2630593280429922,All
2024-04-18,63820.0,10424.0,932676.0,320572.0,1253248.0,0.7442070523950567,0.2557929476049433,All
2024-04-19,55038.0,31687.0,987714.0,352259.0,1339973.0,0.7371148523141884,0.2628851476858115,All
2024-04-20,25582.0,8142.0,1013296.0,360401.0,1373697.0,0.737641561421478,0.262358438578522,All
2024-04-21,23118.0,8293.0,1036414.0,368694.0,1405108.0,0.7376045115393265,0.2623954884606735,All
2024-04-22,121734.0,21828.0,1158148.0,390522.0,1548670.0,0.7478339478391136,0.2521660521608864,All
2024-04-23,80632.0,12177.0,1238780.0,402699.0,1641479.0,0.7546730722720181,0.2453269277279819,All
2024-04-24,62673.0,23407.0,1301453.0,426106.0,1727559.0,0.7533479319664336,0.2466520680335664,All
2024-04-25,40765.0,23513.0,1342218.0,449619.0,1791837.0,0.7490737159685842,0.2509262840314158,All
2024-04-26,24066.0,33022.0,1366284.0,482641.0,1848925.0,0.7389612883161837,0.2610387116838162,All
2024-04-27,19205.0,3821.0,1385489.0,486462.0,1871951.0,0.7401310183866993,0.2598689816133008,All
2024-04-28,39138.0,5719.0,1424627.0,492181.0,1916808.0,0.743228847125012,0.256771152874988,All
2024-04-29,111863.0,25297.0,1536490.0,517478.0,2053968.0,0.748059366066073,0.2519406339339269,All
2024-04-30,69104.0,18692.0,1605594.0,536170.0,2141764.0,0.7496596263640625,0.2503403736359375,All
2024-05-01,84661.0,49817.0,1690255.0,585987.0,2276242.0,0.7425638398729133,0.2574361601270866,All
2024-05-02,103136.0,37548.0,1793391.0,623535.0,2416926.0,0.7420132018936451,0.2579867981063549,All
2024-05-03,47308.0,20142.0,1840699.0,643677.0,2484376.0,0.7409099910802551,0.2590900089197448,All
2024-05-04,29084.0,5453.0,1869783.0,649130.0,2518913.0,0.7422975704202567,0.2577024295797433,All
2024-05-05,41725.0,5896.0,1911508.0,655026.0,2566534.0,0.7447818731409753,0.2552181268590247,All
2024-05-06,109597.0,13570.0,2021105.0,668596.0,2689701.0,0.7514236712556526,0.2485763287443474,All
2024-05-07,57045.0,16805.0,2078150.0,685401.0,2763551.0,0.7519853984963548,0.2480146015036451,All
2024-05-08,68063.0,18216.0,2146213.0,703617.0,2849830.0,0.7531021148629918,0.2468978851370081,All
2024-05-09,86668.0,14384.0,2232881.0,718001.0,2950882.0,0.7566825782935407,0.2433174217064592,All
2024-05-10,55345.0,14677.0,2288226.0,732678.0,3020904.0,0.7574639909113299,0.2425360090886701,All
2024-05-11,35415.0,5793.0,2323641.0,738471.0,3062112.0,0.7588360582499921,0.2411639417500078,All
2024-05-12,19209.0,5185.0,2342850.0,743656.0,3086506.0,0.7590621887661971,0.2409378112338029,All
2024-05-13,53171.0,17517.0,2396021.0,761173.0,3157194.0,0.758908385103988,0.241091614896012,All
2024-05-14,66935.0,20538.0,2462956.0,781711.0,3244667.0,0.7590782043272853,0.2409217956727146,All
2024-05-15,65758.0,15308.0,2528714.0,797019.0,3325733.0,0.7603478691765093,0.2396521308234906,All
2024-05-16,87597.0,28034.0,2616311.0,825053.0,3441364.0,0.760254073675438,0.239745926324562,All
2024-05-17,40285.0,29670.0,2656596.0,854723.0,3511319.0,0.7565806467598074,0.2434193532401926,All
2024-05-18,37914.0,8741.0,2694510.0,863464.0,3557974.0,0.7573158207451769,0.2426841792548231,All
2024-05-19,28081.0,5653.0,2722591.0,869117.0,3591708.0,0.7580212533981048,0.2419787466018952,All
2024-05-20,61500.0,57879.0,2784091.0,926996.0,3711087.0,0.7502090357892445,0.2497909642107555,All
2024-05-21,71859.0,24648.0,2855950.0,951644.0,3807594.0,0.7500668401095285,0.2499331598904715,All
2024-05-22,45028.0,18626.0,2900978.0,970270.0,3871248.0,0.7493650626361318,0.2506349373638682,All
2024-05-23,63790.0,14680.0,2964768.0,984950.0,3949718.0,0.7506277663367359,0.249372233663264,All
2024-05-24,31779.0,11525.0,2996547.0,996475.0,3993022.0,0.75044590287757,0.24955409712243,All
2024-05-25,28793.0,10123.0,3025340.0,1006598.0,4031938.0,0.750343879295763,0.249656120704237,All
