Year_Month,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-04,1605594,536170,1605594,536170,2141764,0.7496596263640625,0.2503403736359375,All
2024-05,1883368,576665,3488962,1112835,4601797,0.758173817749892,0.2418261822501079,All
2024-06,2162605,696958,5651567,1809793,7461360,0.7574446213558922,0.2425553786441077,All
2024-07,2949659,855758,8601226,2665551,11266777,0.763414949989691,0.236585050010309,All
2024-08,3648992,1342174,12250218,4007725,16257943,0.7534912627015607,0.2465087372984392,All
2024-09,4621365,2189182,16871583,6196907,23068490,0.7313691966834414,0.2686308033165586,All
2024-10,4226167,2572921,21097750,8769828,29867578,0.70637632552596,0.29362367447404,All
2024-11,759939,451201,21857689,9221029,31078718,0.7033008568757566,0.2966991431242434,All
2024-04,35597,9530,35597,9530,45127,0.7888182241230306,0.21118177587696943,Small
2024-05,43217,11211,78814,20741,99555,0.7916628999045754,0.20833710009542464,Small
2024-06,67594,13164,146408,33905,180313,0.8119658593667678,0.1880341406332322,Small
2024-07,115730,47698,262138,81603,343741,0.7626032390666229,0.23739676093337717,Small
2024-08,195272,59335,457410,140938,598348,0.7644547988795818,0.2355452011204182,Small
2024-09,272596,91060,730006,231998,962004,0.7588388405869414,0.24116115941305857,Small
2024-10,441272,225359,1171278,457357,1628635,0.7191777163084423,0.28082228369155765,Small
2024-11,106116,56174,1277394,513531,1790925,0.713259349218979,0.28674065078102096,Small
2024-04,178421,95100,178421,95100,273521,0.6523118883010811,0.3476881116989189,Medium
2024-05,207133,95941,385554,191041,576595,0.6686738525308058,0.33132614746919414,Medium
2024-06,282739,125202,668293,316243,984536,0.6787898055530727,0.3212101944469273,Medium
2024-07,401135,192737,1069428,508980,1578408,0.6775358462450773,0.32246415375492266,Medium
2024-08,628809,297955,1698237,806935,2505172,0.6778923762520098,0.3221076237479902,Medium
2024-09,736218,477521,2434455,1284456,3718911,0.6546150203648327,0.3453849796351674,Medium
2024-10,851883,575064,3286338,1859520,5145858,0.6386375216727707,0.3613624783272294,Medium
2024-11,148777,104725,3435115,1964245,5399360,0.6362078098144965,0.36379219018550346,Medium
2024-04,1391576,404790,1391576,404790,1796366,0.7746617337446823,0.2253382662553177,Large
2024-05,1622235,468263,3013811,873053,3886864,0.775383702645629,0.22461629735437103,Large
2024-06,1794647,557523,4808458,1430576,6239034,0.7707055290931256,0.22929447090687435,Large
2024-07,2420594,615123,7229052,2045699,9274751,0.7794335395095782,0.22056646049042178,Large
2024-08,2824911,984858,10053963,3030557,13084520,0.7683860775939813,0.23161392240601872,Large
2024-09,3612551,1619428,13666514,4649985,18316499,0.7461313431131135,0.25386865688688653,Large
2024-10,2933012,1766352,16599526,6416337,23015863,0.7212210986831126,0.2787789013168874,Large
2024-11,505046,289801,17104572,6706138,23810710,0.7183562354923477,0.2816437645076522,Large
