Year_Week,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-W14,174759,87503,174759,87503,262262,0.6663527312382275,0.3336472687617726,All
2024-W15,454879,177875,629638,265378,895016,0.7034935688300544,0.2965064311699456,All
2024-W16,406776,103316,1036414,368694,1405108,0.7376045115393265,0.2623954884606735,All
2024-W17,388213,123487,1424627,492181,1916808,0.743228847125012,0.256771152874988,All
2024-W18,486881,162845,1911508,655026,2566534,0.7447818731409753,0.2552181268590247,All
2024-W19,431342,88630,2342850,743656,3086506,0.7590621887661971,0.2409378112338029,All
2024-W20,379741,125461,2722591,869117,3591708,0.7580212533981048,0.2419787466018952,All
2024-W21,337913,142213,3060504,1011330,4071834,0.7516278905279538,0.2483721094720462,All
2024-W22,479469,116229,3539973,1127559,4667532,0.7584250091911529,0.2415749908088471,All
2024-W23,422104,111782,3962077,1239341,5201418,0.7617301666583997,0.2382698333416003,All
2024-W24,350652,73666,4312729,1313007,5625736,0.7666070715014,0.2333929284986,All
2024-W25,438670,96852,4751399,1409859,6161258,0.7711735168369837,0.2288264831630163,All
2024-W26,900168,399934,5651567,1809793,7461360,0.7574446213558922,0.2425553786441077,All
2024-W27,301966,69685,5953533,1879478,7833011,0.7600567648890063,0.2399432351109937,All
2024-W28,485936,151912,6439469,2031390,8470859,0.7601907905679932,0.2398092094320068,All
2024-W29,536595,214543,6976064,2245933,9221997,0.7564591487071618,0.2435408512928382,All
2024-W30,774317,237736,7750381,2483669,10234050,0.7573131849072459,0.242686815092754,All
2024-W31,1227348,288151,8977729,2771820,11749549,0.7640913706560141,0.2359086293439858,All
2024-W32,694836,267540,9672565,3039360,12711925,0.7609048196870262,0.2390951803129738,All
2024-W33,652617,361648,10325182,3401008,13726190,0.752224907275799,0.2477750927242009,All
2024-W34,1073780,300836,11398962,3701844,15100806,0.7548578532827983,0.2451421467172017,All
2024-W35,921584,326815,12320546,4028659,16349205,0.7535868563639638,0.2464131436360361,All
2024-W36,795137,416967,13115683,4445626,17561309,0.7468511031837092,0.2531488968162909,All
2024-W37,1060771,441906,14176454,4887532,19063986,0.7436248641810794,0.2563751358189206,All
2024-W38,1015581,444555,15192035,5332087,20524122,0.7402038927657905,0.2597961072342096,All
2024-W39,1198487,612205,16390522,5944292,22334814,0.7338553166370672,0.2661446833629328,All
2024-W40,1006918,590213,17397440,6534505,23931945,0.7269547042666193,0.2730452957333806,All
2024-W41,941205,469104,18338645,7003609,25342254,0.7236390654122558,0.2763609345877442,All
2024-W42,957200,578042,19295845,7581651,26877496,0.717918253992113,0.282081746007887,All
2024-W43,936055,670609,20231900,8252260,28484160,0.7102859975509195,0.2897140024490804,All
2024-W44,1363272,731900,21595172,8984160,30579332,0.7062015612375051,0.2937984387624949,All
2024-W45,262517,236869,21857689,9221029,31078718,0.7033008568757566,0.2966991431242434,All
2024-W14,4644,1885,4644,1885,6529,0.7112880992495022,0.2887119007504978,Small
2024-W15,9125,2707,13769,4592,18361,0.7499046892870759,0.2500953107129241,Small
2024-W16,9034,1835,22803,6427,29230,0.7801231611358194,0.21987683886418063,Small
2024-W17,8584,2071,31387,8498,39885,0.7869374451548201,0.21306255484517989,Small
2024-W18,8902,2881,40289,11379,51668,0.779766973755516,0.22023302624448401,Small
2024-W19,9262,2392,49551,13771,63322,0.7825242411800006,0.21747575881999937,Small
2024-W20,7343,3379,56894,17150,74044,0.7683809626708443,0.23161903732915565,Small
2024-W21,9976,1809,66870,18959,85829,0.7791072947372101,0.22089270526278998,Small
2024-W22,13880,2185,80750,21144,101894,0.7924902349500461,0.2075097650499539,Small
2024-W23,12032,1556,92782,22700,115482,0.8034325695779428,0.19656743042205713,Small
2024-W24,10842,1029,103624,23729,127353,0.8136753747457853,0.18632462525421467,Small
2024-W25,17166,1353,120790,25082,145872,0.8280547329165295,0.17194526708347044,Small
2024-W26,25618,8823,146408,33905,180313,0.8119658593667678,0.1880341406332322,Small
2024-W27,8866,1723,155274,35628,190902,0.8133702108935474,0.18662978910645253,Small
2024-W28,16131,8363,171405,43991,215396,0.7957668666084793,0.20423313339152074,Small
2024-W29,24662,15552,196067,59543,255610,0.767055279527405,0.23294472047259496,Small
2024-W30,32513,12581,228580,72124,300704,0.7601495158029158,0.23985048419708418,Small
2024-W31,53720,12724,282300,84848,367148,0.7688997352566268,0.23110026474337325,Small
2024-W32,35937,15141,318237,99989,418226,0.7609211287676998,0.23907887123230023,Small
2024-W33,31641,13764,349878,113753,463631,0.754647553765818,0.24535244623418193,Small
2024-W34,60828,14463,410706,128216,538922,0.7620880201587614,0.23791197984123863,Small
2024-W35,50121,16277,460827,144493,605320,0.7612948523095222,0.23870514769047776,Small
2024-W36,37500,20298,498327,164791,663118,0.7514906849158068,0.24850931508419316,Small
2024-W37,60866,18651,559193,183442,742635,0.7529849791620379,0.24701502083796212,Small
2024-W38,65085,15354,624278,198796,823074,0.7584712917672044,0.2415287082327956,Small
2024-W39,79117,23050,703395,221846,925241,0.7602289565637493,0.23977104343625066,Small
2024-W40,73626,33646,777021,255492,1032513,0.752553236617844,0.24744676338215596,Small
2024-W41,84969,33668,861990,289160,1151150,0.7488077140251054,0.2511922859748947,Small
2024-W42,95303,51260,957293,340420,1297713,0.7376769748010539,0.2623230251989461,Small
2024-W43,113060,56553,1070353,396973,1467326,0.7294582117402677,0.27054178825973235,Small
2024-W44,170490,82693,1240843,479666,1720509,0.7212069219050874,0.2787930780949126,Small
2024-W45,36551,33865,1277394,513531,1790925,0.713259349218979,0.28674065078102096,Small
2024-W14,21548,15574,21548,15574,37122,0.5804644146328323,0.41953558536716773,Medium
2024-W15,51649,28404,73197,43978,117175,0.624681032643482,0.37531896735651804,Medium
2024-W16,45236,22900,118433,66878,185311,0.6391039927473274,0.3608960072526725,Medium
2024-W17,41854,20192,160287,87070,247357,0.6479986416394119,0.35200135836058816,Medium
2024-W18,44356,24522,204643,111592,316235,0.6471231837083182,0.3528768162916818,Medium
2024-W19,44599,18122,249242,129714,378956,0.6577069633413906,0.34229303665860944,Medium
2024-W20,40572,23996,289814,153710,443524,0.6534347633949911,0.346565236605009,Medium
2024-W21,45783,18958,335597,172668,508265,0.660279578566299,0.3397204214337009,Medium
2024-W22,57276,22441,392873,195109,587982,0.6681718147834458,0.33182818521655427,Medium
2024-W23,50872,10028,443745,205137,648882,0.6838608560570335,0.3161391439429665,Medium
2024-W24,50281,11479,494026,216616,710642,0.6951826658148548,0.3048173341851453,Medium
2024-W25,67729,17041,561755,233657,795412,0.7062440596822779,0.2937559403177221,Medium
2024-W26,106538,82586,668293,316243,984536,0.6787898055530727,0.3212101944469273,Medium
2024-W27,39449,6223,707742,322466,1030208,0.6869894234950612,0.3130105765049388,Medium
2024-W28,59993,35467,767735,357933,1125668,0.6820261391458228,0.3179738608541772,Medium
2024-W29,77823,59537,845558,417470,1263028,0.6694689270546654,0.33053107294533457,Medium
2024-W30,111049,49221,956607,466691,1423298,0.6721059117626808,0.32789408823731925,Medium
2024-W31,186915,61092,1143522,527783,1671305,0.6842090462243576,0.31579095377564237,Medium
2024-W32,114306,65247,1257828,593030,1850858,0.6795918433504894,0.32040815664951067,Medium
2024-W33,102404,71102,1360232,664132,2024364,0.6719305421357029,0.32806945786429714,Medium
2024-W34,196888,74550,1557120,738682,2295802,0.6782466432209746,0.3217533567790254,Medium
2024-W35,151953,71899,1709073,810581,2519654,0.6782967026425056,0.3217032973574943,Medium
2024-W36,126283,94777,1835356,905358,2740714,0.6696634526623354,0.33033654733766454,Medium
2024-W37,169294,99747,2004650,1005105,3009755,0.6660508911854952,0.33394910881450485,Medium
2024-W38,170747,86989,2175397,1092094,3267491,0.6657698521587359,0.33423014784126415,Medium
2024-W39,190890,137719,2366287,1229813,3596100,0.6580147938043992,0.3419852061956008,Medium
2024-W40,181006,123480,2547293,1353293,3900586,0.6530539257434652,0.3469460742565348,Medium
2024-W41,178744,105918,2726037,1459211,4185248,0.6513441975242567,0.34865580247574335,Medium
2024-W42,194150,124075,2920187,1583286,4503473,0.6484300005795527,0.3515699994204473,Medium
2024-W43,205183,151820,3125370,1735106,4860476,0.6430172682675523,0.3569827317324476,Medium
2024-W44,262449,173733,3387819,1908839,5296658,0.6396144512256596,0.36038554877434037,Medium
2024-W45,47296,55406,3435115,1964245,5399360,0.6362078098144965,0.36379219018550346,Medium
2024-W14,148567,70044,148567,70044,218611,0.6795952628184309,0.3204047371815691,Large
2024-W15,394105,132814,542672,202858,745530,0.7279009563666117,0.2720990436333883,Large
2024-W16,352506,78581,895178,281439,1176617,0.7608066176164376,0.23919338238356236,Large
2024-W17,337775,91724,1232953,373163,1606116,0.7676612399104423,0.23233876008955767,Large
2024-W18,433623,130892,1666576,504055,2170631,0.7677841143888574,0.23221588561114256,Large
2024-W19,373298,68116,2039874,572171,2612045,0.7809490265290223,0.2190509734709777,Large
2024-W20,331826,98086,2371700,670257,3041957,0.7796625659074077,0.22033743409259238,Large
2024-W21,282154,121446,2653854,791703,3445557,0.7702249592736384,0.2297750407263615,Large
2024-W22,401713,91603,3055567,883306,3938873,0.775746514294825,0.22425348570517506,Large
2024-W23,354200,100198,3409767,983504,4393271,0.776134001294252,0.22386599870574794,Large
2024-W24,289529,61158,3699296,1044662,4743958,0.7797910521130246,0.2202089478869754,Large
2024-W25,347100,77389,4046396,1122051,5168447,0.7829036459114315,0.2170963540885686,Large
2024-W26,762062,308525,4808458,1430576,6239034,0.7707055290931256,0.22929447090687435,Large
2024-W27,252951,61739,5061409,1492315,6553724,0.7722951103830433,0.2277048896169567,Large
2024-W28,406512,108082,5467921,1600397,7068318,0.7735816356875851,0.2264183643124149,Large
2024-W29,434110,139454,5902031,1739851,7641882,0.7723268953904286,0.2276731046095713,Large
2024-W30,630755,175734,6532786,1915585,8448371,0.7732598390861386,0.22674016091386137,Large
2024-W31,978513,214309,7511299,2129894,9641193,0.779083978507639,0.22091602149236095,Large
2024-W32,544593,187152,8055892,2317046,10372938,0.7766258701247419,0.2233741298752581,Large
2024-W33,518572,276782,8574464,2593828,11168292,0.7677506999279746,0.23224930007202535,Large
2024-W34,816064,211823,9390528,2805651,12196179,0.7699565577054912,0.2300434422945088,Large
2024-W35,719510,238639,10110038,3044290,13154328,0.7685712261394121,0.23142877386058794,Large
2024-W36,631354,301716,10741392,3346006,14087398,0.7624823264026472,0.23751767359735276,Large
2024-W37,830611,323508,11572003,3669514,15241517,0.7592422066648615,0.2407577933351385,Large
2024-W38,779749,342212,12351752,4011726,16363478,0.7548365940297045,0.24516340597029557,Large
2024-W39,928480,450439,13280232,4462165,17742397,0.7485026966762157,0.2514973033237843,Large
2024-W40,752286,431512,14032518,4893677,18926195,0.741433658482331,0.25856634151766905,Large
2024-W41,677492,328700,14710010,5222377,19932387,0.737995404163084,0.26200459583691604,Large
2024-W42,667747,400613,15377757,5622990,21000747,0.7322480957463084,0.26775190425369155,Large
2024-W43,617812,460763,15995569,6083753,22079322,0.7244592474352247,0.27554075256477534,Large
2024-W44,930333,475072,16925902,6558825,23484727,0.7207195553092868,0.2792804446907132,Large
2024-W45,178670,147313,17104572,6706138,23810710,0.7183562354923477,0.2816437645076522,Large
