Year_Date,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-04-04,14491,4955,14491,4955,19446,0.7451918132263705,0.25480818677362954,All
2024-04-05,27664,7595,27664,7595,35259,0.7845940043676791,0.21540599563232082,All
2024-04-06,12143,883,12143,883,13026,0.9322124980807616,0.06778750191923845,All
2024-04-07,7603,661,7603,661,8264,0.9200145208131656,0.07998547918683446,All
2024-04-08,11533,6747,11533,6747,18280,0.6309080962800875,0.36909190371991246,All
2024-04-09,19856,2838,19856,2838,22694,0.8749449193619458,0.12505508063805412,All
2024-04-10,30973,5056,30973,5056,36029,0.8596686002942074,0.14033139970579256,All
2024-04-11,31606,2380,31606,2380,33986,0.9299711645971871,0.07002883540281292,All
2024-04-12,30104,24705,30104,24705,54809,0.549252859931763,0.45074714006823696,All
2024-04-13,15303,6396,15303,6396,21699,0.7052398728051984,0.2947601271948016,All
2024-04-14,19745,1205,19745,1205,20950,0.9424821002386635,0.05751789976133652,All
2024-04-15,40345,840,40345,840,41185,0.9796042248391404,0.020395775160859535,All
2024-04-16,21293,6604,21293,6604,27897,0.7632720364196867,0.23672796358031328,All
2024-04-17,18909,13594,18909,13594,32503,0.5817616835369043,0.4182383164630957,All
2024-04-18,11627,5019,11627,5019,16646,0.6984861227922624,0.3015138772077376,All
2024-04-19,7670,6133,7670,6133,13803,0.5556763022531334,0.44432369774686664,All
2024-04-20,11851,1581,11851,1581,13432,0.8822960095294818,0.11770399047051816,All
2024-04-21,9353,3506,9353,3506,12859,0.7273504938175597,0.2726495061824403,All
2024-04-22,45629,4277,45629,4277,49906,0.9142988818979682,0.08570111810203182,All
2024-04-23,23773,11150,23773,11150,34923,0.6807261690003722,0.31927383099962775,All
2024-04-24,19594,6696,19594,6696,26290,0.7453023963484214,0.25469760365157856,All
2024-04-25,12246,2281,12246,2281,14527,0.8429820334549459,0.15701796654505404,All
2024-04-26,20457,1068,20457,1068,21525,0.950383275261324,0.04961672473867596,All
2024-04-27,6739,492,6739,492,7231,0.9319596183100539,0.06804038168994607,All
2024-04-28,18803,330,18803,330,19133,0.982752312758062,0.017247687241938012,All
2024-04-29,64974,10867,64974,10867,75841,0.8567133872179955,0.14328661278200447,All
2024-04-30,30842,74317,30842,74317,105159,0.2932892096729714,0.7067107903270285,All
2024-05-01,40936,5210,40936,5210,46146,0.887097473237117,0.11290252676288302,All
2024-05-02,29847,5022,29847,5022,34869,0.8559752215434914,0.14402477845650866,All
2024-05-03,20512,753,20512,753,21265,0.9645897013872561,0.035410298612743946,All
2024-05-04,11592,2015,11592,2015,13607,0.8519144557948115,0.14808554420518852,All
2024-05-05,15334,1352,15334,1352,16686,0.9189739901714011,0.08102600982859882,All
2024-05-06,9354,4028,9354,4028,13382,0.69899865490958,0.30100134509042,All
2024-05-07,45759,13241,45759,13241,59000,0.7755762711864407,0.22442372881355932,All
2024-05-08,25116,6167,25116,6167,31283,0.8028641754307452,0.19713582456925488,All
2024-05-09,47729,10256,47729,10256,57985,0.8231266706906959,0.17687332930930413,All
2024-05-10,17756,8149,17756,8149,25905,0.6854275236440841,0.31457247635591584,All
2024-05-11,17467,6901,17467,6901,24368,0.7168007222587,0.28319927774130005,All
2024-05-12,10854,3456,10854,3456,14310,0.7584905660377359,0.24150943396226415,All
2024-05-13,13694,4125,13694,4125,17819,0.7685055278073966,0.2314944721926034,All
2024-05-14,28193,7245,28193,7245,35438,0.795558440092556,0.20444155990744398,All
2024-05-15,13241,6867,13241,6867,20108,0.65849413168888,0.34150586831111995,All
2024-05-16,20372,10804,20372,10804,31176,0.6534513728509109,0.346548627149089,All
2024-05-17,14251,7613,14251,7613,21864,0.6518020490303695,0.34819795096963047,All
2024-05-18,5761,8068,5761,8068,13829,0.41658832887410513,0.5834116711258949,All
2024-05-19,11814,1307,11814,1307,13121,0.9003886898864416,0.09961131011355842,All
2024-05-20,61955,7798,61955,7798,69753,0.8882055252103852,0.11179447478961478,All
2024-05-21,13840,12262,13840,12262,26102,0.5302275687686767,0.4697724312313233,All
2024-05-22,34184,5957,34184,5957,40141,0.8515981166388481,0.14840188336115193,All
2024-05-23,19057,5646,19057,5646,24703,0.7714447637938712,0.2285552362061288,All
2024-05-24,16633,3468,16633,3468,20101,0.8274712700860654,0.17252872991393464,All
2024-05-25,7978,1591,7978,1591,9569,0.8337339324903333,0.16626606750966663,All
2024-05-26,6888,817,6888,817,7705,0.8939649578195976,0.10603504218040234,All
2024-05-27,13982,1455,13982,1455,15437,0.9057459350910151,0.0942540649089849,All
2024-05-28,13005,9629,13005,9629,22634,0.5745780683926835,0.42542193160731645,All
2024-05-29,18553,12447,18553,12447,31000,0.5984838709677419,0.4015161290322581,All
