Year_Month,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-04,585126,212176,585126,212176,797302,0.733882518794635,0.2661174812053651,All
2024-05,697152,281249,697152,281249,978401,0.7125421989552341,0.2874578010447659,All
2024-06,1031363,203291,1031363,203291,1234654,0.8353457729857919,0.16465422701420804,All
2024-07,1095156,281644,1095156,281644,1376800,0.7954357931435212,0.2045642068564788,All
2024-08,2024717,402940,2024717,402940,2427657,0.834021033449124,0.16597896655087602,All
2024-09,4614180,434500,4614180,434500,5048680,0.9139379005997608,0.08606209940023928,All
2024-10,3961610,487039,3961610,487039,4448649,0.8905197960099797,0.10948020399002034,All
2024-11,598514,56520,598514,56520,655034,0.9137144026111622,0.08628559738883783,All
2024-04,13973,9745,13973,9745,23718,0.5891306180959609,0.4108693819040391,Small
2024-05,15674,13452,15674,13452,29126,0.5381446130604958,0.46185538693950423,Small
2024-06,21929,13337,21929,13337,35266,0.6218170475812397,0.37818295241876027,Small
2024-07,39251,18676,39251,18676,57927,0.6775942134065289,0.3224057865934711,Small
2024-08,98652,21913,98652,21913,120565,0.8182474184050097,0.18175258159499025,Small
2024-09,130389,24507,130389,24507,154896,0.8417841648590022,0.15821583514099782,Small
2024-10,393077,42279,393077,42279,435356,0.9028863734506932,0.09711362654930678,Small
2024-11,89585,5851,89585,5851,95436,0.9386918982354667,0.0613081017645333,Small
2024-04,78652,26182,78652,26182,104834,0.750252780586451,0.24974721941354905,Medium
2024-05,98604,32967,98604,32967,131571,0.7494356659142212,0.2505643340857788,Medium
2024-06,138073,30186,138073,30186,168259,0.8205980066445183,0.17940199335548174,Medium
2024-07,160875,30519,160875,30519,191394,0.8405435907081726,0.15945640929182733,Medium
2024-08,393777,41140,393777,41140,434917,0.9054072386225418,0.09459276137745823,Medium
2024-09,798851,47412,798851,47412,846263,0.9439748636062312,0.05602513639376884,Medium
2024-10,852778,58407,852778,58407,911185,0.9358999544549131,0.06410004554508689,Medium
2024-11,133495,9807,133495,9807,143302,0.9315641093634422,0.06843589063655776,Medium
2024-04,492501,176149,492501,176149,668650,0.7365602333059149,0.2634397666940851,Large
2024-05,582874,234830,582874,234830,817704,0.7128178411748016,0.2871821588251984,Large
2024-06,871361,159768,871361,159768,1031129,0.8450552743643133,0.1549447256356867,Large
2024-07,895030,232449,895030,232449,1127479,0.7938329671772157,0.20616703282278429,Large
2024-08,1532288,339887,1532288,339887,1872175,0.8184534031273786,0.18154659687262142,Large
2024-09,3684940,362576,3684940,362576,4047516,0.910420119401628,0.08957988059837194,Large
2024-10,2715755,385168,2715755,385168,3100923,0.8757892408163633,0.12421075918363661,Large
2024-11,375434,39862,375434,39862,415296,0.9040154492217599,0.0959845507782401,Large
