Year_Week,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-W14,61901,14094,61901,14094,75995,0.8145404302914665,0.18545956970853344,All
2024-W15,159120,49327,159120,49327,208447,0.7633595110507707,0.2366404889492293,All
2024-W16,121048,37277,121048,37277,158325,0.7645539238907311,0.2354460761092689,All
2024-W17,147241,26294,147241,26294,173535,0.8484801336906099,0.15151986630939004,All
2024-W18,214037,99536,214037,99536,313573,0.6825747114706943,0.3174252885293058,All
2024-W19,174035,52198,174035,52198,226233,0.7692732713618261,0.23072672863817392,All
2024-W20,107326,46029,107326,46029,153355,0.6998532816015128,0.30014671839848717,All
2024-W21,160535,37539,160535,37539,198074,0.8104799216454457,0.18952007835455437,All
2024-W22,157017,135266,157017,135266,292283,0.5372088010592474,0.4627911989407526,All
2024-W23,177162,33706,177162,33706,210868,0.8401559269305916,0.15984407306940834,All
2024-W24,163156,49085,163156,49085,212241,0.7687298872508139,0.23127011274918607,All
2024-W25,160429,27098,160429,27098,187527,0.8554981416009428,0.14450185839905721,All
2024-W26,510634,89267,510634,89267,599901,0.8511971141905081,0.14880288580949189,All
2024-W27,150939,48189,150939,48189,199128,0.7579998794745089,0.24200012052549114,All
2024-W28,137657,30330,137657,30330,167987,0.8194503146076779,0.18054968539232202,All
2024-W29,312866,52891,312866,52891,365757,0.8553930615135186,0.14460693848648146,All
2024-W30,268866,91136,268866,91136,360002,0.7468458508563841,0.2531541491436159,All
2024-W31,375032,82699,375032,82699,457731,0.8193283828274686,0.18067161717253147,All
2024-W32,300195,125133,300195,125133,425328,0.7057964676673062,0.2942035323326938,All
2024-W33,438605,64809,438605,64809,503414,0.8712610296892815,0.1287389703107184,All
2024-W34,549347,63528,549347,63528,612875,0.8963442790128493,0.10365572098715073,All
2024-W35,643748,132246,643748,132246,775994,0.8295785792158187,0.17042142078418132,All
2024-W36,687927,47154,687927,47154,735081,0.9358519673342122,0.06414803266578785,All
2024-W37,951411,89980,951411,89980,1041391,0.9135963341338652,0.08640366586613481,All
2024-W38,973375,82321,973375,82321,1055696,0.9220220593807308,0.07797794061926919,All
2024-W39,1264799,80499,1264799,80499,1345298,0.9401627000114473,0.05983729998855272,All
2024-W40,1460863,196639,1460863,196639,1657502,0.881364245714334,0.11863575428566601,All
2024-W41,775112,72375,775112,72375,847487,0.9146004599480582,0.0853995400519418,All
2024-W42,867025,162374,867025,162374,1029399,0.8422633012077921,0.1577366987922079,All
2024-W43,947826,97401,947826,97401,1045227,0.9068135438521967,0.0931864561478033,All
2024-W44,907835,110098,907835,110098,1017933,0.8918416045063869,0.10815839549361304,All
2024-W45,280749,32841,280749,32841,313590,0.8952740839950254,0.10472591600497465,All
2024-W14,1805,1460,1805,1460,3265,0.552833078101072,0.44716692189892804,Small
2024-W15,2684,2861,2684,2861,5545,0.4840396753832281,0.5159603246167719,Small
2024-W16,3104,2542,3104,2542,5646,0.5497697484945094,0.4502302515054906,Small
2024-W17,3348,2128,3348,2128,5476,0.6113951789627465,0.38860482103725347,Small
2024-W18,4631,1980,4631,1980,6611,0.7004991680532446,0.2995008319467554,Small
2024-W19,3112,4410,3112,4410,7522,0.41371975538420636,0.5862802446157936,Small
2024-W20,2427,2057,2427,2057,4484,0.5412578055307761,0.45874219446922393,Small
2024-W21,5042,3121,5042,3121,8163,0.6176650741149088,0.38233492588509127,Small
2024-W22,4113,3074,4113,3074,7187,0.5722832892722972,0.4277167107277028,Small
2024-W23,5941,2152,5941,2152,8093,0.7340911899172124,0.2659088100827876,Small
2024-W24,4110,4252,4110,4252,8362,0.49150920832336764,0.5084907916766324,Small
2024-W25,3088,2099,3088,2099,5187,0.5953344900713322,0.40466550992866784,Small
2024-W26,8171,4398,8171,4398,12569,0.6500914949478876,0.34990850505211235,Small
2024-W27,5542,3653,5542,3653,9195,0.6027188689505166,0.3972811310494834,Small
2024-W28,5758,3466,5758,3466,9224,0.6242411101474414,0.37575888985255856,Small
2024-W29,7881,3343,7881,3343,11224,0.7021560940841055,0.2978439059158945,Small
2024-W30,11829,5151,11829,5151,16980,0.696643109540636,0.303356890459364,Small
2024-W31,17787,5305,17787,5305,23092,0.7702667590507535,0.2297332409492465,Small
2024-W32,19023,4627,19023,4627,23650,0.8043551797040169,0.1956448202959831,Small
2024-W33,21360,4471,21360,4471,25831,0.8269133986295536,0.17308660137044637,Small
2024-W34,22491,6672,22491,6672,29163,0.7712169529883757,0.22878304701162433,Small
2024-W35,28617,4002,28617,4002,32619,0.8773107697967443,0.12268923020325577,Small
2024-W36,18918,3572,18918,3572,22490,0.8411738550466874,0.15882614495331257,Small
2024-W37,26083,6002,26083,6002,32085,0.8129343930185445,0.1870656069814555,Small
2024-W38,27513,6257,27513,6257,33770,0.8147172046194847,0.18528279538051526,Small
2024-W39,36386,6841,36386,6841,43227,0.8417424295000809,0.15825757049991904,Small
2024-W40,70989,8326,70989,8326,79315,0.8950261615079115,0.10497383849208851,Small
2024-W41,57838,7035,57838,7035,64873,0.8915573505156228,0.10844264948437717,Small
2024-W42,84369,9721,84369,9721,94090,0.8966840259326178,0.1033159740673823,Small
2024-W43,119155,11262,119155,11262,130417,0.9136462271022949,0.08635377289770506,Small
2024-W44,132091,8843,132091,8843,140934,0.9372543176238523,0.06274568237614771,Small
2024-W45,37324,4677,37324,4677,42001,0.8886455084402752,0.11135449155972477,Small
2024-W14,9593,4581,9593,4581,14174,0.6768025963030901,0.32319740369690986,Medium
2024-W15,13892,6078,13892,6078,19970,0.6956434651977967,0.3043565348022033,Medium
2024-W16,16256,9841,16256,9841,26097,0.6229068475303675,0.37709315246963254,Medium
2024-W17,22591,3452,22591,3452,26043,0.8674499865606881,0.13255001343931191,Medium
2024-W18,26975,4930,26975,4930,31905,0.8454787650838427,0.15452123491615735,Medium
2024-W19,22881,11454,22881,11454,34335,0.6664045434687637,0.33359545653123635,Medium
2024-W20,12848,4193,12848,4193,17041,0.7539463646499619,0.24605363535003813,Medium
2024-W21,29386,8142,29386,8142,37528,0.7830419953101684,0.2169580046898316,Medium
2024-W22,26428,6861,26428,6861,33289,0.7938958815224249,0.20610411847757518,Medium
2024-W23,32905,4762,32905,4762,37667,0.873576340032389,0.1264236599676109,Medium
2024-W24,26132,9602,26132,9602,35734,0.7312923266356971,0.2687076733643029,Medium
2024-W25,22126,6672,22126,6672,28798,0.7683172442530731,0.23168275574692687,Medium
2024-W26,53316,8767,53316,8767,62083,0.858785818984263,0.141214181015737,Medium
2024-W27,21872,8815,21872,8815,30687,0.7127448105060775,0.2872551894939225,Medium
2024-W28,26251,5339,26251,5339,31590,0.8309908198797088,0.16900918012029123,Medium
2024-W29,38332,4982,38332,4982,43314,0.8849794523710579,0.11502054762894215,Medium
2024-W30,42760,7542,42760,7542,50302,0.8500656037533298,0.14993439624667013,Medium
2024-W31,63760,7374,63760,7374,71134,0.8963364916917367,0.10366350830826328,Medium
2024-W32,59727,10328,59727,10328,70055,0.8525729783741346,0.14742702162586538,Medium
2024-W33,82618,7441,82618,7441,90059,0.9173763865910125,0.08262361340898744,Medium
2024-W34,100393,10424,100393,10424,110817,0.9059350099713943,0.09406499002860572,Medium
2024-W35,130856,10018,130856,10018,140874,0.9288868066499141,0.0711131933500859,Medium
2024-W36,120247,6848,120247,6848,127095,0.9461190448090011,0.05388095519099886,Medium
2024-W37,160229,11928,160229,11928,172157,0.9307144060363506,0.06928559396364946,Medium
2024-W38,173466,12112,173466,12112,185578,0.9347336429964759,0.06526635700352412,Medium
