Year_Month,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-04,585126,212176,585126,212176,797302,0.733882518794635,0.2661174812053651,All
2024-05,697152,281249,1282278,493425,1775703,0.7221241390029751,0.2778758609970248,All
2024-06,1031363,203291,2313641,696716,3010357,0.7685603401855661,0.2314396598144339,All
2024-07,1095156,281644,3408797,978360,4387157,0.7769945319941821,0.2230054680058179,All
2024-08,2024717,402940,5433514,1381300,6814814,0.797309214895667,0.202690785104333,All
2024-09,4614180,434500,10047694,1815800,11863494,0.8469422246093773,0.1530577753906227,All
2024-10,3961610,487039,14009304,2302839,16312143,0.8588267035177414,0.1411732964822586,All
2024-11,598514,56520,14607818,2359359,16967177,0.8609456953269244,0.1390543046730755,All
2024-04,13973,9745,13973,9745,23718,0.5891306180959609,0.4108693819040391,Small
2024-05,15674,13452,29647,23197,52844,0.5610286882143668,0.4389713117856332,Small
2024-06,21929,13337,51576,36534,88110,0.5853592100783112,0.4146407899216888,Small
2024-07,39251,18676,90827,55210,146037,0.6219451234961003,0.3780548765038997,Small
2024-08,98652,21913,189479,77123,266602,0.7107185992603207,0.2892814007396794,Small
2024-09,130389,24507,319868,101630,421498,0.7588837906704183,0.24111620932958164,Small
2024-10,393077,42279,712945,143909,856854,0.8320495673708707,0.16795043262912934,Small
2024-11,89585,5851,802530,149760,952290,0.8427369813817219,0.15726301861827804,Small
2024-04,78652,26182,78652,26182,104834,0.750252780586451,0.24974721941354905,Medium
2024-05,98604,32967,177256,59149,236405,0.7497980161164104,0.2502019838835896,Medium
2024-06,138073,30186,315329,89335,404664,0.7792366012296621,0.22076339877033785,Medium
2024-07,160875,30519,476204,119854,596058,0.7989222525324716,0.20107774746752832,Medium
2024-08,393777,41140,869981,160994,1030975,0.8438429641843885,0.15615703581561144,Medium
2024-09,798851,47412,1668832,208406,1877238,0.8889826436498729,0.11101735635012716,Medium
2024-10,852778,58407,2521610,266813,2788423,0.9043140154847381,0.09568598451526185,Medium
2024-11,133495,9807,2655105,276620,2931725,0.9056459933997902,0.09435400660020977,Medium
2024-04,492501,176149,492501,176149,668650,0.7365602333059149,0.2634397666940851,Large
2024-05,582874,234830,1075375,410979,1486354,0.723498574363846,0.276501425636154,Large
2024-06,871361,159768,1946736,570747,2517483,0.7732866517867251,0.22671334821327493,Large
2024-07,895030,232449,2841766,803196,3644962,0.7796421471609306,0.2203578528390694,Large
2024-08,1532288,339887,4374054,1143083,5517137,0.7928122865174455,0.20718771348255444,Large
2024-09,3684940,362576,8058994,1505659,9564653,0.8425809070125179,0.15741909298748213,Large
2024-10,2715755,385168,10774749,1890827,12665576,0.8507113296702811,0.1492886703297189,Large
2024-11,375434,39862,11150183,1930689,13080872,0.8524036470963098,0.14759635290369022,Large
