Year_Week,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-W14,61901,14094,61901,14094,75995,0.8145404302914665,0.1854595697085334,All
2024-W15,159120,49327,221021,63421,284442,0.7770336307577643,0.2229663692422356,All
2024-W16,121048,37277,342069,100698,442767,0.7725711265744737,0.2274288734255262,All
2024-W17,147241,26294,489310,126992,616302,0.7939451762285373,0.2060548237714627,All
2024-W18,214037,99536,703347,226528,929875,0.756388761930367,0.243611238069633,All
2024-W19,174035,52198,877382,278726,1156108,0.7589100672255533,0.2410899327744466,All
2024-W20,107326,46029,984708,324755,1309463,0.7519937562191524,0.2480062437808475,All
2024-W21,160535,37539,1145243,362294,1507537,0.7596782035863796,0.2403217964136203,All
2024-W22,157017,135266,1302260,497560,1799820,0.7235501327910568,0.2764498672089431,All
2024-W23,177162,33706,1479422,531266,2010688,0.7357789970398192,0.2642210029601808,All
2024-W24,163156,49085,1642578,580351,2222929,0.7389250848767549,0.261074915123245,All
2024-W25,160429,27098,1803007,607449,2410456,0.7479941554627009,0.2520058445372992,All
2024-W26,510634,89267,2313641,696716,3010357,0.7685603401855661,0.2314396598144339,All
2024-W27,150939,48189,2464580,744905,3209485,0.7679051311970612,0.2320948688029387,All
2024-W28,137657,30330,2602237,775235,3377472,0.7704688595493908,0.2295311404506092,All
2024-W29,312866,52891,2915103,828126,3743229,0.7787669415897345,0.2212330584102655,All
2024-W30,268866,91136,3183969,919262,4103231,0.775966305577239,0.224033694422761,All
2024-W31,375032,82699,3559001,1001961,4560962,0.7803180557084229,0.219681944291577,All
2024-W32,300195,125133,3859196,1127094,4986290,0.7739614021647357,0.2260385978352642,All
2024-W33,438605,64809,4297801,1191903,5489704,0.7828839223389822,0.2171160776610178,All
2024-W34,549347,63528,4847148,1255431,6102579,0.7942786156475812,0.2057213843524188,All
2024-W35,643748,132246,5490896,1387677,6878573,0.7982609183619916,0.2017390816380083,All
2024-W36,687927,47154,6178823,1434831,7613654,0.8115450216151141,0.1884549783848859,All
2024-W37,951411,89980,7130234,1524811,8655045,0.8238240240229832,0.1761759759770168,All
2024-W38,973375,82321,8103609,1607132,9710741,0.8344995505492321,0.1655004494507679,All
2024-W39,1264799,80499,9368408,1687631,11056039,0.8473566346862561,0.1526433653137439,All
2024-W40,1460863,196639,10829271,1884270,12713541,0.8517903076727404,0.1482096923272595,All
2024-W41,775112,72375,11604383,1956645,13561028,0.8557155843937495,0.1442844156062505,All
2024-W42,867025,162374,12471408,2119019,14590427,0.8547664849013672,0.1452335150986328,All
2024-W43,947826,97401,13419234,2216420,15635654,0.8582457759681814,0.1417542240318185,All
2024-W44,907835,110098,14327069,2326518,16653587,0.8602992856734107,0.1397007143265892,All
2024-W45,280749,32841,14607818,2359359,16967177,0.8609456953269244,0.1390543046730755,All
2024-W14,1805,1460,1805,1460,3265,0.552833078101072,0.44716692189892804,Small
2024-W15,2684,2861,4489,4321,8810,0.5095346197502838,0.49046538024971625,Small
2024-W16,3104,2542,7593,6863,14456,0.5252490315439956,0.47475096845600445,Small
2024-W17,3348,2128,10941,8991,19932,0.5489163154726069,0.4510836845273931,Small
2024-W18,4631,1980,15572,10971,26543,0.5866706853030931,0.4133293146969069,Small
2024-W19,3112,4410,18684,15381,34065,0.5484808454425363,0.45151915455746366,Small
2024-W20,2427,2057,21111,17438,38549,0.5476406651275001,0.4523593348724999,Small
