Year_Date,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-04-29,500,0,500,0,500,1.0,0.0,All
2024-05-28,300,0,300,0,300,1.0,0.0,All
2024-06-06,500,0,500,0,500,1.0,0.0,All
2024-06-17,1000,0,1000,0,1000,1.0,0.0,All
2024-06-21,250,0,250,0,250,1.0,0.0,All
2024-06-22,1000,0,1000,0,1000,1.0,0.0,All
2024-06-24,500,0,500,0,500,1.0,0.0,All
2024-06-27,500,0,500,0,500,1.0,0.0,All
2024-06-30,6600,0,6600,0,6600,1.0,0.0,All
2024-07-01,1000,0,1000,0,1000,1.0,0.0,All
2024-07-02,350,0,350,0,350,1.0,0.0,All
2024-07-03,100,0,100,0,100,1.0,0.0,All
2024-07-08,250,0,250,0,250,1.0,0.0,All
2024-07-13,1000,0,1000,0,1000,1.0,0.0,All
2024-07-16,804,0,804,0,804,1.0,0.0,All
2024-07-17,5350,0,5350,0,5350,1.0,0.0,All
2024-07-23,1500,0,1500,0,1500,1.0,0.0,All
2024-07-26,250,0,250,0,250,1.0,0.0,All
2024-07-27,260,0,260,0,260,1.0,0.0,All
2024-07-30,6600,0,6600,0,6600,1.0,0.0,All
2024-07-31,1000,0,1000,0,1000,1.0,0.0,All
2024-08-02,510,0,510,0,510,1.0,0.0,All
2024-08-03,10,0,10,0,10,1.0,0.0,All
2024-08-08,250,0,250,0,250,1.0,0.0,All
2024-08-23,200,0,200,0,200,1.0,0.0,All
2024-08-27,10,0,10,0,10,1.0,0.0,All
2024-08-30,10,0,10,0,10,1.0,0.0,All
2024-09-02,10,0,10,0,10,1.0,0.0,All
2024-09-03,10,0,10,0,10,1.0,0.0,All
2024-09-07,1000,0,1000,0,1000,1.0,0.0,All
2024-09-16,500,0,500,0,500,1.0,0.0,All
2024-09-17,8100,0,8100,0,8100,1.0,0.0,All
2024-09-18,2500,0,2500,0,2500,1.0,0.0,All
2024-09-20,500,0,500,0,500,1.0,0.0,All
2024-09-27,10,0,10,0,10,1.0,0.0,All
2024-10-02,10,0,10,0,10,1.0,0.0,All
2024-10-03,10,0,10,0,10,1.0,0.0,All
2024-10-09,4000,0,4000,0,4000,1.0,0.0,All
2024-10-16,1000,0,1000,0,1000,1.0,0.0,All
2024-10-27,10,0,10,0,10,1.0,0.0,All
2024-10-28,100,0,100,0,100,1.0,0.0,All
2024-10-29,500,0,500,0,500,1.0,0.0,All
2024-10-31,200,0,200,0,200,1.0,0.0,All
2024-11-01,250,0,250,0,250,1.0,0.0,All
2024-11-02,10,0,10,0,10,1.0,0.0,All
2024-11-03,20,0,20,0,20,1.0,0.0,All
2024-11-05,200,0,200,0,200,1.0,0.0,All
2024-04-29,500,0,500,0,500,1.0,0.0,Small
2024-06-21,250,0,250,0,250,1.0,0.0,Small
2024-07-02,100,0,100,0,100,1.0,0.0,Small
2024-07-03,100,0,100,0,100,1.0,0.0,Small
2024-07-08,250,0,250,0,250,1.0,0.0,Small
2024-07-16,804,0,804,0,804,1.0,0.0,Small
2024-07-17,1500,0,1500,0,1500,1.0,0.0,Small
2024-07-26,250,0,250,0,250,1.0,0.0,Small
2024-07-27,260,0,260,0,260,1.0,0.0,Small
2024-08-02,510,0,510,0,510,1.0,0.0,Small
2024-08-03,10,0,10,0,10,1.0,0.0,Small
2024-08-08,250,0,250,0,250,1.0,0.0,Small
2024-08-23,200,0,200,0,200,1.0,0.0,Small
2024-08-27,10,0,10,0,10,1.0,0.0,Small
2024-08-30,10,0,10,0,10,1.0,0.0,Small
2024-09-02,10,0,10,0,10,1.0,0.0,Small
2024-09-03,10,0,10,0,10,1.0,0.0,Small
2024-09-17,500,0,500,0,500,1.0,0.0,Small
2024-09-18,500,0,500,0,500,1.0,0.0,Small
2024-09-27,10,0,10,0,10,1.0,0.0,Small
2024-10-02,10,0,10,0,10,1.0,0.0,Small
2024-10-03,10,0,10,0,10,1.0,0.0,Small
2024-10-27,10,0,10,0,10,1.0,0.0,Small
2024-10-28,100,0,100,0,100,1.0,0.0,Small
2024-10-29,500,0,500,0,500,1.0,0.0,Small
2024-10-31,200,0,200,0,200,1.0,0.0,Small
2024-11-01,250,0,250,0,250,1.0,0.0,Small
2024-11-02,10,0,10,0,10,1.0,0.0,Small
2024-11-03,20,0,20,0,20,1.0,0.0,Small
2024-11-05,200,0,200,0,200,1.0,0.0,Small
2024-05-28,300,0,300,0,300,1.0,0.0,Medium
2024-06-17,1000,0,1000,0,1000,1.0,0.0,Medium
2024-06-22,1000,0,1000,0,1000,1.0,0.0,Medium
2024-06-24,500,0,500,0,500,1.0,0.0,Medium
2024-07-01,1000,0,1000,0,1000,1.0,0.0,Medium
2024-07-02,250,0,250,0,250,1.0,0.0,Medium
2024-07-17,1200,0,1200,0,1200,1.0,0.0,Medium
2024-07-23,500,0,500,0,500,1.0,0.0,Medium
2024-07-31,1000,0,1000,0,1000,1.0,0.0,Medium
2024-09-16,500,0,500,0,500,1.0,0.0,Medium
2024-09-18,1000,0,1000,0,1000,1.0,0.0,Medium
2024-10-16,1000,0,1000,0,1000,1.0,0.0,Medium
2024-06-06,500,0,500,0,500,1.0,0.0,Large
2024-06-27,500,0,500,0,500,1.0,0.0,Large
2024-06-30,6600,0,6600,0,6600,1.0,0.0,Large
2024-07-13,1000,0,1000,0,1000,1.0,0.0,Large
2024-07-17,2650,0,2650,0,2650,1.0,0.0,Large
2024-07-23,1000,0,1000,0,1000,1.0,0.0,Large
2024-07-30,6600,0,6600,0,6600,1.0,0.0,Large
2024-09-07,1000,0,1000,0,1000,1.0,0.0,Large
2024-09-17,7600,0,7600,0,7600,1.0,0.0,Large
2024-09-18,1000,0,1000,0,1000,1.0,0.0,Large
2024-09-20,500,0,500,0,500,1.0,0.0,Large
2024-10-09,4000,0,4000,0,4000,1.0,0.0,Large
