Year_Week,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-W18,500,0,500,0,500,1.0,0.0,All
2024-W22,300,0,300,0,300,1.0,0.0,All
2024-W23,500,0,500,0,500,1.0,0.0,All
2024-W25,2250,0,2250,0,2250,1.0,0.0,All
2024-W26,7600,0,7600,0,7600,1.0,0.0,All
2024-W27,1450,0,1450,0,1450,1.0,0.0,All
2024-W28,1250,0,1250,0,1250,1.0,0.0,All
2024-W29,6154,0,6154,0,6154,1.0,0.0,All
2024-W30,2010,0,2010,0,2010,1.0,0.0,All
2024-W31,8120,0,8120,0,8120,1.0,0.0,All
2024-W32,250,0,250,0,250,1.0,0.0,All
2024-W34,200,0,200,0,200,1.0,0.0,All
2024-W35,20,0,20,0,20,1.0,0.0,All
2024-W36,1020,0,1020,0,1020,1.0,0.0,All
2024-W38,11600,0,11600,0,11600,1.0,0.0,All
2024-W39,10,0,10,0,10,1.0,0.0,All
2024-W40,20,0,20,0,20,1.0,0.0,All
2024-W41,4000,0,4000,0,4000,1.0,0.0,All
2024-W42,1000,0,1000,0,1000,1.0,0.0,All
2024-W43,10,0,10,0,10,1.0,0.0,All
2024-W44,1080,0,1080,0,1080,1.0,0.0,All
2024-W45,200,0,200,0,200,1.0,0.0,All
2024-W18,500,0,500,0,500,1.0,0.0,Small
2024-W25,250,0,250,0,250,1.0,0.0,Small
2024-W27,200,0,200,0,200,1.0,0.0,Small
2024-W28,250,0,250,0,250,1.0,0.0,Small
2024-W29,2304,0,2304,0,2304,1.0,0.0,Small
2024-W30,510,0,510,0,510,1.0,0.0,Small
2024-W31,520,0,520,0,520,1.0,0.0,Small
2024-W32,250,0,250,0,250,1.0,0.0,Small
2024-W34,200,0,200,0,200,1.0,0.0,Small
2024-W35,20,0,20,0,20,1.0,0.0,Small
2024-W36,20,0,20,0,20,1.0,0.0,Small
2024-W38,1000,0,1000,0,1000,1.0,0.0,Small
2024-W39,10,0,10,0,10,1.0,0.0,Small
2024-W40,20,0,20,0,20,1.0,0.0,Small
2024-W43,10,0,10,0,10,1.0,0.0,Small
2024-W44,1080,0,1080,0,1080,1.0,0.0,Small
2024-W45,200,0,200,0,200,1.0,0.0,Small
2024-W22,300,0,300,0,300,1.0,0.0,Medium
2024-W25,2000,0,2000,0,2000,1.0,0.0,Medium
2024-W26,500,0,500,0,500,1.0,0.0,Medium
2024-W27,1250,0,1250,0,1250,1.0,0.0,Medium
2024-W29,1200,0,1200,0,1200,1.0,0.0,Medium
2024-W30,500,0,500,0,500,1.0,0.0,Medium
2024-W31,1000,0,1000,0,1000,1.0,0.0,Medium
2024-W38,1500,0,1500,0,1500,1.0,0.0,Medium
2024-W42,1000,0,1000,0,1000,1.0,0.0,Medium
2024-W23,500,0,500,0,500,1.0,0.0,Large
2024-W26,7100,0,7100,0,7100,1.0,0.0,Large
2024-W28,1000,0,1000,0,1000,1.0,0.0,Large
2024-W29,2650,0,2650,0,2650,1.0,0.0,Large
2024-W30,1000,0,1000,0,1000,1.0,0.0,Large
2024-W31,6600,0,6600,0,6600,1.0,0.0,Large
2024-W36,1000,0,1000,0,1000,1.0,0.0,Large
2024-W38,9100,0,9100,0,9100,1.0,0.0,Large
2024-W41,4000,0,4000,0,4000,1.0,0.0,Large
