Year_Date,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-04-29,500,0,500,0,500,1.0,0.0,All
2024-05-28,300,0,800,0,800,1.0,0.0,All
2024-06-06,500,0,1300,0,1300,1.0,0.0,All
2024-06-17,1000,0,2300,0,2300,1.0,0.0,All
2024-06-21,250,0,2550,0,2550,1.0,0.0,All
2024-06-22,1000,0,3550,0,3550,1.0,0.0,All
2024-06-24,500,0,4050,0,4050,1.0,0.0,All
2024-06-27,500,0,4550,0,4550,1.0,0.0,All
2024-06-30,6600,0,11150,0,11150,1.0,0.0,All
2024-07-01,1000,0,12150,0,12150,1.0,0.0,All
2024-07-02,350,0,12500,0,12500,1.0,0.0,All
2024-07-03,100,0,12600,0,12600,1.0,0.0,All
2024-07-08,250,0,12850,0,12850,1.0,0.0,All
2024-07-13,1000,0,13850,0,13850,1.0,0.0,All
2024-07-16,804,0,14654,0,14654,1.0,0.0,All
2024-07-17,5350,0,20004,0,20004,1.0,0.0,All
2024-07-23,1500,0,21504,0,21504,1.0,0.0,All
2024-07-26,250,0,21754,0,21754,1.0,0.0,All
2024-07-27,260,0,22014,0,22014,1.0,0.0,All
2024-07-30,6600,0,28614,0,28614,1.0,0.0,All
2024-07-31,1000,0,29614,0,29614,1.0,0.0,All
2024-08-02,510,0,30124,0,30124,1.0,0.0,All
2024-08-03,10,0,30134,0,30134,1.0,0.0,All
2024-08-08,250,0,30384,0,30384,1.0,0.0,All
2024-08-23,200,0,30584,0,30584,1.0,0.0,All
2024-08-27,10,0,30594,0,30594,1.0,0.0,All
2024-08-30,10,0,30604,0,30604,1.0,0.0,All
2024-09-02,10,0,30614,0,30614,1.0,0.0,All
2024-09-03,10,0,30624,0,30624,1.0,0.0,All
2024-09-07,1000,0,31624,0,31624,1.0,0.0,All
2024-09-16,500,0,32124,0,32124,1.0,0.0,All
2024-09-17,8100,0,40224,0,40224,1.0,0.0,All
2024-09-18,2500,0,42724,0,42724,1.0,0.0,All
2024-09-20,500,0,43224,0,43224,1.0,0.0,All
2024-09-27,10,0,43234,0,43234,1.0,0.0,All
2024-10-02,10,0,43244,0,43244,1.0,0.0,All
2024-10-03,10,0,43254,0,43254,1.0,0.0,All
2024-10-09,4000,0,47254,0,47254,1.0,0.0,All
2024-10-16,1000,0,48254,0,48254,1.0,0.0,All
2024-10-27,10,0,48264,0,48264,1.0,0.0,All
2024-10-28,100,0,48364,0,48364,1.0,0.0,All
2024-10-29,500,0,48864,0,48864,1.0,0.0,All
2024-10-31,200,0,49064,0,49064,1.0,0.0,All
2024-11-01,250,0,49314,0,49314,1.0,0.0,All
2024-11-02,10,0,49324,0,49324,1.0,0.0,All
2024-11-03,20,0,49344,0,49344,1.0,0.0,All
2024-11-05,200,0,49544,0,49544,1.0,0.0,All
2024-04-29,500,0,500,0,500,1.0,0.0,Small
2024-06-21,250,0,750,0,750,1.0,0.0,Small
2024-07-02,100,0,850,0,850,1.0,0.0,Small
2024-07-03,100,0,950,0,950,1.0,0.0,Small
2024-07-08,250,0,1200,0,1200,1.0,0.0,Small
2024-07-16,804,0,2004,0,2004,1.0,0.0,Small
2024-07-17,1500,0,3504,0,3504,1.0,0.0,Small
2024-07-26,250,0,3754,0,3754,1.0,0.0,Small
2024-07-27,260,0,4014,0,4014,1.0,0.0,Small
2024-08-02,510,0,4524,0,4524,1.0,0.0,Small
2024-08-03,10,0,4534,0,4534,1.0,0.0,Small
2024-08-08,250,0,4784,0,4784,1.0,0.0,Small
2024-08-23,200,0,4984,0,4984,1.0,0.0,Small
2024-08-27,10,0,4994,0,4994,1.0,0.0,Small
2024-08-30,10,0,5004,0,5004,1.0,0.0,Small
2024-09-02,10,0,5014,0,5014,1.0,0.0,Small
