Year_Week,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-W18,500,0,500,0,500,1.0,0.0,All
2024-W22,300,0,800,0,800,1.0,0.0,All
2024-W23,500,0,1300,0,1300,1.0,0.0,All
2024-W25,2250,0,3550,0,3550,1.0,0.0,All
2024-W26,7600,0,11150,0,11150,1.0,0.0,All
2024-W27,1450,0,12600,0,12600,1.0,0.0,All
2024-W28,1250,0,13850,0,13850,1.0,0.0,All
2024-W29,6154,0,20004,0,20004,1.0,0.0,All
2024-W30,2010,0,22014,0,22014,1.0,0.0,All
2024-W31,8120,0,30134,0,30134,1.0,0.0,All
2024-W32,250,0,30384,0,30384,1.0,0.0,All
2024-W34,200,0,30584,0,30584,1.0,0.0,All
2024-W35,20,0,30604,0,30604,1.0,0.0,All
2024-W36,1020,0,31624,0,31624,1.0,0.0,All
2024-W38,11600,0,43224,0,43224,1.0,0.0,All
2024-W39,10,0,43234,0,43234,1.0,0.0,All
2024-W40,20,0,43254,0,43254,1.0,0.0,All
2024-W41,4000,0,47254,0,47254,1.0,0.0,All
2024-W42,1000,0,48254,0,48254,1.0,0.0,All
2024-W43,10,0,48264,0,48264,1.0,0.0,All
2024-W44,1080,0,49344,0,49344,1.0,0.0,All
2024-W45,200,0,49544,0,49544,1.0,0.0,All
2024-W18,500,0,500,0,500,1.0,0.0,Small
2024-W25,250,0,750,0,750,1.0,0.0,Small
2024-W27,200,0,950,0,950,1.0,0.0,Small
2024-W28,250,0,1200,0,1200,1.0,0.0,Small
2024-W29,2304,0,3504,0,3504,1.0,0.0,Small
2024-W30,510,0,4014,0,4014,1.0,0.0,Small
2024-W31,520,0,4534,0,4534,1.0,0.0,Small
2024-W32,250,0,4784,0,4784,1.0,0.0,Small
2024-W34,200,0,4984,0,4984,1.0,0.0,Small
2024-W35,20,0,5004,0,5004,1.0,0.0,Small
2024-W36,20,0,5024,0,5024,1.0,0.0,Small
2024-W38,1000,0,6024,0,6024,1.0,0.0,Small
2024-W39,10,0,6034,0,6034,1.0,0.0,Small
2024-W40,20,0,6054,0,6054,1.0,0.0,Small
2024-W43,10,0,6064,0,6064,1.0,0.0,Small
2024-W44,1080,0,7144,0,7144,1.0,0.0,Small
2024-W45,200,0,7344,0,7344,1.0,0.0,Small
2024-W22,300,0,300,0,300,1.0,0.0,Medium
2024-W25,2000,0,2300,0,2300,1.0,0.0,Medium
2024-W26,500,0,2800,0,2800,1.0,0.0,Medium
2024-W27,1250,0,4050,0,4050,1.0,0.0,Medium
2024-W29,1200,0,5250,0,5250,1.0,0.0,Medium
2024-W30,500,0,5750,0,5750,1.0,0.0,Medium
2024-W31,1000,0,6750,0,6750,1.0,0.0,Medium
2024-W38,1500,0,8250,0,8250,1.0,0.0,Medium
2024-W42,1000,0,9250,0,9250,1.0,0.0,Medium
2024-W23,500,0,500,0,500,1.0,0.0,Large
2024-W26,7100,0,7600,0,7600,1.0,0.0,Large
2024-W28,1000,0,8600,0,8600,1.0,0.0,Large
2024-W29,2650,0,11250,0,11250,1.0,0.0,Large
2024-W30,1000,0,12250,0,12250,1.0,0.0,Large
2024-W31,6600,0,18850,0,18850,1.0,0.0,Large
2024-W36,1000,0,19850,0,19850,1.0,0.0,Large
2024-W38,9100,0,28950,0,28950,1.0,0.0,Large
2024-W41,4000,0,32950,0,32950,1.0,0.0,Large
