Year_Date,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-04-03,19411.0,23175.0,19411.0,23175.0,42586.0,0.4558070727469121,0.5441929272530879,All
2024-04-04,22993.0,4033.0,22993.0,4033.0,27026.0,0.8507733293865167,0.14922667061348333,All
2024-04-05,9123.0,17535.0,9123.0,17535.0,26658.0,0.3422237227098807,0.6577762772901193,All
2024-04-06,2800.0,4314.0,2800.0,4314.0,7114.0,0.3935901040202418,0.6064098959797583,All
2024-04-07,4286.0,10535.0,4286.0,10535.0,14821.0,0.2891842655691249,0.7108157344308751,All
2024-04-08,5986.0,10130.0,5986.0,10130.0,16116.0,0.3714321171506577,0.6285678828493423,All
2024-04-09,18808.0,21225.0,18808.0,21225.0,40033.0,0.469812404766068,0.530187595233932,All
2024-04-10,10135.0,19024.0,10135.0,19024.0,29159.0,0.34757707740320315,0.6524229225967969,All
2024-04-11,36208.0,4003.0,36208.0,4003.0,40211.0,0.9004501255875258,0.0995498744124742,All
2024-04-12,9776.0,3763.0,9776.0,3763.0,13539.0,0.7220621907083241,0.2779378092916759,All
2024-04-13,10383.0,3910.0,10383.0,3910.0,14293.0,0.7264395158469181,0.27356048415308193,All
2024-04-14,8293.0,4554.0,8293.0,4554.0,12847.0,0.6455203549466801,0.35447964505331986,All
2024-04-15,20814.0,12475.0,20814.0,12475.0,33289.0,0.625251584607528,0.374748415392472,All
2024-04-16,37706.0,15951.0,37706.0,15951.0,53657.0,0.7027228506998155,0.2972771493001845,All
2024-04-17,19423.0,6070.0,19423.0,6070.0,25493.0,0.7618954222727807,0.23810457772721924,All
2024-04-18,16725.0,101136.0,16725.0,101136.0,117861.0,0.14190444676356045,0.8580955532364395,All
2024-04-19,21362.0,18792.0,21362.0,18792.0,40154.0,0.5320017930965781,0.4679982069034218,All
2024-04-20,5875.0,9641.0,5875.0,9641.0,15516.0,0.37864140242330496,0.621358597576695,All
2024-04-21,16381.0,8532.0,16381.0,8532.0,24913.0,0.6575281981294906,0.34247180187050935,All
2024-04-22,14198.0,10697.0,14198.0,10697.0,24895.0,0.5703153243623218,0.42968467563767826,All
2024-04-23,15634.0,16923.0,15634.0,16923.0,32557.0,0.4802039499953927,0.5197960500046073,All
2024-04-24,12993.0,115974.0,12993.0,115974.0,128967.0,0.10074670264486264,0.8992532973551374,All
2024-04-25,16699.0,12186.0,16699.0,12186.0,28885.0,0.578120131556171,0.42187986844382896,All
2024-04-26,19585.0,24413.0,19585.0,24413.0,43998.0,0.445133869721351,0.5548661302786491,All
2024-04-27,9033.0,3959.0,9033.0,3959.0,12992.0,0.6952740147783252,0.3047259852216749,All
2024-04-28,6906.0,6449.0,6906.0,6449.0,13355.0,0.517109696742793,0.48289030325720705,All
2024-04-29,21291.0,9520.0,21291.0,9520.0,30811.0,0.691019441108695,0.30898055889130505,All
2024-04-30,16178.0,11013.0,16178.0,11013.0,27191.0,0.5949762789158177,0.4050237210841823,All
2024-05-01,8623.0,27954.0,8623.0,27954.0,36577.0,0.23574924132651667,0.7642507586734834,All
2024-05-02,21037.0,31842.0,21037.0,31842.0,52879.0,0.39783278806331435,0.6021672119366857,All
2024-05-03,8083.0,6565.0,8083.0,6565.0,14648.0,0.551815947569634,0.4481840524303659,All
2024-05-04,10911.0,5010.0,10911.0,5010.0,15921.0,0.6853212737893348,0.31467872621066517,All
2024-05-05,13274.0,3952.0,13274.0,3952.0,17226.0,0.7705793567862533,0.22942064321374667,All
2024-05-06,14966.0,11624.0,14966.0,11624.0,26590.0,0.5628431741256111,0.43715682587438887,All
2024-05-07,19521.0,5239.0,19521.0,5239.0,24760.0,0.7884087237479807,0.21159127625201937,All
2024-05-08,30362.0,11951.0,30362.0,11951.0,42313.0,0.7175572519083969,0.2824427480916031,All
2024-05-09,31000.0,21911.0,31000.0,21911.0,52911.0,0.5858895125777248,0.41411048742227513,All
2024-05-10,29040.0,114149.0,29040.0,114149.0,143189.0,0.20280887498341352,0.7971911250165865,All
2024-05-11,6054.0,18007.0,6054.0,18007.0,24061.0,0.2516104900045717,0.7483895099954283,All
2024-05-12,7458.0,28264.0,7458.0,28264.0,35722.0,0.20877890375678854,0.7912210962432115,All
2024-05-13,10444.0,48909.0,10444.0,48909.0,59353.0,0.17596414671541455,0.8240358532845854,All
2024-05-14,101957.0,126404.0,101957.0,126404.0,228361.0,0.4464729091219604,0.5535270908780396,All
2024-05-15,263724.0,20478.0,263724.0,20478.0,284202.0,0.9279456161462621,0.07205438385373783,All
2024-05-16,51814.0,7680.0,51814.0,7680.0,59494.0,0.8709113524052846,0.12908864759471544,All
2024-05-17,26189.0,5635.0,26189.0,5635.0,31824.0,0.8229323780794369,0.1770676219205631,All
2024-05-18,31027.0,11002.0,31027.0,11002.0,42029.0,0.7382283661281496,0.2617716338718504,All
2024-05-19,22744.0,2251.0,22744.0,2251.0,24995.0,0.9099419883976796,0.09005801160232046,All
2024-05-20,18755.0,65194.0,18755.0,65194.0,83949.0,0.22340945097618792,0.7765905490238121,All
2024-05-21,24477.0,13549.0,24477.0,13549.0,38026.0,0.6436911586809025,0.35630884131909746,All
2024-05-22,36725.0,16586.0,36725.0,16586.0,53311.0,0.6888822194293861,0.31111778057061396,All
2024-05-23,19256.0,39614.0,19256.0,39614.0,58870.0,0.3270935960591133,0.6729064039408867,All
2024-05-24,13608.0,7897.0,13608.0,7897.0,21505.0,0.6327830737037898,0.36721692629621017,All
2024-05-25,15320.0,684.0,15320.0,684.0,16004.0,0.9572606848287928,0.0427393151712072,All
2024-05-26,9672.0,11715.0,9672.0,11715.0,21387.0,0.4522373404404545,0.5477626595595455,All
2024-05-27,13142.0,3947.0,13142.0,3947.0,17089.0,0.769032711100708,0.23096728889929194,All
2024-05-28,14975.0,14692.0,14975.0,14692.0,29667.0,0.5047696093302323,0.49523039066976776,All
2024-05-29,15661.0,26294.0,15661.0,26294.0,41955.0,0.37328089619830773,0.6267191038016923,All
2024-05-30,20475.0,30295.0,20475.0,30295.0,50770.0,0.40328934410084694,0.5967106558991531,All
2024-05-31,30801.0,48328.0,30801.0,48328.0,79129.0,0.3892504644314979,0.6107495355685021,All
2024-06-01,5355.0,11620.0,5355.0,11620.0,16975.0,0.3154639175257732,0.6845360824742268,All
2024-06-02,8807.0,5835.0,8807.0,5835.0,14642.0,0.6014888676410326,0.39851113235896735,All
2024-06-03,21858.0,29771.0,21858.0,29771.0,51629.0,0.423366712506537,0.576633287493463,All
2024-06-04,47488.0,27649.0,47488.0,27649.0,75137.0,0.6320188455754155,0.3679811544245844,All
2024-06-05,15395.0,10138.0,15395.0,10138.0,25533.0,0.6029452081619865,0.39705479183801357,All
2024-06-06,29289.0,8508.0,29289.0,8508.0,37797.0,0.774902770061116,0.22509722993888404,All
2024-06-07,12751.0,17482.0,12751.0,17482.0,30233.0,0.4217576820031092,0.5782423179968909,All
2024-06-08,10385.0,3357.0,10385.0,3357.0,13742.0,0.7557124144957066,0.24428758550429341,All
2024-06-09,11717.0,2190.0,11717.0,2190.0,13907.0,0.8425253469475803,0.15747465305241964,All
2024-06-10,9197.0,11500.0,9197.0,11500.0,20697.0,0.4443639174759627,0.5556360825240373,All
2024-06-11,24723.0,4185.0,24723.0,4185.0,28908.0,0.8552303860523038,0.14476961394769614,All
2024-06-12,10064.0,28231.0,10064.0,28231.0,38295.0,0.26280193236714977,0.7371980676328502,All
2024-06-13,18676.0,13092.0,18676.0,13092.0,31768.0,0.5878871820700076,0.41211281792999244,All
2024-06-14,16156.0,85465.0,16156.0,85465.0,101621.0,0.15898288739532182,0.8410171126046782,All
2024-06-15,13911.0,3334.0,13911.0,3334.0,17245.0,0.8066685995940852,0.19333140040591476,All
2024-06-16,16936.0,1959.0,16936.0,1959.0,18895.0,0.8963217782482138,0.10367822175178619,All
2024-06-17,25819.0,12441.0,25819.0,12441.0,38260.0,0.6748301097752222,0.3251698902247778,All
2024-06-18,16499.0,5963.0,16499.0,5963.0,22462.0,0.7345294274775176,0.2654705725224824,All
2024-06-19,18231.0,5946.0,18231.0,5946.0,24177.0,0.7540637796252637,0.2459362203747363,All
2024-06-20,51284.0,25418.0,51284.0,25418.0,76702.0,0.6686135954733905,0.3313864045266095,All
2024-06-21,29469.0,10712.0,29469.0,10712.0,40181.0,0.7334063363281152,0.2665936636718847,All
2024-06-22,22089.0,3675.0,22089.0,3675.0,25764.0,0.857359105728924,0.14264089427107593,All
2024-06-23,16117.0,849.0,16117.0,849.0,16966.0,0.9499587410114346,0.05004125898856537,All
2024-06-24,37176.0,8960.0,37176.0,8960.0,46136.0,0.8057915727414601,0.19420842725853996,All
2024-06-25,35675.0,9528.0,35675.0,9528.0,45203.0,0.7892175298099684,0.21078247019003163,All
2024-06-26,48040.0,10805.0,48040.0,10805.0,58845.0,0.8163820205624946,0.18361797943750532,All
2024-06-27,29491.0,36794.0,29491.0,36794.0,66285.0,0.4449121218978653,0.5550878781021347,All
2024-06-28,94859.0,44415.0,94859.0,44415.0,139274.0,0.68109625630053,0.3189037436994701,All
2024-06-29,20269.0,17051.0,20269.0,17051.0,37320.0,0.5431136120042872,0.45688638799571274,All
2024-06-30,77223.0,144710.0,77223.0,144710.0,221933.0,0.34795636520931994,0.6520436347906801,All
2024-07-01,14713.0,7516.0,14713.0,7516.0,22229.0,0.6618831256466777,0.3381168743533222,All
2024-07-02,19861.0,7655.0,19861.0,7655.0,27516.0,0.7217982264864079,0.2782017735135921,All
2024-07-03,29976.0,3701.0,29976.0,3701.0,33677.0,0.8901030376815037,0.1098969623184963,All
2024-07-04,8102.0,1060.0,8102.0,1060.0,9162.0,0.8843047369569963,0.1156952630430037,All
2024-07-05,18146.0,2151.0,18146.0,2151.0,20297.0,0.8940237473518254,0.1059762526481746,All
2024-07-06,11347.0,1881.0,11347.0,1881.0,13228.0,0.8578016328999093,0.1421983671000907,All
2024-07-07,13289.0,2991.0,13289.0,2991.0,16280.0,0.8162776412776412,0.18372235872235873,All
2024-07-08,19876.0,2490.0,19876.0,2490.0,22366.0,0.8886703031386927,0.11132969686130734,All
2024-07-09,15649.0,4660.0,15649.0,4660.0,20309.0,0.7705450785366094,0.2294549214633906,All
2024-07-10,105675.0,15986.0,105675.0,15986.0,121661.0,0.8686020992758566,0.1313979007241433,All
2024-07-11,29019.0,9417.0,29019.0,9417.0,38436.0,0.7549953168904152,0.24500468310958476,All
2024-07-12,26472.0,6727.0,26472.0,6727.0,33199.0,0.7973734148618934,0.20262658513810658,All
2024-07-13,10879.0,2057.0,10879.0,2057.0,12936.0,0.8409863945578231,0.15901360544217688,All
