Year_Month,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-04,429005,509932,429005,509932,938937,0.4569049893656337,0.5430950106343663,All
2024-05,941095,787622,941095,787622,1728717,0.5443892782913571,0.45561072170864286,All
2024-06,794949,601583,794949,601583,1396532,0.5692307802470692,0.4307692197529308,All
2024-07,1200596,357678,1200596,357678,1558274,0.7704652711910742,0.22953472880892578,All
2024-08,2025542,535779,2025542,535779,2561321,0.7908192686508251,0.2091807313491749,All
2024-09,2854450,856757,2854450,856757,3711207,0.7691433002793969,0.23085669972060302,All
2024-10,2073475,746069,2073475,746069,2819544,0.735393737427045,0.26460626257295505,All
2024-11,192989,73230,192989,73230,266219,0.7249257190508567,0.2750742809491434,All
2024-04,19032,10775,19032,10775,29807,0.6385077330828329,0.3614922669171671,Small
2024-05,62823,17247,62823,17247,80070,0.7846009741476209,0.21539902585237916,Small
2024-06,35513,19525,35513,19525,55038,0.6452451033831171,0.35475489661688286,Small
2024-07,123118,23447,123118,23447,146565,0.8400231978985433,0.1599768021014567,Small
2024-08,218552,39094,218552,39094,257646,0.8482646732338169,0.15173532676618307,Small
2024-09,267053,57777,267053,57777,324830,0.8221315765169473,0.17786842348305268,Small
2024-10,361764,81584,361764,81584,443348,0.8159820276622427,0.18401797233775724,Small
2024-11,46861,8126,46861,8126,54987,0.8522196155454925,0.14778038445450742,Small
2024-04,34296,29683,34296,29683,63979,0.5360508916988387,0.4639491083011613,Medium
2024-05,113601,60180,113601,60180,173781,0.6537020732991524,0.34629792670084764,Medium
2024-06,94188,71267,94188,71267,165455,0.5692665679489891,0.43073343205101083,Medium
2024-07,251988,65199,251988,65199,317187,0.7944461784373256,0.20555382156267438,Medium
2024-08,507804,102768,507804,102768,610572,0.8316856980012185,0.16831430199878147,Medium
2024-09,663402,137414,663402,137414,800816,0.8284075243251883,0.1715924756748117,Medium
2024-10,435528,139882,435528,139882,575410,0.7569002971794025,0.24309970282059748,Medium
2024-11,46120,14158,46120,14158,60278,0.7651216032383291,0.23487839676167094,Medium
2024-04,375677,469474,375677,469474,845151,0.4445087327589981,0.555491267241002,Large
2024-05,764671,701895,764671,701895,1466566,0.5214023780723132,0.47859762192768684,Large
2024-06,665248,507491,665248,507491,1172739,0.5672600638334702,0.4327399361665298,Large
2024-07,825490,268782,825490,268782,1094272,0.7543736840566148,0.2456263159433852,Large
2024-08,1299186,392172,1299186,392172,1691358,0.7681318798267428,0.23186812017325723,Large
2024-09,1923995,659349,1923995,659349,2583344,0.7447691828885352,0.25523081711146484,Large
2024-10,1276183,524244,1276183,524244,1800427,0.7088224071289755,0.29117759287102446,Large
2024-11,100008,48446,100008,48446,148454,0.6736632222776079,0.3263367777223921,Large
