Year_Week,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-W14,58613,59592,58613,59592,118205,0.4958588892178842,0.5041411107821158,All
2024-W15,99589,66609,99589,66609,166198,0.5992190038387947,0.4007809961612053,All
2024-W16,138286,172597,138286,172597,310883,0.4448168603622585,0.5551831396377416,All
2024-W17,95048,190601,95048,190601,285649,0.3327440320113146,0.6672559679886854,All
2024-W18,99397,95856,99397,95856,195253,0.5090677223909492,0.49093227760905084,All
2024-W19,138401,211145,138401,211145,349546,0.39594502583350977,0.6040549741664902,All
2024-W20,507899,222359,507899,222359,730258,0.6955062457378077,0.3044937542621923,All
2024-W21,137813,155239,137813,155239,293052,0.47026807529039216,0.5297319247096078,All
2024-W22,109216,141011,109216,141011,250227,0.4364676873398954,0.5635323126601046,All
2024-W23,148883,99095,148883,99095,247978,0.6003879376396293,0.39961206236037067,All
2024-W24,109663,147766,109663,147766,257429,0.42599318647083273,0.5740068135291673,All
2024-W25,179508,65004,179508,65004,244512,0.7341480172752257,0.2658519827247742,All
2024-W26,342733,272263,342733,272263,614996,0.5572930555645891,0.442706944435411,All
2024-W27,115434,26955,115434,26955,142389,0.810694646356109,0.18930535364389103,All
2024-W28,229830,43833,229830,43833,273663,0.839828548250951,0.160171451749049,All
2024-W29,263787,84558,263787,84558,348345,0.7572578908840374,0.2427421091159626,All
2024-W30,358465,149924,358465,149924,508389,0.705099834968892,0.29490016503110805,All
2024-W31,398318,109060,398318,109060,507378,0.7850517759934408,0.21494822400655922,All
2024-W32,372076,67792,372076,67792,439868,0.8458810370383842,0.15411896296161576,All
2024-W33,337779,99700,337779,99700,437479,0.7721033466749261,0.2278966533250739,All
2024-W34,554265,100730,554265,100730,654995,0.8462125665081413,0.15378743349185872,All
2024-W35,652704,217717,652704,217717,870421,0.7498716138512284,0.2501283861487717,All
2024-W36,587942,211606,587942,211606,799548,0.7353429687773592,0.2646570312226408,All
2024-W37,679412,128370,679412,128370,807782,0.8410833616000356,0.15891663839996434,All
2024-W38,581761,165200,581761,165200,746961,0.7788371815931487,0.22116281840685123,All
2024-W39,687050,196892,687050,196892,883942,0.7772568788449921,0.2227431211550079,All
2024-W40,642851,242900,642851,242900,885751,0.7257694318154877,0.27423056818451236,All
2024-W41,465837,228730,465837,228730,694567,0.6706869171728573,0.32931308282714267,All
2024-W42,508948,146253,508948,146253,655201,0.7767814762187482,0.22321852378125187,All
2024-W43,398160,139893,398160,139893,538053,0.7400014496713149,0.2599985503286851,All
2024-W44,427673,152688,427673,152688,580361,0.7369085793152882,0.26309142068471175,All
2024-W45,84760,56712,84760,56712,141472,0.5991291562994797,0.40087084370052023,All
2024-W14,3618,1934,3618,1934,5552,0.651657060518732,0.348342939481268,Small
2024-W15,3985,2243,3985,2243,6228,0.6398522800256904,0.36014771997430955,Small
2024-W16,4524,1766,4524,1766,6290,0.7192368839427663,0.2807631160572337,Small
2024-W17,5014,3078,5014,3078,8092,0.6196243203163618,0.38037567968363817,Small
2024-W18,6131,4836,6131,4836,10967,0.559040758639555,0.44095924136044495,Small
2024-W19,10763,2845,10763,2845,13608,0.7909318048206937,0.2090681951793063,Small
2024-W20,35273,4557,35273,4557,39830,0.8855887521968365,0.11441124780316345,Small
2024-W21,7744,2339,7744,2339,10083,0.7680253892690667,0.23197461073093326,Small
2024-W22,6487,4918,6487,4918,11405,0.5687856203419552,0.4312143796580447,Small
2024-W23,6328,2682,6328,2682,9010,0.702330743618202,0.297669256381798,Small
2024-W24,7476,4487,7476,4487,11963,0.6249268578115857,0.37507314218841425,Small
2024-W25,9081,2845,9081,2845,11926,0.7614455810833473,0.2385544189166527,Small
2024-W26,10944,9017,10944,9017,19961,0.548269124793347,0.45173087520665295,Small
2024-W27,11945,1407,11945,1407,13352,0.8946225284601558,0.10537747153984421,Small
2024-W28,20565,6189,20565,6189,26754,0.7686701054047993,0.23132989459520073,Small
2024-W29,30252,3177,30252,3177,33429,0.9049627568877322,0.09503724311226779,Small
2024-W30,42399,8685,42399,8685,51084,0.8299859055673009,0.17001409443269908,Small
2024-W31,33984,6398,33984,6398,40382,0.841563072656134,0.15843692734386608,Small
2024-W32,36182,4300,36182,4300,40482,0.8937799515834198,0.10622004841658021,Small
2024-W33,35145,8993,35145,8993,44138,0.7962526621052155,0.20374733789478455,Small
2024-W34,69040,6033,69040,6033,75073,0.9196382188003677,0.08036178119963236,Small
2024-W35,66301,18522,66301,18522,84823,0.7816394138382279,0.21836058616177217,Small
2024-W36,54240,20839,54240,20839,75079,0.7224390308874652,0.2775609691125348,Small
2024-W37,69571,8694,69571,8694,78265,0.8889158627739091,0.11108413722609084,Small
2024-W38,57040,11187,57040,11187,68227,0.8360326556934938,0.16396734430650622,Small
2024-W39,64054,10012,64054,10012,74066,0.8648232657359652,0.1351767342640348,Small
2024-W40,79539,12415,79539,12415,91954,0.8649868412467103,0.13501315875328967,Small
2024-W41,77200,22534,77200,22534,99734,0.7740589969318387,0.2259410030681613,Small
2024-W42,80863,16401,80863,16401,97264,0.8313764599440697,0.16862354005593025,Small
2024-W43,80321,19176,80321,19176,99497,0.8072705709719891,0.1927294290280109,Small
2024-W44,89523,19497,89523,19497,109020,0.8211612548156302,0.17883874518436985,Small
2024-W45,19184,5569,19184,5569,24753,0.7750171696360038,0.22498283036399627,Small
