Year_Month,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-04,429005,509932,429005,509932,938937,0.4569049893656337,0.5430950106343663,All
2024-05,941095,787622,1370100,1297554,2667654,0.5135973405846486,0.4864026594153515,All
2024-06,794949,601583,2165049,1899137,4064186,0.5327140539335552,0.4672859460664448,All
2024-07,1200596,357678,3365645,2256815,5622460,0.5986071932926157,0.4013928067073843,All
2024-08,2025542,535779,5391187,2792594,8183781,0.6587648178757471,0.3412351821242528,All
2024-09,2854450,856757,8245637,3649351,11894988,0.6932026329072379,0.3067973670927621,All
2024-10,2073475,746069,10319112,4395420,14714532,0.7012871357376503,0.2987128642623496,All
2024-11,192989,73230,10512101,4468650,14980751,0.7017072108067213,0.2982927891932788,All
2024-04,19032,10775,19032,10775,29807,0.6385077330828329,0.3614922669171671,Small
2024-05,62823,17247,81855,28022,109877,0.7449693748464192,0.2550306251535808,Small
2024-06,35513,19525,117368,47547,164915,0.7116878391898857,0.2883121608101143,Small
2024-07,123118,23447,240486,70994,311480,0.7720752536278412,0.22792474637215873,Small
2024-08,218552,39094,459038,110088,569126,0.8065665599533319,0.19343344004666804,Small
2024-09,267053,57777,726091,167865,893956,0.8122223017687672,0.18777769823123286,Small
2024-10,361764,81584,1087855,249449,1337304,0.813468740092006,0.186531259907994,Small
2024-11,46861,8126,1134716,257575,1392291,0.8149991632496367,0.18500083675036325,Small
2024-04,34296,29683,34296,29683,63979,0.5360508916988387,0.4639491083011613,Medium
2024-05,113601,60180,147897,89863,237760,0.6220432368775235,0.37795676312247645,Medium
2024-06,94188,71267,242085,161130,403215,0.6003868903686619,0.3996131096313381,Medium
2024-07,251988,65199,494073,226329,720402,0.6858295784853456,0.3141704215146543,Medium
2024-08,507804,102768,1001877,329097,1330974,0.7527397229397419,0.24726027706025813,Medium
2024-09,663402,137414,1665279,466511,2131790,0.7811646550551414,0.21883534494485854,Medium
2024-10,435528,139882,2100807,606393,2707200,0.7760073138297873,0.22399268617021276,Medium
2024-11,46120,14158,2146927,620551,2767478,0.7757702138914926,0.22422978610850747,Medium
2024-04,375677,469474,375677,469474,845151,0.4445087327589981,0.555491267241002,Large
2024-05,764671,701895,1140348,1171369,2311717,0.4932904849512289,0.5067095150487712,Large
2024-06,665248,507491,1805596,1678860,3484456,0.5181859090773423,0.48181409092265765,Large
2024-07,825490,268782,2631086,1947642,4578728,0.5746325180268407,0.4253674819731594,Large
2024-08,1299186,392172,3930272,2339814,6270086,0.6268290418983089,0.3731709581016911,Large
2024-09,1923995,659349,5854267,2999163,8853430,0.6612428177553784,0.3387571822446216,Large
2024-10,1276183,524244,7130450,3523407,10653857,0.6692834341591032,0.33071656584089687,Large
2024-11,100008,48446,7230458,3571853,10802311,0.669343624711416,0.3306563752885841,Large
