Year_Week,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-W14,58613,59592,58613,59592,118205,0.4958588892178842,0.5041411107821158,All
2024-W15,99589,66609,158202,126201,284403,0.5562599550637651,0.4437400449362348,All
2024-W16,138286,172597,296488,298798,595286,0.498059756150825,0.501940243849175,All
2024-W17,95048,190601,391536,489399,880935,0.4444550392480716,0.5555449607519284,All
2024-W18,99397,95856,490933,585255,1076188,0.4561777310284077,0.5438222689715924,All
2024-W19,138401,211145,629334,796400,1425734,0.4414105295938794,0.5585894704061206,All
2024-W20,507899,222359,1137233,1018759,2155992,0.5274755193896823,0.4725244806103176,All
2024-W21,137813,155239,1275046,1173998,2449044,0.5206300907619463,0.4793699092380537,All
2024-W22,109216,141011,1384262,1315009,2699271,0.5128280932147976,0.4871719067852024,All
2024-W23,148883,99095,1533145,1414104,2947249,0.5201952736263546,0.4798047263736454,All
2024-W24,109663,147766,1642808,1561870,3204678,0.5126281017936903,0.4873718982063096,All
2024-W25,179508,65004,1822316,1626874,3449190,0.528331579298328,0.471668420701672,All
2024-W26,342733,272263,2165049,1899137,4064186,0.5327140539335552,0.4672859460664448,All
2024-W27,115434,26955,2280483,1926092,4206575,0.5421234614858882,0.4578765385141118,All
2024-W28,229830,43833,2510313,1969925,4480238,0.5603079568540779,0.4396920431459221,All
2024-W29,263787,84558,2774100,2054483,4828583,0.5745163746796939,0.4254836253203062,All
2024-W30,358465,149924,3132565,2204407,5336972,0.5869554871189131,0.4130445128810869,All
2024-W31,398318,109060,3530883,2313467,5844350,0.6041532420200707,0.3958467579799293,All
2024-W32,372076,67792,3902959,2381259,6284218,0.6210731390922466,0.3789268609077533,All
2024-W33,337779,99700,4240738,2480959,6721697,0.6309028806267227,0.3690971193732773,All
2024-W34,554265,100730,4795003,2581689,7376692,0.6500207681166572,0.3499792318833428,All
2024-W35,652704,217717,5447707,2799406,8247113,0.6605592769251495,0.3394407230748505,All
2024-W36,587942,211606,6035649,3011012,9046661,0.6671686935102354,0.3328313064897645,All
2024-W37,679412,128370,6715061,3139382,9854443,0.6814247137052799,0.31857528629472,All
2024-W38,581761,165200,7296822,3304582,10601404,0.688288268233151,0.311711731766849,All
2024-W39,687050,196892,7983872,3501474,11485346,0.6951355231265998,0.3048644768734002,All
2024-W40,642851,242900,8626723,3744374,12371097,0.6973288625899546,0.3026711374100453,All
2024-W41,465837,228730,9092560,3973104,13065664,0.6959125843125922,0.3040874156874078,All
2024-W42,508948,146253,9601508,4119357,13720865,0.6997742489267258,0.3002257510732741,All
2024-W43,398160,139893,9999668,4259250,14258918,0.7012922018346693,0.2987077981653306,All
2024-W44,427673,152688,10427341,4411938,14839279,0.7026851506734256,0.2973148493265744,All
2024-W45,84760,56712,10512101,4468650,14980751,0.7017072108067213,0.2982927891932788,All
2024-W14,3618,1934,3618,1934,5552,0.651657060518732,0.348342939481268,Small
2024-W15,3985,2243,7603,4177,11780,0.6454159592529711,0.3545840407470289,Small
2024-W16,4524,1766,12127,5943,18070,0.6711123408965135,0.32888765910348644,Small
2024-W17,5014,3078,17141,9021,26162,0.6551869123155722,0.3448130876844278,Small
2024-W18,6131,4836,23272,13857,37129,0.626787686175227,0.3732123138247731,Small
2024-W19,10763,2845,34035,16702,50737,0.6708122277627767,0.32918777223722334,Small
2024-W20,35273,4557,69308,21259,90567,0.7652677023639957,0.23473229763600428,Small
2024-W21,7744,2339,77052,23598,100650,0.7655439642324888,0.23445603576751117,Small
2024-W22,6487,4918,83539,28516,112055,0.7455178260675561,0.2544821739324439,Small
2024-W23,6328,2682,89867,31198,121065,0.7423037211415355,0.25769627885846447,Small
2024-W24,7476,4487,97343,35685,133028,0.7317482033857534,0.26825179661424664,Small
2024-W25,9081,2845,106424,38530,144954,0.7341915366254121,0.2658084633745878,Small
2024-W26,10944,9017,117368,47547,164915,0.7116878391898857,0.2883121608101143,Small
2024-W27,11945,1407,129313,48954,178267,0.7253894439240016,0.2746105560759984,Small
2024-W28,20565,6189,149878,55143,205021,0.7310373083732886,0.26896269162671144,Small
2024-W29,30252,3177,180130,58320,238450,0.7554204235688824,0.24457957643111763,Small
2024-W30,42399,8685,222529,67005,289534,0.7685764020805846,0.23142359791941533,Small
2024-W31,33984,6398,256513,73403,329916,0.7775100328568484,0.22248996714315158,Small
2024-W32,36182,4300,292695,77703,370398,0.7902175497707871,0.2097824502292129,Small
2024-W33,35145,8993,327840,86696,414536,0.7908601424243009,0.20913985757569908,Small
2024-W34,69040,6033,396880,92729,489609,0.8106060141868308,0.1893939858131693,Small
2024-W35,66301,18522,463181,111251,574432,0.8063286864241547,0.19367131357584536,Small
2024-W36,54240,20839,517421,132090,649511,0.7966316197878096,0.2033683802121904,Small
2024-W37,69571,8694,586992,140784,727776,0.8065558633425669,0.19344413665743307,Small
2024-W38,57040,11187,644032,151971,796003,0.8090823778302343,0.19091762216976568,Small
2024-W39,64054,10012,708086,161983,870069,0.8138274090905434,0.18617259090945662,Small
2024-W40,79539,12415,787625,174398,962023,0.8187174319117111,0.18128256808828894,Small
2024-W41,77200,22534,864825,196932,1061757,0.8145225319917835,0.18547746800821657,Small
2024-W42,80863,16401,945688,213333,1159021,0.8159368984686214,0.18406310153137864,Small
2024-W43,80321,19176,1026009,232509,1258518,0.8152517484851229,0.18474825151487703,Small
2024-W44,89523,19497,1115532,252006,1367538,0.815722853770791,0.184277146229209,Small
2024-W45,19184,5569,1134716,257575,1392291,0.8149991632496367,0.18500083675036325,Small
2024-W14,3300,5876,3300,5876,9176,0.3596338273757629,0.6403661726242371,Medium
2024-W15,5933,5394,9233,11270,20503,0.4503243427791055,0.5496756572208945,Medium
2024-W16,8251,7992,17484,19262,36746,0.47580689054590974,0.5241931094540903,Medium
2024-W17,12669,6222,30153,25484,55637,0.541959487391484,0.4580405126085159,Medium
2024-W18,9456,13300,39609,38784,78393,0.5052619494087482,0.49473805059125175,Medium
2024-W19,15549,9569,55158,48353,103511,0.5328709026093845,0.4671290973906155,Medium
2024-W20,61963,17133,117121,65486,182607,0.6413828604598948,0.35861713954010527,Medium
2024-W21,17151,4548,134272,70034,204306,0.6572102630368173,0.34278973696318266,Medium
2024-W22,17632,21926,151904,91960,243864,0.6229045697601943,0.3770954302398058,Medium
2024-W23,18702,8868,170606,100828,271434,0.6285358503356249,0.37146414966437513,Medium
2024-W24,13116,22439,183722,123267,306989,0.5984644400939447,0.4015355599060553,Medium
2024-W25,21843,6266,205565,129533,335098,0.6134474094145593,0.38655259058544067,Medium
2024-W26,36520,31597,242085,161130,403215,0.6003868903686619,0.3996131096313381,Medium
2024-W27,20436,7379,262521,168509,431030,0.6090550541725634,0.3909449458274366,Medium
2024-W28,56166,9490,318687,177999,496686,0.6416267017793938,0.35837329822060615,Medium
2024-W29,64695,10809,383382,188808,572190,0.6700256907670529,0.32997430923294707,Medium
2024-W30,68910,29529,452292,218337,670629,0.6744295280997392,0.3255704719002608,Medium
2024-W31,78791,12745,531083,231082,762165,0.6968084338693065,0.3031915661306935,Medium
2024-W32,93262,10838,624345,241920,866265,0.7207321085349171,0.27926789146508285,Medium
2024-W33,86040,21334,710385,263254,973639,0.729618472555023,0.27038152744497707,Medium
2024-W34,138462,18975,848847,282229,1131076,0.7504774214995279,0.2495225785004721,Medium
2024-W35,168534,47417,1017381,329646,1347027,0.7552788474173123,0.24472115258268765,Medium
2024-W36,133231,41851,1150612,371497,1522109,0.7559327222951838,0.24406727770481615,Medium
2024-W37,156007,20937,1306619,392434,1699053,0.7690278054892932,0.23097219451070686,Medium
2024-W38,141032,30517,1447651,422951,1870602,0.773895783282601,0.226104216717399,Medium
2024-W39,174700,30326,1622351,453277,2075628,0.7816193460485212,0.2183806539514788,Medium
2024-W40,129317,28592,1751668,481869,2233537,0.7842574356278853,0.21574256437211473,Medium
2024-W41,110125,41843,1861793,523712,2385505,0.7804607410171012,0.2195392589828988,Medium
2024-W42,94865,25142,1956658,548854,2505512,0.7809413804443962,0.2190586195556038,Medium
2024-W43,87038,28659,2043696,577513,2621209,0.7796768590371848,0.22032314096281524,Medium
2024-W44,86087,32495,2129783,610008,2739791,0.7773523600887805,0.2226476399112195,Medium
2024-W45,17144,10543,2146927,620551,2767478,0.7757702138914926,0.22422978610850747,Medium
2024-W14,51695,51782,51695,51782,103477,0.4995796167264223,0.5004203832735777,Large
2024-W15,89671,58972,141366,110754,252120,0.5607091861018563,0.43929081389814373,Large
2024-W16,125511,162839,266877,273593,540470,0.4937868891890392,0.5062131108109609,Large
2024-W17,77365,181301,344242,454894,799136,0.4307677291474793,0.5692322708525207,Large
2024-W18,83810,77720,428052,532614,960666,0.4455783799988758,0.5544216200011243,Large
2024-W19,112089,193731,540141,726345,1266486,0.4264879359108589,0.5735120640891411,Large
2024-W20,410663,197369,950804,923714,1874518,0.5072258575271082,0.4927741424728917,Large
2024-W21,112918,148352,1063722,1072066,2135788,0.49804662260486526,0.5019533773951347,Large
2024-W22,85097,114167,1148819,1186233,2335052,0.4919886152428297,0.5080113847571703,Large
2024-W23,123853,87545,1272672,1273778,2546450,0.49978283492705533,0.5002171650729447,Large
2024-W24,89071,117540,1361743,1391318,2753061,0.4946287060112362,0.5053712939887638,Large
2024-W25,148584,55893,1510327,1447211,2957538,0.5106703616318709,0.48932963836812915,Large
2024-W26,295269,231649,1805596,1678860,3484456,0.5181859090773423,0.48181409092265765,Large
2024-W27,83053,18169,1888649,1697029,3585678,0.5267201907142806,0.47327980928571944,Large
2024-W28,153099,28154,2041748,1725183,3766931,0.5420189538911119,0.4579810461088881,Large
2024-W29,168840,70572,2210588,1795755,4006343,0.5517720275073802,0.4482279724926198,Large
2024-W30,247156,111460,2457744,1907215,4364959,0.5630623334606351,0.436937666539365,Large
2024-W31,285543,89917,2743287,1997132,4740419,0.5787013763973184,0.42129862360268155,Large
2024-W32,242632,52654,2985919,2049786,5035705,0.5929495472828531,0.40705045271714685,Large
2024-W33,216594,69373,3202513,2119159,5321672,0.6017869947640516,0.3982130052359484,Large
2024-W34,346763,74302,3549276,2193461,5742737,0.6180460640980077,0.3819539359019924,Large
2024-W35,417869,151453,3967145,2344914,6312059,0.628502521918759,0.371497478081241,Large
2024-W36,400471,148916,4367616,2493830,6861446,0.6365445417773454,0.3634554582226545,Large
2024-W37,453834,96522,4821450,2590352,7411802,0.6505098220378795,0.3494901779621204,Large
2024-W38,383689,123496,5205139,2713848,7918987,0.6572985913476055,0.34270140865239457,Large
2024-W39,448296,156554,5653435,2870402,8523837,0.6632500128756568,0.3367499871243432,Large
2024-W40,433995,201893,6087430,3072295,9159725,0.664586545993466,0.33541345400653405,Large
2024-W41,278512,163994,6365942,3236289,9602231,0.6629648880557029,0.33703511194429714,Large
2024-W42,333220,104710,6699162,3340999,10040161,0.6672365114463802,0.3327634885536198,Large
