Year_Month,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-04,935290,0,935290,0,935290,1.0,0.0,All
2024-05,1045088,0,1045088,0,1045088,1.0,0.0,All
2024-06,1678712,0,1678712,0,1678712,1.0,0.0,All
2024-07,2169479,0,2169479,0,2169479,1.0,0.0,All
2024-08,3744841,0,3744841,0,3744841,1.0,0.0,All
2024-09,4050253,0,4050253,0,4050253,1.0,0.0,All
2024-10,5384562,0,5384562,0,5384562,1.0,0.0,All
2024-11,614090,0,614090,0,614090,1.0,0.0,All
2024-04,54617,0,54617,0,54617,1.0,0.0,Small
2024-05,66366,0,66366,0,66366,1.0,0.0,Small
2024-06,92225,0,92225,0,92225,1.0,0.0,Small
2024-07,197926,0,197926,0,197926,1.0,0.0,Small
2024-08,372957,0,372957,0,372957,1.0,0.0,Small
2024-09,388529,0,388529,0,388529,1.0,0.0,Small
2024-10,885898,0,885898,0,885898,1.0,0.0,Small
2024-11,125140,0,125140,0,125140,1.0,0.0,Small
2024-04,111073,0,111073,0,111073,1.0,0.0,Medium
2024-05,120864,0,120864,0,120864,1.0,0.0,Medium
2024-06,183378,0,183378,0,183378,1.0,0.0,Medium
2024-07,302254,0,302254,0,302254,1.0,0.0,Medium
2024-08,598743,0,598743,0,598743,1.0,0.0,Medium
2024-09,668459,0,668459,0,668459,1.0,0.0,Medium
2024-10,913489,0,913489,0,913489,1.0,0.0,Medium
2024-11,111587,0,111587,0,111587,1.0,0.0,Medium
2024-04,769600,0,769600,0,769600,1.0,0.0,Large
2024-05,857858,0,857858,0,857858,1.0,0.0,Large
2024-06,1403109,0,1403109,0,1403109,1.0,0.0,Large
2024-07,1669299,0,1669299,0,1669299,1.0,0.0,Large
2024-08,2773141,0,2773141,0,2773141,1.0,0.0,Large
2024-09,2993265,0,2993265,0,2993265,1.0,0.0,Large
2024-10,3585175,0,3585175,0,3585175,1.0,0.0,Large
2024-11,377363,0,377363,0,377363,1.0,0.0,Large
