Year_Week,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-W14,137325,0,137325,0,137325,1.0,0.0,All
2024-W15,189392,0,189392,0,189392,1.0,0.0,All
2024-W16,233580,0,233580,0,233580,1.0,0.0,All
2024-W17,238646,0,238646,0,238646,1.0,0.0,All
2024-W18,291107,0,291107,0,291107,1.0,0.0,All
2024-W19,240002,0,240002,0,240002,1.0,0.0,All
2024-W20,191506,0,191506,0,191506,1.0,0.0,All
2024-W21,160608,0,160608,0,160608,1.0,0.0,All
2024-W22,342800,0,342800,0,342800,1.0,0.0,All
2024-W23,248774,0,248774,0,248774,1.0,0.0,All
2024-W24,217638,0,217638,0,217638,1.0,0.0,All
2024-W25,373993,0,373993,0,373993,1.0,0.0,All
2024-W26,793719,0,793719,0,793719,1.0,0.0,All
2024-W27,231648,0,231648,0,231648,1.0,0.0,All
2024-W28,387880,0,387880,0,387880,1.0,0.0,All
2024-W29,584544,0,584544,0,584544,1.0,0.0,All
2024-W30,577502,0,577502,0,577502,1.0,0.0,All
2024-W31,662648,0,662648,0,662648,1.0,0.0,All
2024-W32,1034531,0,1034531,0,1034531,1.0,0.0,All
2024-W33,717132,0,717132,0,717132,1.0,0.0,All
2024-W34,812812,0,812812,0,812812,1.0,0.0,All
2024-W35,985097,0,985097,0,985097,1.0,0.0,All
2024-W36,709455,0,709455,0,709455,1.0,0.0,All
2024-W37,927725,0,927725,0,927725,1.0,0.0,All
2024-W38,904024,0,904024,0,904024,1.0,0.0,All
2024-W39,993805,0,993805,0,993805,1.0,0.0,All
2024-W40,1032666,0,1032666,0,1032666,1.0,0.0,All
2024-W41,1193592,0,1193592,0,1193592,1.0,0.0,All
2024-W42,1378703,0,1378703,0,1378703,1.0,0.0,All
2024-W43,1249984,0,1249984,0,1249984,1.0,0.0,All
2024-W44,1343928,0,1343928,0,1343928,1.0,0.0,All
2024-W45,235549,0,235549,0,235549,1.0,0.0,All
2024-W14,8947,0,8947,0,8947,1.0,0.0,Small
2024-W15,11734,0,11734,0,11734,1.0,0.0,Small
2024-W16,13128,0,13128,0,13128,1.0,0.0,Small
2024-W17,13467,0,13467,0,13467,1.0,0.0,Small
2024-W18,16623,0,16623,0,16623,1.0,0.0,Small
2024-W19,12066,0,12066,0,12066,1.0,0.0,Small
2024-W20,12178,0,12178,0,12178,1.0,0.0,Small
2024-W21,12570,0,12570,0,12570,1.0,0.0,Small
2024-W22,22024,0,22024,0,22024,1.0,0.0,Small
2024-W23,15678,0,15678,0,15678,1.0,0.0,Small
2024-W24,9682,0,9682,0,9682,1.0,0.0,Small
2024-W25,24585,0,24585,0,24585,1.0,0.0,Small
2024-W26,40526,0,40526,0,40526,1.0,0.0,Small
2024-W27,15242,0,15242,0,15242,1.0,0.0,Small
2024-W28,26873,0,26873,0,26873,1.0,0.0,Small
2024-W29,58058,0,58058,0,58058,1.0,0.0,Small
2024-W30,60062,0,60062,0,60062,1.0,0.0,Small
2024-W31,69700,0,69700,0,69700,1.0,0.0,Small
2024-W32,105182,0,105182,0,105182,1.0,0.0,Small
2024-W33,77245,0,77245,0,77245,1.0,0.0,Small
2024-W34,81505,0,81505,0,81505,1.0,0.0,Small
2024-W35,82693,0,82693,0,82693,1.0,0.0,Small
2024-W36,72195,0,72195,0,72195,1.0,0.0,Small
2024-W37,90068,0,90068,0,90068,1.0,0.0,Small
2024-W38,78684,0,78684,0,78684,1.0,0.0,Small
2024-W39,97821,0,97821,0,97821,1.0,0.0,Small
2024-W40,127144,0,127144,0,127144,1.0,0.0,Small
2024-W41,171042,0,171042,0,171042,1.0,0.0,Small
2024-W42,224638,0,224638,0,224638,1.0,0.0,Small
2024-W43,226708,0,226708,0,226708,1.0,0.0,Small
2024-W44,267631,0,267631,0,267631,1.0,0.0,Small
2024-W45,37959,0,37959,0,37959,1.0,0.0,Small
2024-W14,19118,0,19118,0,19118,1.0,0.0,Medium
2024-W15,25559,0,25559,0,25559,1.0,0.0,Medium
2024-W16,22876,0,22876,0,22876,1.0,0.0,Medium
2024-W17,26307,0,26307,0,26307,1.0,0.0,Medium
2024-W18,33580,0,33580,0,33580,1.0,0.0,Medium
2024-W19,21003,0,21003,0,21003,1.0,0.0,Medium
2024-W20,23320,0,23320,0,23320,1.0,0.0,Medium
2024-W21,21897,0,21897,0,21897,1.0,0.0,Medium
2024-W22,42410,0,42410,0,42410,1.0,0.0,Medium
2024-W23,30199,0,30199,0,30199,1.0,0.0,Medium
2024-W24,27799,0,27799,0,27799,1.0,0.0,Medium
2024-W25,47081,0,47081,0,47081,1.0,0.0,Medium
