Year_Month,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-04,935290,0,935290,0,935290,1.0,0.0,All
2024-05,1045088,0,1980378,0,1980378,1.0,0.0,All
2024-06,1678712,0,3659090,0,3659090,1.0,0.0,All
2024-07,2169479,0,5828569,0,5828569,1.0,0.0,All
2024-08,3744841,0,9573410,0,9573410,1.0,0.0,All
2024-09,4050253,0,13623663,0,13623663,1.0,0.0,All
2024-10,5384562,0,19008225,0,19008225,1.0,0.0,All
2024-11,614090,0,19622315,0,19622315,1.0,0.0,All
2024-04,54617,0,54617,0,54617,1.0,0.0,Small
2024-05,66366,0,120983,0,120983,1.0,0.0,Small
2024-06,92225,0,213208,0,213208,1.0,0.0,Small
2024-07,197926,0,411134,0,411134,1.0,0.0,Small
2024-08,372957,0,784091,0,784091,1.0,0.0,Small
2024-09,388529,0,1172620,0,1172620,1.0,0.0,Small
2024-10,885898,0,2058518,0,2058518,1.0,0.0,Small
2024-11,125140,0,2183658,0,2183658,1.0,0.0,Small
2024-04,111073,0,111073,0,111073,1.0,0.0,Medium
2024-05,120864,0,231937,0,231937,1.0,0.0,Medium
2024-06,183378,0,415315,0,415315,1.0,0.0,Medium
2024-07,302254,0,717569,0,717569,1.0,0.0,Medium
2024-08,598743,0,1316312,0,1316312,1.0,0.0,Medium
2024-09,668459,0,1984771,0,1984771,1.0,0.0,Medium
2024-10,913489,0,2898260,0,2898260,1.0,0.0,Medium
2024-11,111587,0,3009847,0,3009847,1.0,0.0,Medium
2024-04,769600,0,769600,0,769600,1.0,0.0,Large
2024-05,857858,0,1627458,0,1627458,1.0,0.0,Large
2024-06,1403109,0,3030567,0,3030567,1.0,0.0,Large
2024-07,1669299,0,4699866,0,4699866,1.0,0.0,Large
2024-08,2773141,0,7473007,0,7473007,1.0,0.0,Large
2024-09,2993265,0,10466272,0,10466272,1.0,0.0,Large
2024-10,3585175,0,14051447,0,14051447,1.0,0.0,Large
2024-11,377363,0,14428810,0,14428810,1.0,0.0,Large
