Year_Week,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-W14,137325,0,137325,0,137325,1.0,0.0,All
2024-W15,189392,0,326717,0,326717,1.0,0.0,All
2024-W16,233580,0,560297,0,560297,1.0,0.0,All
2024-W17,238646,0,798943,0,798943,1.0,0.0,All
2024-W18,291107,0,1090050,0,1090050,1.0,0.0,All
2024-W19,240002,0,1330052,0,1330052,1.0,0.0,All
2024-W20,191506,0,1521558,0,1521558,1.0,0.0,All
2024-W21,160608,0,1682166,0,1682166,1.0,0.0,All
2024-W22,342800,0,2024966,0,2024966,1.0,0.0,All
2024-W23,248774,0,2273740,0,2273740,1.0,0.0,All
2024-W24,217638,0,2491378,0,2491378,1.0,0.0,All
2024-W25,373993,0,2865371,0,2865371,1.0,0.0,All
2024-W26,793719,0,3659090,0,3659090,1.0,0.0,All
2024-W27,231648,0,3890738,0,3890738,1.0,0.0,All
2024-W28,387880,0,4278618,0,4278618,1.0,0.0,All
2024-W29,584544,0,4863162,0,4863162,1.0,0.0,All
2024-W30,577502,0,5440664,0,5440664,1.0,0.0,All
2024-W31,662648,0,6103312,0,6103312,1.0,0.0,All
2024-W32,1034531,0,7137843,0,7137843,1.0,0.0,All
2024-W33,717132,0,7854975,0,7854975,1.0,0.0,All
2024-W34,812812,0,8667787,0,8667787,1.0,0.0,All
2024-W35,985097,0,9652884,0,9652884,1.0,0.0,All
2024-W36,709455,0,10362339,0,10362339,1.0,0.0,All
2024-W37,927725,0,11290064,0,11290064,1.0,0.0,All
2024-W38,904024,0,12194088,0,12194088,1.0,0.0,All
2024-W39,993805,0,13187893,0,13187893,1.0,0.0,All
2024-W40,1032666,0,14220559,0,14220559,1.0,0.0,All
2024-W41,1193592,0,15414151,0,15414151,1.0,0.0,All
2024-W42,1378703,0,16792854,0,16792854,1.0,0.0,All
2024-W43,1249984,0,18042838,0,18042838,1.0,0.0,All
2024-W44,1343928,0,19386766,0,19386766,1.0,0.0,All
2024-W45,235549,0,19622315,0,19622315,1.0,0.0,All
2024-W14,8947,0,8947,0,8947,1.0,0.0,Small
2024-W15,11734,0,20681,0,20681,1.0,0.0,Small
2024-W16,13128,0,33809,0,33809,1.0,0.0,Small
2024-W17,13467,0,47276,0,47276,1.0,0.0,Small
2024-W18,16623,0,63899,0,63899,1.0,0.0,Small
2024-W19,12066,0,75965,0,75965,1.0,0.0,Small
2024-W20,12178,0,88143,0,88143,1.0,0.0,Small
2024-W21,12570,0,100713,0,100713,1.0,0.0,Small
2024-W22,22024,0,122737,0,122737,1.0,0.0,Small
2024-W23,15678,0,138415,0,138415,1.0,0.0,Small
2024-W24,9682,0,148097,0,148097,1.0,0.0,Small
2024-W25,24585,0,172682,0,172682,1.0,0.0,Small
2024-W26,40526,0,213208,0,213208,1.0,0.0,Small
2024-W27,15242,0,228450,0,228450,1.0,0.0,Small
2024-W28,26873,0,255323,0,255323,1.0,0.0,Small
2024-W29,58058,0,313381,0,313381,1.0,0.0,Small
2024-W30,60062,0,373443,0,373443,1.0,0.0,Small
2024-W31,69700,0,443143,0,443143,1.0,0.0,Small
2024-W32,105182,0,548325,0,548325,1.0,0.0,Small
2024-W33,77245,0,625570,0,625570,1.0,0.0,Small
2024-W34,81505,0,707075,0,707075,1.0,0.0,Small
2024-W35,82693,0,789768,0,789768,1.0,0.0,Small
2024-W36,72195,0,861963,0,861963,1.0,0.0,Small
2024-W37,90068,0,952031,0,952031,1.0,0.0,Small
2024-W38,78684,0,1030715,0,1030715,1.0,0.0,Small
2024-W39,97821,0,1128536,0,1128536,1.0,0.0,Small
2024-W40,127144,0,1255680,0,1255680,1.0,0.0,Small
2024-W41,171042,0,1426722,0,1426722,1.0,0.0,Small
2024-W42,224638,0,1651360,0,1651360,1.0,0.0,Small
2024-W43,226708,0,1878068,0,1878068,1.0,0.0,Small
2024-W44,267631,0,2145699,0,2145699,1.0,0.0,Small
2024-W45,37959,0,2183658,0,2183658,1.0,0.0,Small
2024-W14,19118,0,19118,0,19118,1.0,0.0,Medium
2024-W15,25559,0,44677,0,44677,1.0,0.0,Medium
2024-W16,22876,0,67553,0,67553,1.0,0.0,Medium
2024-W17,26307,0,93860,0,93860,1.0,0.0,Medium
2024-W18,33580,0,127440,0,127440,1.0,0.0,Medium
2024-W19,21003,0,148443,0,148443,1.0,0.0,Medium
2024-W20,23320,0,171763,0,171763,1.0,0.0,Medium
2024-W21,21897,0,193660,0,193660,1.0,0.0,Medium
2024-W22,42410,0,236070,0,236070,1.0,0.0,Medium
2024-W23,30199,0,266269,0,266269,1.0,0.0,Medium
2024-W24,27799,0,294068,0,294068,1.0,0.0,Medium
2024-W25,47081,0,341149,0,341149,1.0,0.0,Medium
2024-W26,74166,0,415315,0,415315,1.0,0.0,Medium
2024-W27,28747,0,444062,0,444062,1.0,0.0,Medium
2024-W28,47313,0,491375,0,491375,1.0,0.0,Medium
2024-W29,75879,0,567254,0,567254,1.0,0.0,Medium
2024-W30,94896,0,662150,0,662150,1.0,0.0,Medium
2024-W31,99776,0,761926,0,761926,1.0,0.0,Medium
2024-W32,150489,0,912415,0,912415,1.0,0.0,Medium
2024-W33,112001,0,1024416,0,1024416,1.0,0.0,Medium
2024-W34,146199,0,1170615,0,1170615,1.0,0.0,Medium
2024-W35,155988,0,1326603,0,1326603,1.0,0.0,Medium
2024-W36,115956,0,1442559,0,1442559,1.0,0.0,Medium
2024-W37,163864,0,1606423,0,1606423,1.0,0.0,Medium
2024-W38,147066,0,1753489,0,1753489,1.0,0.0,Medium
2024-W39,167507,0,1920996,0,1920996,1.0,0.0,Medium
2024-W40,165584,0,2086580,0,2086580,1.0,0.0,Medium
2024-W41,229136,0,2315716,0,2315716,1.0,0.0,Medium
2024-W42,221230,0,2536946,0,2536946,1.0,0.0,Medium
2024-W43,202184,0,2739130,0,2739130,1.0,0.0,Medium
2024-W44,235809,0,2974939,0,2974939,1.0,0.0,Medium
2024-W45,34908,0,3009847,0,3009847,1.0,0.0,Medium
2024-W14,109260,0,109260,0,109260,1.0,0.0,Large
2024-W15,152099,0,261359,0,261359,1.0,0.0,Large
2024-W16,197576,0,458935,0,458935,1.0,0.0,Large
2024-W17,198872,0,657807,0,657807,1.0,0.0,Large
2024-W18,240904,0,898711,0,898711,1.0,0.0,Large
2024-W19,206933,0,1105644,0,1105644,1.0,0.0,Large
2024-W20,156008,0,1261652,0,1261652,1.0,0.0,Large
2024-W21,126141,0,1387793,0,1387793,1.0,0.0,Large
2024-W22,278366,0,1666159,0,1666159,1.0,0.0,Large
2024-W23,202897,0,1869056,0,1869056,1.0,0.0,Large
2024-W24,180157,0,2049213,0,2049213,1.0,0.0,Large
2024-W25,302327,0,2351540,0,2351540,1.0,0.0,Large
2024-W26,679027,0,3030567,0,3030567,1.0,0.0,Large
2024-W27,187659,0,3218226,0,3218226,1.0,0.0,Large
2024-W28,313694,0,3531920,0,3531920,1.0,0.0,Large
2024-W29,450607,0,3982527,0,3982527,1.0,0.0,Large
2024-W30,422544,0,4405071,0,4405071,1.0,0.0,Large
2024-W31,493172,0,4898243,0,4898243,1.0,0.0,Large
2024-W32,778860,0,5677103,0,5677103,1.0,0.0,Large
2024-W33,527886,0,6204989,0,6204989,1.0,0.0,Large
2024-W34,585108,0,6790097,0,6790097,1.0,0.0,Large
2024-W35,746416,0,7536513,0,7536513,1.0,0.0,Large
2024-W36,521304,0,8057817,0,8057817,1.0,0.0,Large
2024-W37,673793,0,8731610,0,8731610,1.0,0.0,Large
2024-W38,678274,0,9409884,0,9409884,1.0,0.0,Large
2024-W39,728477,0,10138361,0,10138361,1.0,0.0,Large
2024-W40,739938,0,10878299,0,10878299,1.0,0.0,Large
2024-W41,793414,0,11671713,0,11671713,1.0,0.0,Large
2024-W42,932835,0,12604548,0,12604548,1.0,0.0,Large
2024-W43,821092,0,13425640,0,13425640,1.0,0.0,Large
2024-W44,840488,0,14266128,0,14266128,1.0,0.0,Large
2024-W45,162682,0,14428810,0,14428810,1.0,0.0,Large
