Year_Date,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-04-03,24123,33004,24123,33004,57127,0.42226967983615454,0.5777303201638455,All
2024-04-04,32590,11875,32590,11875,44465,0.7329360170920949,0.2670639829079051,All
2024-04-05,24131,9861,24131,9861,33992,0.7099023299599906,0.2900976700400094,All
2024-04-06,25674,2566,25674,2566,28240,0.9091359773371105,0.09086402266288952,All
2024-04-07,31675,6380,31675,6380,38055,0.8323479174878465,0.16765208251215347,All
2024-04-08,32396,23527,32396,23527,55923,0.5792965327325073,0.4207034672674928,All
2024-04-09,42923,10337,42923,10337,53260,0.805914382275629,0.19408561772437102,All
2024-04-10,48047,6779,48047,6779,54826,0.8763542844635757,0.12364571553642432,All
2024-04-11,49169,28189,49169,28189,77358,0.6356032989477495,0.3643967010522506,All
2024-04-12,49620,24335,49620,24335,73955,0.6709485497937935,0.32905145020620646,All
2024-04-13,28491,4849,28491,4849,33340,0.8545590881823635,0.14544091181763646,All
2024-04-14,26659,1878,26659,1878,28537,0.9341906997932509,0.06580930020674913,All
2024-04-15,71267,45692,71267,45692,116959,0.6093331851332519,0.3906668148667482,All
2024-04-16,79179,6580,79179,6580,85759,0.9232733590643548,0.07672664093564524,All
2024-04-17,63940,10710,63940,10710,74650,0.8565304755525787,0.1434695244474213,All
2024-04-18,74292,14646,74292,14646,88938,0.8353234837752141,0.1646765162247858,All
2024-04-19,54896,8889,54896,8889,63785,0.8606412165869719,0.13935878341302815,All
2024-04-20,24033,12065,24033,12065,36098,0.6657709568397141,0.3342290431602859,All
2024-04-21,41713,5429,41713,5429,47142,0.8848373000721225,0.11516269992787748,All
2024-04-22,125420,25305,125420,25305,150725,0.8321114612705258,0.1678885387294742,All
2024-04-23,80648,30694,80648,30694,111342,0.7243268488081767,0.2756731511918234,All
2024-04-24,57839,28285,57839,28285,86124,0.6715781895871069,0.32842181041289303,All
2024-04-25,47105,17658,47105,17658,64763,0.72734431697111,0.27265568302888993,All
2024-04-26,36126,284465,36126,284465,320591,0.11268563372022296,0.887314366279777,All
2024-04-27,43721,8747,43721,8747,52468,0.8332888617824198,0.16671113821758024,All
2024-04-28,48807,8676,48807,8676,57483,0.8490684202285893,0.15093157977141067,All
2024-04-29,68881,41764,68881,41764,110645,0.6225405576392968,0.37745944236070317,All
2024-04-30,140515,46143,140515,46143,186658,0.752793879715844,0.24720612028415606,All
2024-05-01,91597,28489,91597,28489,120086,0.7627616874573222,0.23723831254267774,All
2024-05-02,100859,56945,100859,56945,157804,0.6391409596714912,0.3608590403285088,All
2024-05-03,40251,26057,40251,26057,66308,0.6070308258430356,0.3929691741569645,All
2024-05-04,89690,5917,89690,5917,95607,0.9381112261654482,0.061888773834551866,All
2024-05-05,37437,3842,37437,3842,41279,0.906926039874997,0.09307396012500303,All
2024-05-06,88422,56589,88422,56589,145011,0.6097606388480874,0.3902393611519126,All
2024-05-07,90654,8534,90654,8534,99188,0.9139613662943098,0.0860386337056902,All
2024-05-08,65271,21384,65271,21384,86655,0.753228319196815,0.24677168080318504,All
2024-05-09,26084,58721,26084,58721,84805,0.30757620423324095,0.692423795766759,All
2024-05-10,106076,11004,106076,11004,117080,0.9060129825760164,0.0939870174239836,All
2024-05-11,26223,6035,26223,6035,32258,0.8129146258292517,0.18708537417074833,All
2024-05-12,45317,2054,45317,2054,47371,0.9566401384813493,0.04335986151865065,All
2024-05-13,121686,14204,121686,14204,135890,0.8954742806681875,0.1045257193318125,All
2024-05-14,146087,15272,146087,15272,161359,0.9053539003092483,0.09464609969075168,All
2024-05-15,156087,105752,156087,105752,261839,0.5961182253216671,0.40388177467833286,All
2024-05-16,83122,17750,83122,17750,100872,0.824034419858831,0.175965580141169,All
2024-05-17,128972,10378,128972,10378,139350,0.9255256548259777,0.07447434517402225,All
2024-05-18,46651,4344,46651,4344,50995,0.9148151779586234,0.0851848220413766,All
2024-05-19,45382,10531,45382,10531,55913,0.8116538193264536,0.18834618067354642,All
2024-05-20,56148,5549,56148,5549,61697,0.9100604567483022,0.08993954325169781,All
2024-05-21,93628,13212,93628,13212,106840,0.8763384500187196,0.12366154998128041,All
2024-05-22,81638,22756,81638,22756,104394,0.7820181236469529,0.2179818763530471,All
2024-05-23,67445,89115,67445,89115,156560,0.4307933060807358,0.5692066939192642,All
2024-05-24,70672,6308,70672,6308,76980,0.918056638087815,0.08194336191218499,All
2024-05-25,44245,4954,44245,4954,49199,0.8993068964816358,0.10069310351836419,All
2024-05-26,42783,796,42783,796,43579,0.9817343215769063,0.018265678423093692,All
2024-05-27,41595,4191,41595,4191,45786,0.9084654697942602,0.09153453020573975,All
2024-05-28,98116,19521,98116,19521,117637,0.8340573119001675,0.16594268809983254,All
2024-05-29,90934,17704,90934,17704,108638,0.8370367642997846,0.1629632357002154,All
2024-05-30,152464,44265,152464,44265,196729,0.7749950439436992,0.2250049560563008,All
2024-05-31,155593,74294,155593,74294,229887,0.6768238308386294,0.3231761691613706,All
2024-06-01,49254,7315,49254,7315,56569,0.870688893210062,0.12931110678993796,All
2024-06-02,52470,12833,52470,12833,65303,0.8034852916405065,0.19651470835949345,All
2024-06-03,160509,38175,160509,38175,198684,0.8078607235610316,0.19213927643896841,All
2024-06-04,253181,285937,253181,285937,539118,0.46962075093022304,0.530379249069777,All
2024-06-05,173004,34520,173004,34520,207524,0.833657793797344,0.16634220620265608,All
2024-06-06,96762,26434,96762,26434,123196,0.7854313451735446,0.2145686548264554,All
2024-06-07,59275,6726,59275,6726,66001,0.8980924531446494,0.10190754685535068,All
2024-06-08,52821,4795,52821,4795,57616,0.9167765898361566,0.08322341016384338,All
2024-06-09,54865,3824,54865,3824,58689,0.9348429859087733,0.06515701409122664,All
2024-06-10,71465,26540,71465,26540,98005,0.7291974899239835,0.2708025100760165,All
2024-06-11,53236,55143,53236,55143,108379,0.49120217016211626,0.5087978298378837,All
2024-06-12,70051,16715,70051,16715,86766,0.8073554157158334,0.19264458428416661,All
2024-06-13,92823,38116,92823,38116,130939,0.7089026187766823,0.29109738122331774,All
2024-06-14,92761,46058,92761,46058,138819,0.6682154460124334,0.33178455398756657,All
2024-06-15,76911,25558,76911,25558,102469,0.7505782236578867,0.24942177634211324,All
2024-06-16,46997,21282,46997,21282,68279,0.6883082646201614,0.31169173537983863,All
2024-06-17,61977,10142,61977,10142,72119,0.8593713168513152,0.14062868314868482,All
2024-06-18,116505,32187,116505,32187,148692,0.783532402550238,0.21646759744976193,All
2024-06-19,106606,139307,106606,139307,245913,0.43351103845669,0.5664889615433101,All
2024-06-20,129532,33182,129532,33182,162714,0.7960716348931254,0.20392836510687465,All
2024-06-21,52138,59184,52138,59184,111322,0.46835306588095793,0.5316469341190421,All
2024-06-22,84281,12315,84281,12315,96596,0.8725102488715889,0.12748975112841113,All
2024-06-23,58487,9374,58487,9374,67861,0.8618646940068669,0.13813530599313303,All
2024-06-24,113037,65199,113037,65199,178236,0.6341984784218676,0.36580152157813234,All
2024-06-25,64170,51749,64170,51749,115919,0.5535762040735341,0.4464237959264659,All
2024-06-26,110968,41345,110968,41345,152313,0.7285523888308942,0.2714476111691057,All
2024-06-27,93917,126821,93917,126821,220738,0.42546820212197267,0.5745317978780273,All
2024-06-28,110639,37550,110639,37550,148189,0.7466073730168906,0.2533926269831094,All
2024-06-29,90937,10048,90937,10048,100985,0.9005000742684557,0.09949992573154429,All
