Year_Month,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-04,1473880,759328,1473880,759328,2233208,0.6599833065258588,0.34001669347414126,All
2024-05,2531129,766467,2531129,766467,3297596,0.7675679495001814,0.23243205049981866,All
2024-06,2956479,1454556,2956479,1454556,4411035,0.6702460987047257,0.32975390129527427,All
2024-07,4269493,1079366,4269493,1079366,5348859,0.7982063090464714,0.2017936909535286,All
2024-08,6535035,1795073,6535035,1795073,8330108,0.7845078359128117,0.2154921640871883,All
2024-09,10634082,3646103,10634082,3646103,14280185,0.744673966058563,0.25532603394143705,All
2024-10,10191135,3199251,10191135,3199251,13390386,0.7610785081176898,0.23892149188231018,All
2024-11,1123778,431384,1123778,431384,1555162,0.7226115350040703,0.2773884649959297,All
2024-04,48237,8974,48237,8974,57211,0.8431420531016762,0.15685794689832375,Small
2024-05,91199,15198,91199,15198,106397,0.8571576266248109,0.14284237337518915,Small
2024-06,99674,23297,99674,23297,122971,0.8105488285856015,0.18945117141439852,Small
2024-07,147656,28835,147656,28835,176491,0.8366205642214051,0.16337943577859496,Small
2024-08,286398,55212,286398,55212,341610,0.838377096689207,0.16162290331079301,Small
2024-09,626836,114480,626836,114480,741316,0.8455719288400628,0.1544280711599372,Small
2024-10,1151085,198438,1151085,198438,1349523,0.8529569336721197,0.1470430663278803,Small
2024-11,200395,29634,200395,29634,230029,0.8711727651730868,0.12882723482691313,Small
2024-04,186890,47087,186890,47087,233977,0.7987537236565987,0.20124627634340128,Medium
2024-05,314147,57842,314147,57842,371989,0.8445061547518878,0.1554938452481122,Medium
2024-06,383774,116226,383774,116226,500000,0.767548,0.232452,Medium
2024-07,585154,129885,585154,129885,715039,0.8183525653845455,0.18164743461545454,Medium
2024-08,1087850,240811,1087850,240811,1328661,0.8187566279133655,0.1812433720866346,Medium
2024-09,2018429,480111,2018429,480111,2498540,0.807843380534232,0.192156619465768,Medium
2024-10,2242450,459398,2242450,459398,2701848,0.8299689693868789,0.17003103061312108,Medium
2024-11,264704,65380,264704,65380,330084,0.8019292058991044,0.19807079410089554,Medium
2024-04,1238425,703267,1238425,703267,1941692,0.6378071290400331,0.3621928709599669,Large
2024-05,2125761,693427,2125761,693427,2819188,0.7540330761907329,0.24596692380926707,Large
2024-06,2473016,1315033,2473016,1315033,3788049,0.6528468876722555,0.34715311232774443,Large
2024-07,3536657,920646,3536657,920646,4457303,0.7934522288478033,0.20654777115219675,Large
2024-08,5160744,1492450,5160744,1492450,6653194,0.7756791700347232,0.22432082996527683,Large
2024-09,7988762,3051012,7988762,3051012,11039774,0.723634559910375,0.27636544008962505,Large
2024-10,6797554,2540415,6797554,2540415,9337969,0.7279478010689476,0.27205219893105237,Large
2024-11,658679,336370,658679,336370,995049,0.6619563458683945,0.3380436541316056,Large
