Year_Week,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-W14,138193,63686,138193,63686,201879,0.6845338049029369,0.3154661950970631,All
2024-W15,277305,99894,277305,99894,377199,0.7351689691648176,0.2648310308351825,All
2024-W16,409320,104011,409320,104011,513331,0.7973802478322953,0.20261975216770467,All
2024-W17,439666,403830,439666,403830,843496,0.521242542940334,0.47875745705966594,All
2024-W18,569230,209157,569230,209157,778387,0.7312943304551592,0.2687056695448408,All
2024-W19,448047,164321,448047,164321,612368,0.7316629869620882,0.26833701303791185,All
2024-W20,727987,178231,727987,178231,906218,0.8033243656603599,0.19667563433964014,All
2024-W21,456559,142690,456559,142690,599249,0.7618852930918533,0.2381147069081467,All
2024-W22,640426,180123,640426,180123,820549,0.7804847729995406,0.21951522700045945,All
2024-W23,850417,400411,850417,400411,1250828,0.6798832453382879,0.3201167546617121,All
2024-W24,504244,229412,504244,229412,733656,0.6873030412073233,0.31269695879267667,All
2024-W25,609526,295691,609526,295691,905217,0.6733479375663515,0.3266520624336485,All
2024-W26,890568,508894,890568,508894,1399462,0.6363645458040305,0.3636354541959696,All
2024-W27,483690,159788,483690,159788,643478,0.7516807101408285,0.24831928985917157,All
2024-W28,589452,186490,589452,186490,775942,0.7596598714852398,0.24034012851476014,All
2024-W29,1001358,324047,1001358,324047,1325405,0.7555109570282291,0.2444890429717709,All
2024-W30,1481850,297403,1481850,297403,1779253,0.8328495160609537,0.16715048393904633,All
2024-W31,1129040,273663,1129040,273663,1402703,0.8049031049338313,0.19509689506616867,All
2024-W32,1512057,383439,1512057,383439,1895496,0.7977104673394193,0.20228953266058067,All
2024-W33,1452204,350628,1452204,350628,1802832,0.8055126600814718,0.19448733991852818,All
2024-W34,1476852,493254,1476852,493254,1970106,0.7496307305292202,0.25036926947077975,All
2024-W35,1809245,446674,1809245,446674,2255919,0.8019990965987698,0.19800090340123028,All
2024-W36,1726281,635572,1726281,635572,2361853,0.7309011187402433,0.2690988812597566,All
2024-W37,2226331,681554,2226331,681554,2907885,0.7656186541077106,0.2343813458922894,All
2024-W38,2729017,727129,2729017,727129,3456146,0.7896127652014701,0.21038723479852992,All
2024-W39,2751925,942561,2751925,942561,3694486,0.7448735764596212,0.25512642354037884,All
2024-W40,2852685,1204536,2852685,1204536,4057221,0.7031130421537304,0.2968869578462697,All
2024-W41,2410123,566731,2410123,566731,2976854,0.809620827894146,0.19037917210585403,All
2024-W42,2391858,748318,2391858,748318,3140176,0.7616955227987221,0.2383044772012779,All
2024-W43,2012573,734742,2012573,734742,2747315,0.7325599721910302,0.26744002780896986,All
2024-W44,2377269,803450,2377269,803450,3180719,0.7473998803415203,0.2526001196584797,All
2024-W45,339713,191198,339713,191198,530911,0.6398680758168507,0.3601319241831493,All
2024-W14,3686,724,3686,724,4410,0.835827664399093,0.16417233560090702,Small
2024-W15,6915,1577,6915,1577,8492,0.8142958078191239,0.1857041921808761,Small
2024-W16,18032,2303,18032,2303,20335,0.8867469879518072,0.11325301204819277,Small
2024-W17,13859,3497,13859,3497,17356,0.7985134823692095,0.2014865176307905,Small
2024-W18,16582,2284,16582,2284,18866,0.8789356514364465,0.12106434856355348,Small
2024-W19,15536,3348,15536,3348,18884,0.822707053590341,0.17729294640965898,Small
2024-W20,25227,2800,25227,2800,28027,0.9000963356763121,0.09990366432368787,Small
2024-W21,19484,3517,19484,3517,23001,0.8470936046258858,0.15290639537411416,Small
2024-W22,23659,4822,23659,4822,28481,0.8306941469751764,0.16930585302482357,Small
2024-W23,27268,6135,27268,6135,33403,0.8163338622279436,0.1836661377720564,Small
2024-W24,14027,5415,14027,5415,19442,0.7214792716798684,0.2785207283201317,Small
2024-W25,27068,4083,27068,4083,31151,0.868928766331739,0.13107123366826104,Small
2024-W26,27767,6964,27767,6964,34731,0.7994874895626386,0.20051251043736143,Small
2024-W27,18953,4507,18953,4507,23460,0.8078857630008525,0.19211423699914748,Small
2024-W28,20478,7121,20478,7121,27599,0.7419834051958404,0.25801659480415956,Small
2024-W29,27169,7458,27169,7458,34627,0.784618938978254,0.21538106102174603,Small
2024-W30,47807,6429,47807,6429,54236,0.8814624972343094,0.11853750276569068,Small
2024-W31,48766,5622,48766,5622,54388,0.8966316099139516,0.1033683900860484,Small
2024-W32,68433,9123,68433,9123,77556,0.8823688689463097,0.11763113105369023,Small
2024-W33,67202,14061,67202,14061,81263,0.8269692233857967,0.17303077661420327,Small
2024-W34,67319,12532,67319,12532,79851,0.8430576949568571,0.15694230504314285,Small
2024-W35,73170,17754,73170,17754,90924,0.8047380229642339,0.19526197703576614,Small
2024-W36,87727,18419,87727,18419,106146,0.826474855387862,0.173525144612138,Small
2024-W37,122271,25734,122271,25734,148005,0.826127495692713,0.17387250430728693,Small
2024-W38,173309,38283,173309,38283,211592,0.819071609512647,0.180928390487353,Small
2024-W39,170713,21794,170713,21794,192507,0.8867885323650568,0.11321146763494315,Small
2024-W40,247623,48074,247623,48074,295697,0.8374214144884797,0.16257858551152024,Small
2024-W41,250831,42070,250831,42070,292901,0.8563678512534952,0.1436321487465048,Small
2024-W42,252104,38613,252104,38613,290717,0.8671801098662961,0.1328198901337039,Small
2024-W43,252860,47279,252860,47279,300139,0.8424763193053885,0.1575236806946115,Small
2024-W44,348174,47723,348174,47723,395897,0.8794560201264471,0.12054397987355298,Small
