Year_Date,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-04-03,24123,33004,24123,33004,57127,0.4222696798361545,0.5777303201638455,All
2024-04-04,32590,11875,56713,44879,101592,0.5582427750216552,0.4417572249783447,All
2024-04-05,24131,9861,80844,54740,135584,0.5962650460231296,0.4037349539768704,All
2024-04-06,25674,2566,106518,57306,163824,0.650197773220041,0.349802226779959,All
2024-04-07,31675,6380,138193,63686,201879,0.6845338049029369,0.3154661950970631,All
2024-04-08,32396,23527,170589,87213,257802,0.661705494914702,0.338294505085298,All
2024-04-09,42923,10337,213512,97550,311062,0.6863969240858736,0.3136030759141264,All
2024-04-10,48047,6779,261559,104329,365888,0.7148608317299283,0.2851391682700717,All
2024-04-11,49169,28189,310728,132518,443246,0.7010283228726261,0.298971677127374,All
2024-04-12,49620,24335,360348,156853,517201,0.6967271911693906,0.3032728088306093,All
2024-04-13,28491,4849,388839,161702,550541,0.7062852721232388,0.2937147278767612,All
2024-04-14,26659,1878,415498,163580,579078,0.7175164658301645,0.2824835341698355,All
2024-04-15,71267,45692,486765,209272,696037,0.6993378225582836,0.3006621774417164,All
2024-04-16,79179,6580,565944,215852,781796,0.723902399091323,0.2760976009086769,All
2024-04-17,63940,10710,629884,226562,856446,0.7354625977586444,0.2645374022413556,All
2024-04-18,74292,14646,704176,241208,945384,0.7448571162617519,0.2551428837382481,All
2024-04-19,54896,8889,759072,250097,1009169,0.7521753046318308,0.2478246953681692,All
2024-04-20,24033,12065,783105,262162,1045267,0.7491913549361072,0.2508086450638928,All
2024-04-21,41713,5429,824818,267591,1092409,0.7550450426534384,0.2449549573465615,All
2024-04-22,125420,25305,950238,292896,1243134,0.7643890360974762,0.2356109639025237,All
2024-04-23,80648,30694,1030886,323590,1354476,0.7610958038385324,0.2389041961614676,All
2024-04-24,57839,28285,1088725,351875,1440600,0.7557441343884492,0.2442558656115507,All
2024-04-25,47105,17658,1135830,369533,1505363,0.7545223311586641,0.2454776688413359,All
2024-04-26,36126,284465,1171956,653998,1825954,0.6418321600653686,0.3581678399346314,All
2024-04-27,43721,8747,1215677,662745,1878422,0.6471799201670339,0.3528200798329662,All
2024-04-28,48807,8676,1264484,671421,1935905,0.6531746134236959,0.3468253865763041,All
2024-04-29,68881,41764,1333365,713185,2046550,0.6515184090298307,0.3484815909701693,All
2024-04-30,140515,46143,1473880,759328,2233208,0.6599833065258588,0.3400166934741412,All
2024-05-01,91597,28489,1565477,787817,2353294,0.6652279740652889,0.3347720259347111,All
2024-05-02,100859,56945,1666336,844762,2511098,0.6635885974979869,0.336411402502013,All
2024-05-03,40251,26057,1706587,870819,2577406,0.6621335559861349,0.3378664440138651,All
2024-05-04,89690,5917,1796277,876736,2673013,0.6720045880809409,0.3279954119190591,All
2024-05-05,37437,3842,1833714,880578,2714292,0.675577277610515,0.324422722389485,All
2024-05-06,88422,56589,1922136,937167,2859303,0.672239353436834,0.3277606465631659,All
2024-05-07,90654,8534,2012790,945701,2958491,0.6803434588781916,0.3196565411218083,All
2024-05-08,65271,21384,2078061,967085,3045146,0.6824175261219002,0.3175824738780998,All
2024-05-09,26084,58721,2104145,1025806,3129951,0.6722613229408384,0.3277386770591616,All
2024-05-10,106076,11004,2210221,1036810,3247031,0.6806898363458803,0.3193101636541197,All
2024-05-11,26223,6035,2236444,1042845,3279289,0.6819905168467921,0.3180094831532079,All
2024-05-12,45317,2054,2281761,1044899,3326660,0.6859014747524544,0.3140985252475456,All
2024-05-13,121686,14204,2403447,1059103,3462550,0.6941262942051378,0.3058737057948621,All
2024-05-14,146087,15272,2549534,1074375,3623909,0.7035314628485428,0.2964685371514571,All
2024-05-15,156087,105752,2705621,1180127,3885748,0.6962934806889175,0.3037065193110824,All
2024-05-16,83122,17750,2788743,1197877,3986620,0.6995256633438853,0.3004743366561147,All
2024-05-17,128972,10378,2917715,1208255,4125970,0.7071585590782289,0.2928414409217711,All
2024-05-18,46651,4344,2964366,1212599,4176965,0.7096937609005581,0.2903062390994418,All
2024-05-19,45382,10531,3009748,1223130,4232878,0.7110405733404082,0.2889594266595919,All
2024-05-20,56148,5549,3065896,1228679,4294575,0.7138997456092862,0.2861002543907138,All
2024-05-21,93628,13212,3159524,1241891,4401415,0.7178427846499364,0.2821572153500635,All
2024-05-22,81638,22756,3241162,1264647,4505809,0.7193296475727222,0.2806703524272778,All
2024-05-23,67445,89115,3308607,1353762,4662369,0.709640742721136,0.290359257278864,All
2024-05-24,70672,6308,3379279,1360070,4739349,0.7130259873244195,0.2869740126755805,All
2024-05-25,44245,4954,3423524,1365024,4788548,0.7149398940973339,0.2850601059026661,All
2024-05-26,42783,796,3466307,1365820,4832127,0.7173460051857081,0.2826539948142919,All
2024-05-27,41595,4191,3507902,1370011,4877913,0.7191399272598753,0.2808600727401247,All
2024-05-28,98116,19521,3606018,1389532,4995550,0.7218460429782506,0.2781539570217493,All
2024-05-29,90934,17704,3696952,1407236,5104188,0.7242977727309418,0.2757022272690583,All
2024-05-30,152464,44265,3849416,1451501,5300917,0.7261792629463921,0.2738207370536079,All
2024-05-31,155593,74294,4005009,1525795,5530804,0.7241278121589555,0.2758721878410444,All
2024-06-01,49254,7315,4054263,1533110,5587373,0.725611660435056,0.274388339564944,All
2024-06-02,52470,12833,4106733,1545943,5652676,0.7265113019037355,0.2734886980962644,All
2024-06-03,160509,38175,4267242,1584118,5851360,0.7292735364086298,0.2707264635913702,All
2024-06-04,253181,285937,4520423,1870055,6390478,0.7073685254843222,0.2926314745156778,All
2024-06-05,173004,34520,4693427,1904575,6598002,0.7113406452438178,0.2886593547561822,All
2024-06-06,96762,26434,4790189,1931009,6721198,0.7126986885373708,0.2873013114626291,All
2024-06-07,59275,6726,4849464,1937735,6787199,0.7145015196990688,0.2854984803009312,All
2024-06-08,52821,4795,4902285,1942530,6844815,0.716204163297328,0.283795836702672,All
2024-06-09,54865,3824,4957150,1946354,6903504,0.7180628851667211,0.2819371148332789,All
2024-06-10,71465,26540,5028615,1972894,7001509,0.7182187439879032,0.2817812560120968,All
2024-06-11,53236,55143,5081851,2028037,7109888,0.7147582352914701,0.2852417647085298,All
2024-06-12,70051,16715,5151902,2044752,7196654,0.7158746272920721,0.2841253727079278,All
2024-06-13,92823,38116,5244725,2082868,7327593,0.7157500423399608,0.2842499576600392,All
2024-06-14,92761,46058,5337486,2128926,7466412,0.7148662570455528,0.2851337429544472,All
2024-06-15,76911,25558,5414397,2154484,7568881,0.7153497326751471,0.2846502673248529,All
2024-06-16,46997,21282,5461394,2175766,7637160,0.7151079720733885,0.2848920279266114,All
2024-06-17,61977,10142,5523371,2185908,7709279,0.7164575312425455,0.2835424687574545,All
2024-06-18,116505,32187,5639876,2218095,7857971,0.7177267516003814,0.2822732483996187,All
