Year_Month,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-04,1473880,759328,1473880,759328,2233208,0.6599833065258588,0.3400166934741412,All
2024-05,2531129,766467,4005009,1525795,5530804,0.7241278121589555,0.2758721878410444,All
2024-06,2956479,1454556,6961488,2980351,9941839,0.7002213574369893,0.2997786425630107,All
2024-07,4269493,1079366,11230981,4059717,15290698,0.7344976010905454,0.2655023989094546,All
2024-08,6535035,1795073,17766016,5854790,23620806,0.7521341989769528,0.2478658010230472,All
2024-09,10634082,3646103,28400098,9500893,37900991,0.7493233620197425,0.2506766379802576,All
2024-10,10191135,3199251,38591233,12700144,51291377,0.7523922198462326,0.2476077801537673,All
2024-11,1123778,431384,39715011,13131528,52846539,0.7515158372055358,0.2484841627944641,All
2024-04,48237,8974,48237,8974,57211,0.8431420531016762,0.15685794689832375,Small
2024-05,91199,15198,139436,24172,163608,0.8522566133685394,0.14774338663146055,Small
2024-06,99674,23297,239110,47469,286579,0.8343598100349293,0.1656401899650707,Small
2024-07,147656,28835,386766,76304,463070,0.835221456799188,0.16477854320081198,Small
2024-08,286398,55212,673164,131516,804680,0.8365611174628423,0.16343888253715763,Small
2024-09,626836,114480,1300000,245996,1545996,0.8408818651535968,0.15911813484640322,Small
2024-10,1151085,198438,2451085,444434,2895519,0.8465097276170525,0.15349027238294757,Small
2024-11,200395,29634,2651480,474068,3125548,0.8483248377564511,0.15167516224354896,Small
2024-04,186890,47087,186890,47087,233977,0.7987537236565987,0.20124627634340128,Medium
2024-05,314147,57842,501037,104929,605966,0.8268401197426918,0.17315988025730816,Medium
2024-06,383774,116226,884811,221155,1105966,0.8000345399406492,0.19996546005935084,Medium
2024-07,585154,129885,1469965,351040,1821005,0.80722732776681,0.19277267223318992,Medium
2024-08,1087850,240811,2557815,591851,3149666,0.8120908693175721,0.18790913068242793,Medium
2024-09,2018429,480111,4576244,1071962,5648206,0.8102119504848088,0.18978804951519118,Medium
2024-10,2242450,459398,6818694,1531360,8350054,0.8166047788433464,0.1833952211566536,Medium
2024-11,264704,65380,7083398,1596740,8680138,0.8160467034049459,0.18395329659505413,Medium
2024-04,1238425,703267,1238425,703267,1941692,0.6378071290400331,0.3621928709599669,Large
2024-05,2125761,693427,3364186,1396694,4760880,0.7066311270185344,0.29336887298146563,Large
2024-06,2473016,1315033,5837202,2711727,8548929,0.6827992137962545,0.31720078620374553,Large
2024-07,3536657,920646,9373859,3632373,13006232,0.720720574567638,0.27927942543236195,Large
2024-08,5160744,1492450,14534603,5124823,19659426,0.7393198051662343,0.26068019483376575,Large
2024-09,7988762,3051012,22523365,8175835,30699200,0.7336792163965185,0.26632078360348155,Large
2024-10,6797554,2540415,29320919,10716250,40037169,0.732342464073821,0.26765753592617897,Large
2024-11,658679,336370,29979598,11052620,41032218,0.7306355703218383,0.2693644296781617,Large
