Year_Week,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-W14,138193,63686,138193,63686,201879,0.6845338049029369,0.3154661950970631,All
2024-W15,277305,99894,415498,163580,579078,0.7175164658301645,0.2824835341698355,All
2024-W16,409320,104011,824818,267591,1092409,0.7550450426534384,0.2449549573465615,All
2024-W17,439666,403830,1264484,671421,1935905,0.6531746134236959,0.3468253865763041,All
2024-W18,569230,209157,1833714,880578,2714292,0.675577277610515,0.324422722389485,All
2024-W19,448047,164321,2281761,1044899,3326660,0.6859014747524544,0.3140985252475456,All
2024-W20,727987,178231,3009748,1223130,4232878,0.7110405733404082,0.2889594266595919,All
2024-W21,456559,142690,3466307,1365820,4832127,0.7173460051857081,0.2826539948142919,All
2024-W22,640426,180123,4106733,1545943,5652676,0.7265113019037355,0.2734886980962644,All
2024-W23,850417,400411,4957150,1946354,6903504,0.7180628851667211,0.2819371148332789,All
2024-W24,504244,229412,5461394,2175766,7637160,0.7151079720733885,0.2848920279266114,All
2024-W25,609526,295691,6070920,2471457,8542377,0.7106827525874824,0.2893172474125176,All
2024-W26,890568,508894,6961488,2980351,9941839,0.7002213574369893,0.2997786425630107,All
2024-W27,483690,159788,7445178,3140139,10585317,0.703349554859812,0.296650445140188,All
2024-W28,589452,186490,8034630,3326629,11361259,0.7071953909333464,0.2928046090666536,All
2024-W29,1001358,324047,9035988,3650676,12686664,0.7122430293732064,0.2877569706267936,All
2024-W30,1481850,297403,10517838,3948079,14465917,0.7270771704275644,0.2729228295724357,All
2024-W31,1129040,273663,11646878,4221742,15868620,0.7339565759341392,0.2660434240658608,All
2024-W32,1512057,383439,13158935,4605181,17764116,0.7407593487905618,0.2592406512094382,All
2024-W33,1452204,350628,14611139,4955809,19566948,0.7467254985294589,0.253274501470541,All
2024-W34,1476852,493254,16087991,5449063,21537054,0.7469912551642393,0.2530087448357607,All
2024-W35,1809245,446674,17897236,5895737,23792973,0.7522067965192917,0.2477932034807083,All
2024-W36,1726281,635572,19623517,6531309,26154826,0.7502828349919055,0.2497171650080945,All
2024-W37,2226331,681554,21849848,7212863,29062711,0.7518172685266697,0.2481827314733302,All
2024-W38,2729017,727129,24578865,7939992,32518857,0.7558342225866057,0.2441657774133943,All
2024-W39,2751925,942561,27330790,8882553,36213343,0.7547160172425948,0.2452839827574052,All
2024-W40,2852685,1204536,30183475,10087089,40270564,0.749517066609745,0.2504829333902549,All
2024-W41,2410123,566731,32593598,10653820,43247418,0.7536541950319439,0.2463458049680561,All
2024-W42,2391858,748318,34985456,11402138,46387594,0.7541985471374092,0.2458014528625908,All
2024-W43,2012573,734742,36998029,12136880,49134909,0.7529886541562537,0.2470113458437462,All
2024-W44,2377269,803450,39375298,12940330,52315628,0.7526488643125913,0.2473511356874087,All
2024-W45,339713,191198,39715011,13131528,52846539,0.7515158372055358,0.2484841627944641,All
2024-W14,3686,724,3686,724,4410,0.835827664399093,0.16417233560090702,Small
2024-W15,6915,1577,10601,2301,12902,0.8216555572779414,0.1783444427220586,Small
2024-W16,18032,2303,28633,4604,33237,0.8614796762644041,0.13852032373559586,Small
