Year_Date,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-04-03,26311.0,2817.0,26311.0,2817.0,29128.0,0.9032889316121945,0.09671106838780555,All
2024-04-04,36558.0,16226.0,36558.0,16226.0,52784.0,0.692596241285238,0.30740375871476205,All
2024-04-05,17834.0,4499.0,17834.0,4499.0,22333.0,0.7985492320780907,0.20145076792190927,All
2024-04-06,15754.0,0.0,15754.0,0.0,15754.0,1.0,0.0,All
2024-04-07,12535.0,0.0,12535.0,0.0,12535.0,1.0,0.0,All
2024-04-08,45524.0,6850.0,45524.0,6850.0,52374.0,0.8692099133157674,0.13079008668423264,All
2024-04-09,20786.0,42546.0,20786.0,42546.0,63332.0,0.3282069096191499,0.6717930903808501,All
2024-04-10,23968.0,25324.0,23968.0,25324.0,49292.0,0.48624523249208795,0.513754767507912,All
2024-04-11,37576.0,23605.0,37576.0,23605.0,61181.0,0.6141776041581537,0.3858223958418463,All
2024-04-12,15170.0,26807.0,15170.0,26807.0,41977.0,0.36138837935059676,0.6386116206494032,All
2024-04-13,16543.0,0.0,16543.0,0.0,16543.0,1.0,0.0,All
2024-04-14,10943.0,0.0,10943.0,0.0,10943.0,1.0,0.0,All
2024-04-15,30058.0,9719.0,30058.0,9719.0,39777.0,0.7556628202227418,0.24433717977725822,All
2024-04-16,50315.0,47750.0,50315.0,47750.0,98065.0,0.5130780604700964,0.48692193952990365,All
2024-04-17,43278.0,43267.0,43278.0,43267.0,86545.0,0.500063550753943,0.49993644924605696,All
2024-04-18,100928.0,48735.0,100928.0,48735.0,149663.0,0.6743684143709534,0.3256315856290466,All
2024-04-19,33407.0,11588.0,33407.0,11588.0,44995.0,0.7424602733637071,0.25753972663629293,All
2024-04-20,19226.0,0.0,19226.0,0.0,19226.0,1.0,0.0,All
2024-04-21,11191.0,0.0,11191.0,0.0,11191.0,1.0,0.0,All
2024-04-22,76010.0,20342.0,76010.0,20342.0,96352.0,0.7888782796413152,0.21112172035868482,All
2024-04-23,25816.0,24375.0,25816.0,24375.0,50191.0,0.5143551632762846,0.4856448367237154,All
2024-04-24,28472.0,9009.0,28472.0,9009.0,37481.0,0.7596382166964596,0.24036178330354047,All
2024-04-25,57430.0,13552.0,57430.0,13552.0,70982.0,0.8090783578935504,0.19092164210644952,All
2024-04-26,57762.0,31462.0,57762.0,31462.0,89224.0,0.647381870348785,0.3526181296512149,All
2024-04-27,7371.0,0.0,7371.0,0.0,7371.0,1.0,0.0,All
2024-04-28,20529.0,0.0,20529.0,0.0,20529.0,1.0,0.0,All
2024-04-29,47571.0,20369.0,47571.0,20369.0,67940.0,0.7001913453046806,0.2998086546953194,All
2024-04-30,39618.0,138959.0,39618.0,138959.0,178577.0,0.22185387815900143,0.7781461218409985,All
2024-05-01,49397.0,17655.0,49397.0,17655.0,67052.0,0.7366968919644455,0.2633031080355545,All
2024-05-02,39370.0,14477.0,39370.0,14477.0,53847.0,0.7311456534254461,0.2688543465745538,All
2024-05-03,9039.0,20843.0,9039.0,20843.0,29882.0,0.3024897931865337,0.6975102068134663,All
2024-05-04,21030.0,0.0,21030.0,0.0,21030.0,1.0,0.0,All
2024-05-05,12883.0,0.0,12883.0,0.0,12883.0,1.0,0.0,All
2024-05-06,54567.0,8008.0,54567.0,8008.0,62575.0,0.8720255693168198,0.12797443068318018,All
2024-05-07,25935.0,8385.0,25935.0,8385.0,34320.0,0.7556818181818182,0.24431818181818182,All
2024-05-08,42946.0,26764.0,42946.0,26764.0,69710.0,0.6160665614689428,0.3839334385310572,All
2024-05-09,27404.0,0.0,27404.0,0.0,27404.0,1.0,0.0,All
2024-05-10,36834.0,20908.0,36834.0,20908.0,57742.0,0.637906549825084,0.362093450174916,All
2024-05-11,10968.0,0.0,10968.0,0.0,10968.0,1.0,0.0,All
2024-05-12,14207.0,0.0,14207.0,0.0,14207.0,1.0,0.0,All
2024-05-13,25852.0,21181.0,25852.0,21181.0,47033.0,0.5496566240724597,0.45034337592754026,All
