Year_Month,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-04,928484,567801,928484,567801,1496285,0.6205261698139057,0.3794738301860942,All
2024-05,971838,794692,971838,794692,1766530,0.5501395390964207,0.44986046090357934,All
2024-06,1760711,903586,1760711,903586,2664297,0.6608538762758056,0.3391461237241944,All
2024-07,1740082,842235,1740082,842235,2582317,0.6738452327890031,0.32615476721099695,All
2024-08,2315305,1275868,2315305,1275868,3591173,0.6447210980924617,0.3552789019075383,All
2024-09,2839514,1550338,2839514,1550338,4389852,0.6468359297762203,0.35316407022377977,All
2024-10,2855565,1621748,2855565,1621748,4477313,0.6377854306813037,0.3622145693186963,All
2024-11,402923,1033787,402923,1033787,1436710,0.2804483855475357,0.7195516144524643,All
2024-04,28318,11072,28318,11072,39390,0.7189134298045189,0.2810865701954811,Small
2024-05,35658,19881,35658,19881,55539,0.6420353265273051,0.35796467347269484,Small
2024-06,62614,26687,62614,26687,89301,0.701156761962352,0.29884323803764795,Small
2024-07,98306,38405,98306,38405,136711,0.7190789329315125,0.2809210670684875,Small
2024-08,129467,76054,129467,76054,205521,0.6299453583818685,0.3700546416181315,Small
2024-09,126646,122486,126646,122486,249132,0.5083489876852432,0.49165101231475683,Small
2024-10,308432,174321,308432,174321,482753,0.6389022957910153,0.36109770420898474,Small
2024-11,49798,181528,49798,181528,231326,0.2152719538659727,0.7847280461340274,Small
2024-04,118483,65683,118483,65683,184166,0.6433489351997654,0.35665106480023456,Medium
2024-05,150363,82440,150363,82440,232803,0.6458808520508756,0.35411914794912436,Medium
2024-06,265918,126095,265918,126095,392013,0.6783397489368975,0.3216602510631025,Medium
2024-07,361630,198328,361630,198328,559958,0.6458162933648595,0.3541837066351405,Medium
2024-08,518201,276755,518201,276755,794956,0.6518612350872249,0.34813876491277507,Medium
2024-09,597125,409246,597125,409246,1006371,0.5933448002774325,0.40665519972256753,Medium
2024-10,671028,420549,671028,420549,1091577,0.6147326299473147,0.38526737005268524,Medium
2024-11,106572,259915,106572,259915,366487,0.29079339785585845,0.7092066021441416,Medium
2024-04,781683,486431,781683,486431,1268114,0.6164138239937419,0.3835861760062581,Large
2024-05,785817,651021,785817,651021,1436838,0.5469071669875101,0.4530928330124899,Large
2024-06,1425579,714414,1425579,714414,2139993,0.6661605902449214,0.33383940975507864,Large
2024-07,1280146,605502,1280146,605502,1885648,0.6788891670131435,0.3211108329868565,Large
2024-08,1667637,923059,1667637,923059,2590696,0.6437023101128037,0.35629768988719634,Large
2024-09,2115743,1018606,2115743,1018606,3134349,0.6750183211888657,0.3249816788111343,Large
2024-10,1876105,1026878,1876105,1026878,2902983,0.6462679939910085,0.35373200600899146,Large
2024-11,246553,592344,246553,592344,838897,0.2939013967149722,0.7060986032850278,Large
