Year_Week,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-W14,108992,23542,108992,23542,132534,0.8223701088022696,0.1776298911977304,All
2024-W15,170510,125132,170510,125132,295642,0.5767448468079637,0.4232551531920363,All
2024-W16,288403,161059,288403,161059,449462,0.6416626989600901,0.35833730103990996,All
2024-W17,273390,98740,273390,98740,372130,0.734662617902346,0.26533738209765406,All
2024-W18,218908,212303,218908,212303,431211,0.5076586636240726,0.4923413363759273,All
2024-W19,212861,64065,212861,64065,276926,0.7686566086246868,0.23134339137531326,All
2024-W20,166075,95729,166075,95729,261804,0.6343485966600969,0.36565140333990315,All
2024-W21,217610,307324,217610,307324,524934,0.41454735261956743,0.5854526473804326,All
2024-W22,283926,274599,283926,274599,558525,0.5083496710084597,0.4916503289915402,All
2024-W23,280179,177927,280179,177927,458106,0.6116029914473943,0.3883970085526057,All
2024-W24,551358,343472,551358,343472,894830,0.6161594939820971,0.3838405060179028,All
2024-W25,310847,128373,310847,128373,439220,0.7077250580574656,0.2922749419425345,All
2024-W26,577974,253814,577974,253814,831788,0.694857343457708,0.305142656542292,All
2024-W27,215537,17084,215537,17084,232621,0.9265586511965815,0.07344134880341843,All
2024-W28,285313,95644,285313,95644,380957,0.7489375441322774,0.2510624558677226,All
2024-W29,473791,124360,473791,124360,598151,0.7920926321280078,0.20790736787199218,All
2024-W30,452179,213270,452179,213270,665449,0.6795096243288367,0.3204903756711634,All
2024-W31,521708,467651,521708,467651,989359,0.527319203645997,0.47268079635400295,All
2024-W32,482954,186653,482954,186653,669607,0.7212499271961016,0.2787500728038984,All
2024-W33,487654,154195,487654,154195,641849,0.7597643682548387,0.24023563174516124,All
2024-W34,567513,213368,567513,213368,780881,0.7267599032374972,0.2732400967625029,All
2024-W35,609821,645878,609821,645878,1255699,0.48564265799367523,0.5143573420063248,All
2024-W36,524277,214785,524277,214785,739062,0.7093816215689618,0.29061837843103827,All
2024-W37,666471,133749,666471,133749,800220,0.8328597135787659,0.16714028642123416,All
2024-W38,610150,199280,610150,199280,809430,0.7538020582385135,0.2461979417614865,All
2024-W39,764013,235165,764013,235165,999178,0.7646415353420511,0.23535846465794882,All
2024-W40,670586,816087,670586,816087,1486673,0.45106489456659266,0.5489351054334074,All
2024-W41,640963,218605,640963,218605,859568,0.7456803882880703,0.25431961171192974,All
