Year_Month,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-04,928484,567801,928484,567801,1496285,0.6205261698139057,0.3794738301860942,All
2024-05,971838,794692,1900322,1362493,3262815,0.5824179427886657,0.4175820572113344,All
2024-06,1760711,903586,3661033,2266079,5927112,0.6176756909604543,0.3823243090395457,All
2024-07,1740082,842235,5401115,3108314,8509429,0.6347212016223415,0.3652787983776585,All
2024-08,2315305,1275868,7716420,4384182,12100602,0.6376889348149787,0.3623110651850214,All
2024-09,2839514,1550338,10555934,5934520,16490454,0.6401239165398357,0.3598760834601643,All
2024-10,2855565,1621748,13411499,7556268,20967767,0.6396245723257036,0.3603754276742965,All
2024-11,402923,1033787,13814422,8590055,22404477,0.6165920320300269,0.3834079679699731,All
2024-04,28318,11072,28318,11072,39390,0.7189134298045189,0.2810865701954811,Small
2024-05,35658,19881,63976,30953,94929,0.6739352568761917,0.32606474312380834,Small
2024-06,62614,26687,126590,57640,184230,0.6871302176627042,0.3128697823372958,Small
2024-07,98306,38405,224896,96045,320941,0.7007393882364671,0.29926061176353286,Small
2024-08,129467,76054,354363,172099,526462,0.6731027120665879,0.3268972879334121,Small
2024-09,126646,122486,481009,294585,775594,0.6201814351322986,0.3798185648677014,Small
2024-10,308432,174321,789441,468906,1258347,0.6273635173763675,0.3726364826236324,Small
2024-11,49798,181528,839239,650434,1489673,0.5633712902093279,0.4366287097906722,Small
2024-04,118483,65683,118483,65683,184166,0.6433489351997654,0.35665106480023456,Medium
2024-05,150363,82440,268846,148123,416969,0.6447625602862563,0.3552374397137437,Medium
2024-06,265918,126095,534764,274218,808982,0.6610332491946669,0.3389667508053331,Medium
2024-07,361630,198328,896394,472546,1368940,0.6548088301897819,0.34519116981021813,Medium
2024-08,518201,276755,1414595,749301,2163896,0.653725964648948,0.346274035351052,Medium
2024-09,597125,409246,2011720,1158547,3170267,0.6345585403374542,0.36544145966254576,Medium
2024-10,671028,420549,2682748,1579096,4261844,0.6294805722593318,0.37051942774066815,Medium
2024-11,106572,259915,2789320,1839011,4628331,0.602662169149095,0.397337830850905,Medium
2024-04,781683,486431,781683,486431,1268114,0.6164138239937419,0.3835861760062581,Large
2024-05,785817,651021,1567500,1137452,2704952,0.5794927229762302,0.4205072770237697,Large
2024-06,1425579,714414,2993079,1851866,4844945,0.617773576377028,0.382226423622972,Large
2024-07,1280146,605502,4273225,2457368,6730593,0.6348957662422909,0.365104233757709,Large
2024-08,1667637,923059,5940862,3380427,9321289,0.6373433974635911,0.36265660253640886,Large
2024-09,2115743,1018606,8056605,4399033,12455638,0.6468239523338748,0.35317604766612515,Large
2024-10,1876105,1026878,9932710,5425911,15358621,0.6467188688359456,0.35328113116405435,Large
2024-11,246553,592344,10179263,6018255,16197518,0.6284458520126355,0.37155414798736447,Large
