Year_Week,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-W14,108992,23542,108992,23542,132534,0.8223701088022696,0.1776298911977304,All
2024-W15,170510,125132,279502,148674,428176,0.652773625798737,0.347226374201263,All
2024-W16,288403,161059,567905,309733,877638,0.6470834216385344,0.3529165783614656,All
2024-W17,273390,98740,841295,408473,1249768,0.6731609386702172,0.3268390613297828,All
2024-W18,218908,212303,1060203,620776,1680979,0.6307056780602256,0.3692943219397744,All
2024-W19,212861,64065,1273064,684841,1957905,0.6502174518171209,0.3497825481828791,All
2024-W20,166075,95729,1439139,780570,2219709,0.6483457966787538,0.3516542033212461,All
2024-W21,217610,307324,1656749,1087894,2744643,0.6036300531617409,0.3963699468382591,All
2024-W22,283926,274599,1940675,1362493,3303168,0.5875193147911338,0.4124806852088661,All
2024-W23,280179,177927,2220854,1540420,3761274,0.5904525966467745,0.4095474033532255,All
2024-W24,551358,343472,2772212,1883892,4656104,0.595393058230658,0.4046069417693419,All
2024-W25,310847,128373,3083059,2012265,5095324,0.6050761443236976,0.3949238556763024,All
2024-W26,577974,253814,3661033,2266079,5927112,0.6176756909604543,0.3823243090395457,All
2024-W27,215537,17084,3876570,2283163,6159733,0.6293405899249205,0.3706594100750796,All
2024-W28,285313,95644,4161883,2378807,6540690,0.6363064141550815,0.3636935858449185,All
2024-W29,473791,124360,4635674,2503167,7138841,0.6493594688549584,0.3506405311450416,All
2024-W30,452179,213270,5087853,2716437,7804290,0.6519302844973726,0.3480697155026274,All
2024-W31,521708,467651,5609561,3184088,8793649,0.6379104965413107,0.3620895034586893,All
2024-W32,482954,186653,6092515,3370741,9463256,0.6438074802161117,0.3561925197838883,All
2024-W33,487654,154195,6580169,3524936,10105105,0.6511727488234907,0.3488272511765093,All
2024-W34,567513,213368,7147682,3738304,10885986,0.6565948183288128,0.3434051816711871,All
2024-W35,609821,645878,7757503,4384182,12141685,0.6389148623111207,0.3610851376888793,All
2024-W36,524277,214785,8281780,4598967,12880747,0.6429580520446524,0.3570419479553476,All
2024-W37,666471,133749,8948251,4732716,13680967,0.6540656811758994,0.3459343188241006,All
2024-W38,610150,199280,9558401,4931996,14490397,0.6596369305823712,0.3403630694176288,All
2024-W39,764013,235165,10322414,5167161,15489575,0.6664104082907375,0.3335895917092625,All
2024-W40,670586,816087,10993000,5983248,16976248,0.6475518029661207,0.3524481970338793,All
2024-W41,640963,218605,11633963,6201853,17835816,0.6522809497474071,0.3477190502525928,All
2024-W42,596119,666040,12230082,6867893,19097975,0.6403863236809139,0.3596136763190862,All
2024-W43,605318,303974,12835400,7171867,20007267,0.6415368975682686,0.3584631024317314,All
2024-W44,827922,479054,13663322,7650921,21314243,0.6410418610691452,0.3589581389308548,All
2024-W45,151100,939134,13814422,8590055,22404477,0.6165920320300269,0.3834079679699731,All
2024-W14,3780,274,3780,274,4054,0.9324124321657622,0.06758756783423779,Small
2024-W15,6813,850,10593,1124,11717,0.9040710079371853,0.09592899206281472,Small
