Year_Date,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-04-03,56212.0,35497.0,56212.0,35497.0,91709.0,0.6129387519218398,0.3870612480781603,All
2024-04-04,58378.0,33807.0,58378.0,33807.0,92185.0,0.6332700547811466,0.3667299452188534,All
2024-04-05,57782.0,23940.0,57782.0,23940.0,81722.0,0.7070556276155747,0.2929443723844252,All
2024-04-06,33968.0,11618.0,33968.0,11618.0,45586.0,0.7451410520773922,0.2548589479226078,All
2024-04-07,45267.0,11853.0,45267.0,11853.0,57120.0,0.7924894957983193,0.20751050420168068,All
2024-04-08,43841.0,28847.0,43841.0,28847.0,72688.0,0.6031394453004623,0.39686055469953774,All
2024-04-09,52694.0,99722.0,52694.0,99722.0,152416.0,0.345724858282595,0.654275141717405,All
2024-04-10,77016.0,30578.0,77016.0,30578.0,107594.0,0.715801996393851,0.28419800360614905,All
2024-04-11,38428.0,30759.0,38428.0,30759.0,69187.0,0.5554222614074898,0.44457773859251015,All
2024-04-12,41260.0,21382.0,41260.0,21382.0,62642.0,0.6586635164905336,0.3413364835094665,All
2024-04-13,27446.0,12997.0,27446.0,12997.0,40443.0,0.6786341270429987,0.3213658729570012,All
2024-04-14,27370.0,15049.0,27370.0,15049.0,42419.0,0.645229731959735,0.35477026804026496,All
2024-04-15,68260.0,21835.0,68260.0,21835.0,90095.0,0.7576447083633941,0.2423552916366058,All
2024-04-16,72373.0,30633.0,72373.0,30633.0,103006.0,0.7026095567248509,0.297390443275149,All
2024-04-17,36658.0,25976.0,36658.0,25976.0,62634.0,0.5852731743142702,0.41472682568572977,All
2024-04-18,26670.0,21190.0,26670.0,21190.0,47860.0,0.5572503134141246,0.4427496865858755,All
2024-04-19,34357.0,28508.0,34357.0,28508.0,62865.0,0.546520321323471,0.45347967867652905,All
2024-04-20,35722.0,11018.0,35722.0,11018.0,46740.0,0.7642704321780059,0.235729567821994,All
2024-04-21,30044.0,15025.0,30044.0,15025.0,45069.0,0.6666222902660365,0.33337770973396347,All
2024-04-22,61197.0,18987.0,61197.0,18987.0,80184.0,0.7632071236156839,0.23679287638431606,All
2024-04-23,81031.0,97741.0,81031.0,97741.0,178772.0,0.45326449332110175,0.5467355066788983,All
2024-04-24,62030.0,33434.0,62030.0,33434.0,95464.0,0.6497737366965558,0.35022626330344425,All
2024-04-25,35036.0,15615.0,35036.0,15615.0,50651.0,0.6917138852145072,0.3082861147854929,All
2024-04-26,35516.0,80382.0,35516.0,80382.0,115898.0,0.3064418713006264,0.6935581286993736,All
2024-04-27,46427.0,15861.0,46427.0,15861.0,62288.0,0.7453602620087336,0.2546397379912664,All
2024-04-28,48162.0,19852.0,48162.0,19852.0,68014.0,0.7081189166936219,0.2918810833063781,All
2024-04-29,41871.0,122313.0,41871.0,122313.0,164184.0,0.25502485016810406,0.7449751498318959,All
2024-04-30,120353.0,42004.0,120353.0,42004.0,162357.0,0.7412861779904778,0.2587138220095222,All
2024-05-01,32303.0,84303.0,32303.0,84303.0,116606.0,0.2770269111366482,0.7229730888633518,All
2024-05-02,34970.0,18947.0,34970.0,18947.0,53917.0,0.6485894986738876,0.35141050132611235,All
2024-05-03,86251.0,31684.0,86251.0,31684.0,117935.0,0.7313435366939416,0.2686564633060584,All
2024-05-04,38631.0,16021.0,38631.0,16021.0,54652.0,0.7068542779770183,0.2931457220229818,All
2024-05-05,33363.0,14638.0,33363.0,14638.0,48001.0,0.6950480198329202,0.30495198016707986,All
2024-05-06,51813.0,91824.0,51813.0,91824.0,143637.0,0.36072181958687527,0.6392781804131248,All
2024-05-07,60777.0,31295.0,60777.0,31295.0,92072.0,0.660102962898601,0.3398970371013989,All
2024-05-08,40766.0,87355.0,40766.0,87355.0,128121.0,0.31818359207311836,0.6818164079268816,All
2024-05-09,47588.0,27917.0,47588.0,27917.0,75505.0,0.6302628964969207,0.36973710350307926,All
2024-05-10,26144.0,48225.0,26144.0,48225.0,74369.0,0.351544326264976,0.648455673735024,All
2024-05-11,26278.0,9642.0,26278.0,9642.0,35920.0,0.7315701559020045,0.26842984409799553,All
2024-05-12,17069.0,11457.0,17069.0,11457.0,28526.0,0.5983664025801023,0.4016335974198976,All
2024-05-13,52143.0,33159.0,52143.0,33159.0,85302.0,0.6112752338749384,0.38872476612506157,All
2024-05-14,67566.0,34397.0,67566.0,34397.0,101963.0,0.662652138520836,0.337347861479164,All
