Year_Month,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-04,1395369,956423,1395369,956423,2351792,0.5933216032710376,0.40667839672896244,All
2024-05,1404749,1506461,1404749,1506461,2911210,0.4825309750928308,0.5174690249071692,All
2024-06,1896701,1764526,1896701,1764526,3661227,0.5180506425851225,0.4819493574148776,All
2024-07,2810968,1691529,2810968,1691529,4502497,0.6243131311359008,0.3756868688640992,All
2024-08,4393924,2573817,4393924,2573817,6967741,0.6306095476281337,0.3693904523718663,All
2024-09,8078388,6131738,8078388,6131738,14210126,0.5684951702750559,0.43150482972494403,All
2024-10,11146363,14094801,11146363,14094801,25241164,0.4415946507062828,0.5584053492937172,All
2024-11,1460871,3081747,1460871,3081747,4542618,0.32159230646292514,0.6784076935370749,All
2024-04,36071,54476,36071,54476,90547,0.39836769854329795,0.601632301456702,Small
2024-05,36727,90099,36727,90099,126826,0.28958573163231516,0.7104142683676848,Small
2024-06,42021,107080,42021,107080,149101,0.2818290957136438,0.7181709042863562,Small
2024-07,146920,100199,146920,100199,247119,0.5945313796187262,0.4054686203812738,Small
2024-08,167546,147088,167546,147088,314634,0.5325107903150963,0.4674892096849037,Small
2024-09,219196,310581,219196,310581,529777,0.41375144636328115,0.5862485536367188,Small
2024-10,855135,1055222,855135,1055222,1910357,0.44763099253176236,0.5523690074682376,Small
2024-11,165242,161487,165242,161487,326729,0.5057463524817203,0.49425364751827966,Small
2024-04,183201,164497,183201,164497,347698,0.5268969047851871,0.47310309521481286,Medium
2024-05,189484,268692,189484,268692,458176,0.41356160078223214,0.5864383992177679,Medium
2024-06,246261,304769,246261,304769,551030,0.44691033156089505,0.5530896684391049,Medium
2024-07,560877,326433,560877,326433,887310,0.6321094093383373,0.3678905906616628,Medium
2024-08,845713,515642,845713,515642,1361355,0.6212288491980417,0.37877115080195833,Medium
2024-09,1352224,1144000,1352224,1144000,2496224,0.5417077954542541,0.4582922045457459,Medium
2024-10,2162226,2813624,2162226,2813624,4975850,0.43454404775063554,0.5654559522493644,Medium
2024-11,326647,334914,326647,334914,661561,0.4937518989178625,0.5062481010821376,Medium
2024-04,1176097,735558,1176097,735558,1911655,0.6152245044215614,0.3847754955784386,Large
2024-05,1178538,1126880,1178538,1126880,2305418,0.5112036081959974,0.4887963918040026,Large
2024-06,1607419,1340533,1607419,1340533,2947952,0.545266340835943,0.45473365916405695,Large
2024-07,2103171,1248878,2103171,1248878,3352049,0.6274284773283445,0.37257152267165544,Large
2024-08,3378665,1902661,3378665,1902661,5281326,0.6397380127642187,0.36026198723578134,Large
2024-09,6498368,4628411,6498368,4628411,11126779,0.584029574057326,0.41597042594267397,Large
2024-10,8111852,10109762,8111852,10109762,18221614,0.44517746891137083,0.5548225310886291,Large
2024-11,968482,2556938,968482,2556938,3525420,0.27471393479358486,0.7252860652064151,Large
