Year_Week,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-W14,251607,116715,251607,116715,368322,0.6831169465847818,0.3168830534152182,All
2024-W15,308055,239334,308055,239334,547389,0.5627716304127413,0.4372283695872588,All
2024-W16,304084,154185,304084,154185,458269,0.6635491381699394,0.3364508618300605,All
2024-W17,369399,281872,369399,281872,651271,0.5671970654305197,0.43280293456948027,All
2024-W18,387742,329910,387742,329910,717652,0.5402925094614103,0.4597074905385897,All
2024-W19,270435,307715,270435,307715,578150,0.46775923203320935,0.5322407679667907,All
2024-W20,297984,416846,297984,416846,714830,0.4168599527160304,0.5831400472839696,All
2024-W21,261677,312137,261677,312137,573814,0.4560310483885022,0.5439689516114978,All
2024-W22,418187,371659,418187,371659,789846,0.5294538429010213,0.4705461570989788,All
2024-W23,353158,286201,353158,286201,639359,0.5523626006672308,0.44763739933276925,All
2024-W24,330932,472542,330932,472542,803474,0.41187642661741386,0.5881235733825861,All
2024-W25,383021,300289,383021,300289,683310,0.5605376768962843,0.43946232310371575,All
2024-W26,760538,638005,760538,638005,1398543,0.5438073766770132,0.4561926233229869,All
2024-W27,361353,200603,361353,200603,561956,0.6430272120948971,0.3569727879051029,All
2024-W28,378259,216617,378259,216617,594876,0.6358619275277537,0.36413807247224633,All
2024-W29,565851,350989,565851,350989,916840,0.6171752977618777,0.38282470223812226,All
2024-W30,904331,496980,904331,496980,1401311,0.6453463934843872,0.3546536065156129,All
2024-W31,948602,703099,948602,703099,1651701,0.5743182331426814,0.4256817668573186,All
2024-W32,700536,484730,700536,484730,1185266,0.5910369486680627,0.4089630513319373,All
2024-W33,743611,385846,743611,385846,1129457,0.6583792034579449,0.3416207965420552,All
2024-W34,1404152,502608,1404152,502608,1906760,0.736407308733139,0.2635926912668611,All
2024-W35,1316013,969730,1316013,969730,2285743,0.5757484546600383,0.4242515453399617,All
2024-W36,1269732,922254,1269732,922254,2191986,0.5792609989297377,0.4207390010702623,All
2024-W37,1386985,1130669,1386985,1130669,2517654,0.5509037381625911,0.44909626183740897,All
2024-W38,1954277,1394063,1954277,1394063,3348340,0.5836554830154643,0.4163445169845356,All
2024-W39,2256157,2065360,2256157,2065360,4321517,0.5220752342290913,0.4779247657709087,All
2024-W40,2687500,1808815,2687500,1808815,4496315,0.5977116816771066,0.4022883183228933,All
2024-W41,2029616,2742158,2029616,2742158,4771774,0.4253378303331214,0.5746621696668786,All
