Year_Month,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-04,1395369,956423,1395369,956423,2351792,0.5933216032710376,0.4066783967289624,All
2024-05,1404749,1506461,2800118,2462884,5263002,0.5320381789708611,0.4679618210291388,All
2024-06,1896701,1764526,4696819,4227410,8924229,0.5262996949092185,0.4737003050907815,All
2024-07,2810968,1691529,7507787,5918939,13426726,0.5591673651491809,0.4408326348508192,All
2024-08,4393924,2573817,11901711,8492756,20394467,0.5835754864297262,0.4164245135702737,All
2024-09,8078388,6131738,19980099,14624494,34604593,0.5773828635984825,0.4226171364015175,All
2024-10,11146363,14094801,31126462,28719295,59845757,0.5201114257774365,0.4798885742225635,All
2024-11,1460871,3081747,32587333,31801042,64388375,0.5061058459698664,0.4938941540301335,All
2024-04,36071,54476,36071,54476,90547,0.39836769854329795,0.601632301456702,Small
2024-05,36727,90099,72798,144575,217373,0.33489899849567334,0.6651010015043267,Small
2024-06,42021,107080,114819,251655,366474,0.31330735604708654,0.6866926439529134,Small
2024-07,146920,100199,261739,351854,613593,0.42656777375230814,0.5734322262476919,Small
2024-08,167546,147088,429285,498942,928227,0.46247846701291817,0.5375215329870818,Small
2024-09,219196,310581,648481,809523,1458004,0.4447731281944357,0.5552268718055643,Small
2024-10,855135,1055222,1503616,1864745,3368361,0.446393958367289,0.553606041632711,Small
2024-11,165242,161487,1668858,2026232,3695090,0.4516420439015017,0.5483579560984982,Small
2024-04,183201,164497,183201,164497,347698,0.5268969047851871,0.47310309521481286,Medium
2024-05,189484,268692,372685,433189,805874,0.4624606328036393,0.5375393671963608,Medium
2024-06,246261,304769,618946,737958,1356904,0.45614575533714985,0.5438542446628502,Medium
2024-07,560877,326433,1179823,1064391,2244214,0.5257176900242134,0.47428230997578663,Medium
2024-08,845713,515642,2025536,1580033,3605569,0.5617798466760725,0.4382201533239275,Medium
2024-09,1352224,1144000,3377760,2724033,6101793,0.5535684347207452,0.4464315652792548,Medium
2024-10,2162226,2813624,5539986,5537657,11077643,0.5001051216400456,0.4998948783599544,Medium
2024-11,326647,334914,5866633,5872571,11739204,0.4997470867701081,0.500252913229892,Medium
2024-04,1176097,735558,1176097,735558,1911655,0.6152245044215614,0.3847754955784386,Large
2024-05,1178538,1126880,2354635,1862438,4217073,0.5583576570763655,0.44164234292363447,Large
2024-06,1607419,1340533,3962054,3202971,7165025,0.5529714132190746,0.4470285867809254,Large
2024-07,2103171,1248878,6065225,4451849,10517074,0.5767027026718649,0.4232972973281352,Large
2024-08,3378665,1902661,9443890,6354510,15798400,0.5977750911484707,0.4022249088515293,Large
2024-09,6498368,4628411,15942258,10982921,26925179,0.5920947823596642,0.4079052176403358,Large
2024-10,8111852,10109762,24054110,21092683,45146793,0.5327977559779273,0.4672022440220726,Large
2024-11,968482,2556938,25022592,23649621,48672213,0.5141042590358487,0.48589574096415133,Large
