Year_Week,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-W14,251607,116715,251607,116715,368322,0.6831169465847818,0.3168830534152182,All
2024-W15,308055,239334,559662,356049,915711,0.6111775440067881,0.3888224559932118,All
2024-W16,304084,154185,863746,510234,1373980,0.6286452495669514,0.3713547504330485,All
2024-W17,369399,281872,1233145,792106,2025251,0.6088850221528097,0.3911149778471903,All
2024-W18,387742,329910,1620887,1122016,2742903,0.5909385056635251,0.4090614943364749,All
2024-W19,270435,307715,1891322,1429731,3321053,0.5694946753333958,0.4305053246666042,All
2024-W20,297984,416846,2189306,1846577,4035883,0.5424602249371451,0.4575397750628548,All
2024-W21,261677,312137,2450983,2158714,4609697,0.5317015413377495,0.4682984586622504,All
2024-W22,418187,371659,2869170,2530373,5399543,0.5313727476566072,0.4686272523433927,All
2024-W23,353158,286201,3222328,2816574,6038902,0.5335950144579263,0.4664049855420737,All
2024-W24,330932,472542,3553260,3289116,6842376,0.5193020670012872,0.4806979329987127,All
2024-W25,383021,300289,3936281,3589405,7525686,0.5230461382523799,0.4769538617476201,All
2024-W26,760538,638005,4696819,4227410,8924229,0.5262996949092185,0.4737003050907815,All
2024-W27,361353,200603,5058172,4428013,9486185,0.5332145641266748,0.4667854358733252,All
2024-W28,378259,216617,5436431,4644630,10081061,0.5392717095948532,0.4607282904051468,All
2024-W29,565851,350989,6002282,4995619,10997901,0.5457661421029341,0.454233857897066,All
2024-W30,904331,496980,6906613,5492599,12399212,0.5570203170975704,0.4429796829024296,All
2024-W31,948602,703099,7855215,6195698,14050913,0.5590537070438056,0.4409462929561943,All
2024-W32,700536,484730,8555751,6680428,15236179,0.5615417750080253,0.4384582249919747,All
2024-W33,743611,385846,9299362,7066274,16365636,0.5682249073607649,0.431775092639235,All
2024-W34,1404152,502608,10703514,7568882,18272396,0.5857750674843081,0.414224932515692,All
2024-W35,1316013,969730,12019527,8538612,20558139,0.584660265211749,0.415339734788251,All
2024-W36,1269732,922254,13289259,9460866,22750125,0.5841400431865759,0.4158599568134241,All
2024-W37,1386985,1130669,14676244,10591535,25267779,0.5808284139258936,0.4191715860741065,All
2024-W38,1954277,1394063,16630521,11985598,28616119,0.5811592061103744,0.4188407938896256,All
2024-W39,2256157,2065360,18886678,14050958,32937636,0.5734072111307563,0.4265927888692437,All
