day_offset,segment,agg_yes,agg_no,odds
-223,medium,0.0,2222.0,0.0
-218,medium,467.0,6611.0,0.0659790901384572
-214,medium,-0.0,5470.98,-0.0
-210,medium,467.0,11991.98,0.037483004226670245
-209,medium,958.4899999999999,11991.98,0.07401198566538511
-207,medium,958.4899999999999,7251.469999999999,0.11674721923127518
-188,medium,1014.4899999999999,7251.469999999999,0.12273105604188746
-186,medium,1494.9799999999996,7231.959999999999,0.17130632272022034
-140,medium,-0.0,7181.959999999999,-0.0
-106,medium,-0.0,7176.91975,-0.0
-101,medium,-0.0,6826.91975,-0.0
-99,medium,-0.0,6749.92975,-0.0
-98,medium,-0.0,6759.172825,-0.0
-96,medium,-0.0,6656.172825,-0.0
-94,medium,-0.0,6656.169824999999,-0.0
-93,medium,-0.0,5939.735325,-0.0
-92,medium,-0.0,5581.727325,-0.0
-91,medium,-0.0,4956.250992,-0.0
-90,medium,-0.0,4755.0909919999995,-0.0
-89,medium,-0.0,4129.950992,-0.0
-88,medium,-0.0,3993.0099919999993,-0.0
-87,medium,6343.816925,936.3009169999998,0.871389318508232
-86,medium,3066.5769250000003,936.3009169999998,0.7660930575557645
-85,medium,12675.743008000001,-0.0,1.0
-84,medium,6984.594583,17582.343073999997,0.2843087193250495
-83,medium,5273.694583,17082.343073999997,0.23589576399504456
-82,medium,10316.838083,15682.343073999997,0.3968139619744256
-81,medium,10232.848083,17502.779738999998,0.3689423635430841
-80,medium,13538.522083,17157.709738999998,0.4410483397931904
-79,medium,16626.756083,18157.709738999994,0.4779937161629241
-78,medium,14131.188083,16973.479739,0.45431085018709516
-77,medium,10989.751083000001,16103.479738999997,0.40562718987638063
-76,medium,12483.145083000001,18223.479738999995,0.40652937779265
-75,medium,12824.269083000001,13465.949738999998,0.48779620929851236
-74,medium,12824.269083000001,13465.949738999998,0.48779620929851236
-73,medium,12824.279083000001,13465.949738999998,0.487796404125189
-72,medium,12824.280083000001,13465.949738999998,0.4877964236078484
-71,medium,12824.296083000001,13465.949738999998,0.48779673533019896
-70,medium,13029.306083,15995.949738999998,0.4488954778866858
-69,medium,13029.316083,13465.949738999998,0.49176015709875526
-66,medium,13029.316083,13465.949738999998,0.49176015709875526
