day_offset,segment,agg_yes,agg_no,odds
-216,small,400.0,200.0,0.6666666666666666
-215,small,0.0,45.989999999999995,0.0
-212,small,-0.0,2.24718,-0.0
-211,small,166.666664,-0.0,1.0
-209,small,333.333344,222.200082,0.6000239200728131
-208,small,153.84615,76.923075,0.6666666666666666
-204,small,307.692312,199.99997100000002,0.6060606440220404
-203,small,326.666672,353.333299,0.48039218519319615
-196,small,200.0,502.200053,0.2848191183488845
-182,small,237.799918,40.0,0.8560114765764618
-155,small,249.99991799999998,40.0,0.8620689265160413
-136,small,2200.0,-0.0,1.0
-131,small,16.666664,-0.0,1.0
-118,small,16.666664,-0.0,1.0
-98,small,1022.0,1549.919971,0.39736850738891044
-96,small,1222.0,-0.0,1.0
-94,small,1144.0,1632.9199709999998,0.4119672197784054
-93,small,644.0,1105.999971,0.3680000060982858
-92,small,644.0,5170.959971,0.11074882771536107
-91,small,1646.0,3555.919971,0.3164216307010157
-90,small,416.285713,0.0,1.0
-89,small,387.714287,339.0,0.5335168083739628
-87,small,652.714287,0.0,1.0
-86,small,2.004287000000012,1642.92,0.0012184676315135543
-85,small,30.0,5636.92,0.005293880979438566
-84,small,378.0,1048.92,0.2649062316037339
-78,small,100.0,6162.92,0.015966993032004242
-73,small,2849.08,9088.54,0.23866398829917518
-72,small,3471.416664,2815.5,0.5521652106314606
-71,small,4459.9400000000005,9698.990000000002,0.31499131643422207
-70,small,2457.629562,2464.54,0.4992980292619997
-69,small,3639.66,3644.35,0.4996780619466475
-68,small,933.91,829.2099999999999,0.5296916829257226
-67,small,1419.6100000000001,1064.9099999999999,0.5713819973274517
-66,small,3315.15,13724.5,0.19455505248053803
-65,small,1000.0,6007.87,0.14269671098350856
-63,small,1525.999918,2830.0,0.35032138354599485
-62,small,249.99991799999998,18166.84,0.01357452848116785
-61,small,12466.038886,27622.450053,0.3109630523856548
-60,small,4117.45,8576.879971,0.3243534719363882
-59,small,405.263154,330.631659,0.5507079909258716
-58,small,4225.676308,3549.523236,0.5434813967264529
-57,small,1052.631576,-0.0,1.0
-56,small,5044.610000000001,22758.199971000002,0.18144245150982333
-55,small,2894.61,8131.099971000001,0.26253275368329565
-52,small,2273.52,8532.919971,0.21038565948648993
-49,small,433.0,222.0,0.6610687022900763
-48,small,833.3333299999999,-0.0,1.0
-47,small,40.0,0.0,1.0
-46,small,2516.2031319999996,1089.493935,0.6978409681247911
-45,small,800.0,0.0,1.0
-44,small,5954.906982,4106.069007,0.5918816413547451
-42,small,5643.997644000001,-0.0,1.0
-41,small,6358.435552000001,8479.92,0.42851349192417576
-40,small,222.22222,0.0,1.0
-39,small,12414.852627999999,15274.230000000003,0.44836633971563
-38,small,233.0,8791.189999999999,0.025819491832507962
-37,small,8604.880000000001,946.73,0.9008826784175653
-36,small,873.036583,2584.692202,0.2524884504497075
-35,small,7612.104475,3280.0,0.6988644382241844
-34,small,10550.722283000001,26119.973504,0.2877153557239102
-33,small,220.0,-0.0,1.0
-32,small,11748.840066,5946.8310249999995,0.6639386551423556
-30,small,5403.15,4261.54,0.5590608700330792
-29,small,6320.929618,1932.0,0.7659013114826251
-28,small,-0.0,23.689355999999997,-0.0
-27,small,24111.364046000002,27510.739971000003,0.4670744152167787
-26,small,2262.5509079999997,16376.00273,0.12139090575070939
-24,small,2404.8022140000003,14856.58,0.1393168973484385
-23,small,5322.435855999999,4304.54,0.5528668540996494
-22,small,2395.8,-0.0,1.0
-21,small,12695.64,6250.692236,0.670084311932257
-20,small,11762.957570999999,-0.0,1.0
-19,small,11202.559788999999,3303.44,0.7722707811904822
-18,small,17092.596589,8074.436508,0.6791661346461018
-17,small,0.006664000000000669,3270.11,2.037847784870549e-06
-16,small,26474.366589,-0.0,1.0
-15,small,6802.311186,6493.885705000001,0.5115982593943373
-14,small,5006.58238,4369.207722,0.5339904504615584
-13,small,8306.804752,5863.859533,0.5861972724026043
-12,small,1943.7028839999998,3373.241287,0.3655676684742079
-11,small,2487.717807,4057.198588,0.3800992490752817
-10,small,0.6718289999999999,35.771502999999996,0.0184348950310032
-9,small,50.236774999999994,61.32988699999999,0.4502848261248508
-8,small,966.4299,545.453432,0.6392225375760674
-7,small,15779.986399,3870.083332,0.8030498932075265
-6,small,4286.306399,16129.364332,0.20995177946769564
-5,small,3414.99,7313.554332,0.31830879328280526
-4,small,13362.038364,7359.6743320000005,0.6448327201534518
-3,small,1043.733328,15.217374,0.9856297616392722
-2,small,4856.765212,7531.945521999999,0.39203152904934074
-1,small,13951.181249000001,10730.007703,0.5652556396749068
0,small,13753.017888,10881.681147,0.55827829958305
