day_offset,segment,agg_yes,agg_no,odds
-214,medium,0.0,0.0,0.0
-213,medium,-0.0,1555.0,-0.0
-140,medium,-0.0,2110.0,-0.0
-98,medium,-0.0,1058.08,-0.0
-95,medium,235.84000000000006,1055.0,0.1827027362027827
-92,medium,235.84000000000006,261.36699999999996,0.4743296051745049
-91,medium,444.4734000000001,-0.0,1.0
-90,medium,1344.0800000000002,137.99659999999994,0.9068896978739156
-88,medium,1847.64,137.99284999999995,0.9305043477700322
-87,medium,1847.64,136.98784999999995,0.9309755478842041
-86,medium,1687.64,136.98784999999995,0.9249228548166685
-85,medium,2603.03215,-0.0,1.0
-84,medium,2603.03865,-0.0,1.0
-82,medium,2803.03865,-0.0,1.0
-79,medium,2803.05165,-0.0,1.0
-78,medium,3283.05165,-0.0,1.0
-77,medium,3343.05165,-0.0,1.0
-76,medium,3406.0531499999997,-0.0,1.0
-75,medium,3358.0531499999997,-0.0,1.0
-74,medium,3358.05515,-0.0,1.0
-73,medium,3787.53715,-0.0,1.0
-72,medium,4141.59865,-0.0,1.0
-71,medium,5722.82015,-0.0,1.0
-70,medium,5213.42015,-0.0,1.0
-69,medium,7272.45515,-0.0,1.0
-68,medium,7377.165150000001,-0.0,1.0
-67,medium,7377.165150000001,-0.0,1.0
-66,medium,9567.16515,-0.0,1.0
-65,medium,10167.16515,-0.0,1.0
-64,medium,10167.16515,-0.0,1.0
-63,medium,11372.16515,-0.0,1.0
-62,medium,14686.60515,-0.0,1.0
-61,medium,18780.51515,-0.0,1.0
-60,medium,18666.66915,-0.0,1.0
-59,medium,13447.64915,2496.9799999999996,0.8433967967201044
-58,medium,13447.65415,2646.9799999999996,0.8355364915206849
-57,medium,12347.66115,2646.9799999999996,0.8234716007191676
-56,medium,16941.27315,2777.9799999999996,0.8591234678682544
-55,medium,17346.27315,7487.709999999999,0.698489366173223
-54,medium,17346.273349,7487.713333,0.6984892748441718
-53,medium,17346.274349,7487.713333,0.6984892869852234
-52,medium,17663.194348999998,7487.713333,0.702288544506137
-50,medium,17663.194348999998,7487.719998999999,0.7022883583715347
-47,medium,17663.196849,7487.719998999999,0.7022883879640585
-46,medium,17663.197349,7487.719998999999,0.7022883938825626
-45,medium,17663.200349,7487.719998999999,0.7022884293935818
-44,medium,17663.982849,7487.719998999999,0.7022976915618496
-43,medium,17664.004349,7487.719998999999,0.7022979460414052
-42,medium,17664.036849,7487.719998999999,0.7022983307189772
-41,medium,17884.036849,13005.968331999999,0.5789586872584992
-40,medium,17884.517348999998,12805.968331999999,0.5827381663129568
-39,medium,18267.387849,12899.898331999999,0.5861077458882528
-38,medium,18268.587849,12899.901665,0.5861236182393205
-37,medium,18268.587849,12899.901665,0.5861236182393205
-36,medium,18268.587849,16069.914996999998,0.5320146871554146
-35,medium,18390.587849,15399.921663,0.5442530495868659
-34,medium,21159.797849,23160.921662999997,0.4774245111988966
-33,medium,21159.817849,22288.921662999997,0.48700648365543314
-32,medium,21159.817849,35459.781663,0.37371896006638783
-31,medium,21159.049849,35469.781663,0.3736444719774284
-30,medium,21171.929849,35469.781663,0.37378690162839723
-29,medium,21159.097848999998,35094.781663,0.3761357977894906
-28,medium,21159.097848999998,34994.781663,0.37680562826435404
-27,medium,23363.799849,42159.114996,0.3565744885475417
-26,medium,23508.119349,42243.114996,0.35753122482312233
-25,medium,23578.189349,38328.114996,0.380868953468781
-24,medium,23624.219349,38616.114996,0.37956446728017657
-23,medium,23664.259349,38841.114996,0.37859559433056944
-22,medium,23711.829349,70462.031662,0.2517878007171261
-21,medium,23767.429349,70462.031662,0.25222928258313476
-20,medium,24124.091349,76170.031662,0.24053344926655507
-19,medium,24239.611349,71875.031662,0.25219478104107257
-18,medium,27209.262349,71795.031662,0.27482911343195765
-17,medium,27209.252349,71795.031662,0.27482904018554266
-16,medium,27209.253849,71505.861662,0.27563411852532377
-15,medium,27209.243849,71605.861662,0.2753551059657685
-14,medium,27219.243849,71643.758328,0.27532285333868234
-13,medium,27330.353849,75950.608328,0.2646214101119818
-12,medium,27366.185849,81959.088325,0.25031893179105597
-11,medium,27867.485849,83894.31082500001,0.24934715330576843
-10,medium,28067.486849,78310.430825,0.26384692859860354
-9,medium,28068.390459,78310.430825,0.2638531816785758
-8,medium,27889.091459,77577.37082499999,0.2644356400606316
-7,medium,29410.381459,85701.250825,0.2554944350579582
-6,medium,41273.481459,77577.37082499999,0.3472712283154266
-5,medium,43924.191459,89108.430825,0.33017609293779077
-4,medium,47742.161459,95684.430825,0.33286826869919217
-3,medium,47742.161459,290461.240825,0.141164048429381
-2,medium,48685.421459,357903.827491,0.11974104476379564
-1,medium,62270.680459,566422.797491,0.09904775958873933
0,medium,64788.183459,553474.217491,0.10479075447487797
