day_offset,segment,agg_yes,agg_no,odds
-208,medium,0.0,0.0,0.0
-204,medium,0.0,0.0,0.0
-93,medium,4356.007,-0.0,1.0
-92,medium,4445.475165999999,6094.75,0.4217628272629256
-91,medium,8446.029499,16805.892666,0.33447075607996596
-90,medium,9445.782165,5509.46,0.6316034244571526
-89,medium,9445.832165000002,-0.0,1.0
-88,medium,10486.832165000002,-0.0,1.0
-87,medium,10445.832165000002,-0.0,1.0
-86,medium,10445.832165000002,-0.0,1.0
-85,medium,10533.618498000002,-0.0,1.0
-84,medium,10510.838498000001,-0.0,1.0
-83,medium,11024.265998,-0.0,1.0
-82,medium,10948.075998,3900.0,0.7373397064693553
-81,medium,10960.079498000001,-0.0,1.0
-80,medium,10718.981998000001,-0.0,1.0
-79,medium,10090.695498000001,-0.0,1.0
-78,medium,10820.329498,-0.0,1.0
-77,medium,10521.881497999999,3549.5499999999997,0.7477477681993829
-76,medium,10747.714498,-0.0,1.0
-75,medium,10404.218498,-0.0,1.0
-74,medium,10486.218498,2876.0499999999997,0.78476334310821
-73,medium,10501.764498,2722.114,0.7941516174387343
-72,medium,10506.333498,2717.545,0.7944971287802587
-70,medium,12180.057498,6684.171,0.6456695273433175
-69,medium,12180.115498,2354.678,0.8379971479936055
-68,medium,12186.121497999999,2348.672,0.8384103633585727
-67,medium,11895.001498,2639.792,0.8183811830306886
-66,medium,11895.001498,6137.197,0.6596534249176166
-65,medium,11762.39,5058.793502,0.6992605483794573
-64,medium,8429.056668000001,866.3775019999999,0.9067953700542425
-63,medium,8429.056668000001,872.3775019999999,0.9062104309877624
-60,medium,9875.075668000001,2324.3975020000003,0.8094673868609361
-59,medium,8429.056668000001,6584.812502000001,0.5614180177380619
-58,medium,8434.056668000001,3085.367443,0.7321595755768942
-56,medium,8434.056668000001,3072.69944,0.7329656237465809
-55,medium,4213.056668,7341.475537,0.3646237332028796
-53,medium,4213.056668,2447.970537,0.632493538659853
-52,medium,4213.056668,6147.395537,0.40664795171457474
-51,medium,10770.926668,16643.506537,0.39289255362155495
-50,medium,7921.936668,3500.814537,0.6935226484257476
-45,medium,7921.936668,3500.813537,0.6935227091399045
-44,medium,7921.936668,3500.812037,0.6935228002111599
-43,medium,-0.0,17462.442034,-0.0
-42,medium,-0.0,17612.439533999997,-0.0
-41,medium,-0.0,17612.437533999997,-0.0
-40,medium,-0.0,17612.437034,-0.0
-39,medium,-0.0,17611.557033999998,-0.0
-38,medium,1648.99,20112.987534,0.07577390416030377
-37,medium,1648.99,21993.316533999998,0.06974742492356181
-35,medium,-0.0,19267.138533999998,-0.0
-34,medium,-0.0,19267.137034,-0.0
-33,medium,-0.0,19267.132533999997,-0.0
-32,medium,-0.0,19267.125033999997,-0.0
-31,medium,-0.0,19267.119201999998,-0.0
-30,medium,-0.0,19261.693536,-0.0
-29,medium,-0.0,19261.687536999998,-0.0
-28,medium,1648.99,17315.472536999998,0.08695158097851662
-27,medium,1648.99,17304.372536999996,0.08700250400322938
-24,medium,1648.99,27951.493536999995,0.05570821158846261
-21,medium,-0.0,15448.877203999999,-0.0
-19,medium,-0.0,15448.873538,-0.0
-18,medium,-0.0,15448.868537999999,-0.0
-17,medium,-0.0,15448.866788,-0.0
-16,medium,-0.0,15748.866788,-0.0
-15,medium,-0.0,15748.866788,-0.0
-12,medium,1648.99,17870.111788,0.08448083410343042
-11,medium,1648.99,18096.291788,0.08351311557387636
-10,medium,1648.99,18322.320788,0.08256794045740928
-9,medium,1648.99,18961.854120999997,0.08000594203319773
-5,medium,-0.0,13267.269120999998,-0.0
-3,medium,-0.0,112619.23912099999,-0.0
-2,medium,-0.0,228488.32512099997,-0.0
-1,medium,-0.0,228487.594454,-0.0
0,medium,11174.882209,255784.486663,0.041859861507082236
