day_offset,segment,agg_yes,agg_no,odds
-216,small,321.333328,200.0,0.6163682825203917
-215,small,0.0,444.0,0.0
-213,small,2.666664,-0.0,1.0
-209,small,134.0,134.0,0.5
-205,small,888.0,-0.0,1.0
-204,small,40.0,80.0,0.3333333333333333
-203,small,60.0,-0.0,1.0
-200,small,200.0,900.0,0.18181818181818182
-199,small,280.0,5410.0,0.0492091388400703
-198,small,84.027022,-0.0,1.0
-197,small,250.0,220.0,0.5319148936170213
-193,small,555.0,1310.0,0.2975871313672922
-184,small,-0.0,910.0,-0.0
-176,small,555.0,528.0,0.5124653739612188
-175,small,2.666664,529.3333319999999,0.005012526353477643
-168,small,29.333328,543.999996,0.051162782228231334
-161,small,0.0,3010.0,0.0
-160,small,0.12193999999999999,900.06097,0.00013546135862543758
-158,small,0.024388,900.073164,2.7094840937863143e-05
-157,small,40.0,140.0,0.2222222222222222
-155,small,0.0,1099.999814,0.0
-150,small,138.166622,1321.999814,0.094623885739009
-149,small,42.409634,141.204817,0.23097111239899087
-146,small,1000.0,6786.919996,0.12842047953666944
-145,small,1686.764066,-0.0,1.0
-144,small,1.20481,-0.0,1.0
-143,small,0.0240939999999998,-0.0,1.0
-141,small,269.477705,269.462295,0.5000142965821798
-136,small,202.409634,0.0,1.0
-135,small,7.228902,-0.0,1.0
-134,small,361.445782,361.434218,0.5000079985613103
-133,small,26.506022,-0.0,1.0
-128,small,32.142856,32.137144,0.5000444306160547
-121,small,1205.0,4125.269813999999,0.22606735532131172
-120,small,64.104917,120.80727300000001,0.34667761492630633
-117,small,67.62962,107.483936,0.3862043667253265
-116,small,41.195183,147.483936,0.21833461603135848
-114,small,853.62962,1529.983936,0.35812416733881
-112,small,1243.32,20.0,0.9841686983503783
-110,small,12.0,-0.0,1.0
-108,small,768.3199999999999,-0.0,1.0
-106,small,600.0,0.0,1.0
-105,small,602.4691339999999,0.0,1.0
-104,small,0.0,0.0,0.0
-103,small,2.531638,196.274953,0.012734175397635585
-102,small,42.658534,-0.0,1.0
-101,small,4032.497066,1285.27,0.7583064500478818
-100,small,20.599089999999997,0.24,0.9884831823270595
-99,small,4859.717084,908.8,0.8424551775150814
-98,small,1315.8479889999999,501.254181,0.7241463967873639
-97,small,250.194187,1200.0,0.1725246103196523
-96,small,14.17619,3168.630833,0.004453989795032571
-95,small,162.883857,109.074953,0.5989284075776035
-94,small,355.339069,0.0,1.0
-93,small,1001.194807,3752.304953,0.21062266909633756
-92,small,556.606025,3747.61487,0.12931632427289724
-90,small,12.459999999999999,3644.775736,0.0034069447253153493
-89,small,9.333867999999999,3646.973536,0.0025528127065543634
-88,small,66.47666799999999,3675.5449360000002,0.017764907591377974
-87,small,2912.753805,5152.632203,0.36114251718527296
-86,small,2949.9784729999997,222.22222,0.929946985860519
-85,small,2841.0178989999995,-0.0,1.0
-83,small,2851.770586,-0.0,1.0
-82,small,123.57111,6.2299999999999995,0.9520034921118934
-79,small,256.391835,-0.0,1.0
-76,small,259.949659,270.066299,0.49045628735578567
-74,small,480.09481,879.6201679999999,0.3530848874711741
-72,small,13359.558404999998,14680.475182,0.4764458774112808
-71,small,7377.218023,3977.006429,0.6497333264977454
-70,small,3946.574181,21119.676664000002,0.15744573073189477
-69,small,1826.814275,21894.861740000004,0.07701033745865361
-68,small,5444.497035,12476.296553,0.3038089249934616
-67,small,2857.474181,1591.062504,0.6423402532871323
-64,small,-0.0,297.99048000000005,-0.0
-62,small,21.100000000000023,3963.1032999999998,0.005295914493118367
-61,small,158.6,4553.566299,0.03365755576870399
-60,small,494.93333199999995,469.66666399999997,0.5130969666725979
-59,small,942.933332,1300.0,0.42040185436951716
-56,small,3469.68674,1023.68,0.7721797353224722
-55,small,4653.577424,4757.519278,0.49447769705852085
-51,small,0.0,285.0,0.0
-49,small,1.0989,1251.0811,0.0008775894839400085
-48,small,8587.899406,3525.304025,0.7089701295713342
-47,small,11.978019,1613.544817,0.007368717765586653
-46,small,2000.0,107.14570799999997,0.9491512582194909
-45,small,1896.156702,0.0,1.0
