day_offset,segment,agg_yes,agg_no,odds
-218,medium,820.0,410.0,0.6666666666666666
-217,medium,100.0,815.0,0.1092896174863388
-216,medium,732.0,222.0,0.7672955974842768
-215,medium,1176.0,1221.461536,0.4905188184841853
-213,medium,768.631574,603.730768,0.560079179147281
-209,medium,693.315787,857.730768,0.4469986956645541
-207,medium,2804.631574,2736.730768,0.506126724964848
-205,medium,38549.315787,39627.145749,0.4931064290911679
-204,medium,39904.315787,24036.414981,0.6240828859430342
-203,medium,38226.982455000005,28673.479081,0.5714008779211421
-200,medium,14299.002455,22534.768313,0.38820360112091795
-199,medium,1775.98,11425.768313000002,0.13452612168428935
-198,medium,12297.002455,9925.768313000002,0.5533514512379007
-192,medium,-0.0,9810.768313000002,-0.0
-191,medium,11112.002455,10995.768313000002,0.5026288073822496
-181,medium,-0.0,16297.499081000002,-0.0
-179,medium,15827.945529,23082.880618000003,0.4067748515337119
-176,medium,420.02,20342.800618,0.02022942873358306
-168,medium,-0.0,20128.820618,-0.0
-161,medium,26041.55525,43129.353413,0.3764813236280328
-160,medium,12021.539291000001,12002.148217000002,0.500403582380797
-159,medium,42365.569229999994,31471.602643000002,0.5737702048348874
-158,medium,23526.50262,14207.194626000002,0.623487872567111
-151,medium,12121.539291000001,20260.655273000004,0.3743272948052688
-150,medium,12121.539291000001,20260.877489000002,0.37432472608055906
-146,medium,25188.699825000003,46302.431702,0.35233320954623587
-144,medium,10185.493329,31836.818198,0.24238298558268648
-143,medium,6758.954507,23229.305265000003,0.22538668660296277
-141,medium,5604.024507,24384.235265000003,0.1868739483253533
-132,medium,5598.4689530000005,24389.790819,0.1866886906931253
-131,medium,4370.0,31654.893621000003,0.12130500775309977
-121,medium,8014.0,38360.893621,0.1728090217412598
-120,medium,-0.0,25034.790819,-0.0
-114,medium,-0.0,24594.790819,-0.0
-112,medium,-0.0,30604.790819,-0.0
-111,medium,0.0,24879.321866000002,0.0
-108,medium,-0.0,30470.790819,-0.0
-106,medium,1429.44,31781.761866,0.04304089944614111
-104,medium,1500.0,30569.350819,0.0467736315732123
-100,medium,-0.0,26739.346919000003,-0.0
-99,medium,-0.0,26736.599933,-0.0
-98,medium,-0.0,26486.599933,-0.0
-97,medium,10934.27,36343.88273500001,0.23127532205600246
-96,medium,4075.02,28539.339933000003,0.12494557637713428
-95,medium,-0.0,25728.339933000003,-0.0
-93,medium,5045.530000000001,25809.75147,0.16352241041475096
-92,medium,1760.6000000000004,24111.221470000004,0.06805087156470704
-91,medium,2122.9700000000003,23748.85147,0.08205722981127235
-90,medium,-0.0,25585.85147,-0.0
-89,medium,2124.3436220000003,23757.477848000002,0.0820785980794419
-87,medium,9599.83,30948.588201000002,0.23674980248090788
-83,medium,216.304337,23905.715731,0.008967090500307928
-80,medium,2463.577959,27029.405731000003,0.08353098434850151
-79,medium,-0.0,20586.47984,-0.0
-76,medium,468.46000000000004,21220.590948,0.021598916482014067
-75,medium,468.46000000000004,21221.516167,0.02159799514730375
-72,medium,22364.594337000002,64365.396457,0.2578645994569526
-71,medium,23018.754337,61556.424515,0.2721691476086741
-70,medium,8328.944336999999,56185.931969,0.1291011440135923
-69,medium,9165.509999999998,51279.920859,0.15163280118525788
-68,medium,8368.949999999999,50042.194187999994,0.1432765975798043
-67,medium,-0.0,46022.57850799999,-0.0
-66,medium,8368.949999999999,46291.185302,0.15310884164045935
-64,medium,8368.949999999999,46483.248633999996,0.15257273561341855
-62,medium,25634.754337,56903.058163999995,0.3105819449320809
-61,medium,2059.1443369999997,45645.740729,0.04316422383475321
-60,medium,-0.0,39007.226286000005,-0.0
-59,medium,8998.949999999999,43562.571961,0.17120794193663397
-58,medium,-0.0,38761.369615999996,-0.0
-55,medium,810.3943370000001,42010.090725999995,0.01892538900032778
-54,medium,16252.834337,49706.472481000004,0.2464069912354608
-49,medium,23598.968952999996,56734.22715400001,0.2937636008103959
-48,medium,24629.968496999998,48540.904167,0.3366089210128817
-47,medium,1359.1499999999999,34755.404245,0.03763441162196186
-46,medium,-0.0,40868.805970999994,-0.0
-45,medium,27007.069544,55686.37416500001,0.3265926333777857
-44,medium,73621.986798,83703.532715,0.467959597564949
-43,medium,32852.156974,77787.454187,0.29692943268025734
-42,medium,10109.75243,82122.932061,0.10961138652520196
-41,medium,22462.307683000003,64791.941174,0.2574351160802865
-38,medium,3438.6963830000013,75677.727904,0.04346374869680542
-36,medium,2832.667430000001,72401.727904,0.03765122876876315
