day_offset,segment,agg_yes,agg_no,odds
-209,all_users,84573.3,85573.3,0.4970613576762627
-208,all_users,25778.0,107397.65,0.1935639135232304
-160,all_users,109751.3,42997.65,0.718507721329672
-158,all_users,25783.0,42807.65,0.37589671478547004
-157,all_users,104010.3,39624.65,0.7241294684893892
-156,all_users,26183.0,103224.65,0.20232961498025814
-155,all_users,83448.65,82263.0,0.5035774491413247
-152,all_users,62487.0,39224.65,0.6143544028633888
-150,all_users,5236.3499999999985,39234.65,0.11774752085628834
-148,all_users,76822.3,77641.65,0.49734776302172773
-147,all_users,655.54,44769.417216,0.014431273911450148
-145,all_users,46350.840000000004,45270.173608000005,0.5058974810987337
-143,all_users,20.0,43482.413608,0.00045974460590209737
-134,all_users,15.0,43487.413608,0.00034480845442657303
-133,all_users,220.0,43267.413608,0.00505893502849129
-132,all_users,1850.4,45085.573608000006,0.0394239185374991
-120,all_users,43703.3,43777.412608000006,0.49957640601116216
-118,all_users,43698.3,43257.412608000006,0.5025351260933686
-116,all_users,-0.0,43717.412608000006,-0.0
-113,all_users,43258.3,42997.412608000006,0.5015122905145172
-111,all_users,3185.38,39762.792608,0.07416799846349356
-108,all_users,48400.990000000005,41677.412608000006,0.5373206961787468
-106,all_users,-0.0,41720.10260800001,-0.0
-104,all_users,620.0,42271.412608000006,0.014455107964533653
-102,all_users,453.31,42223.10260800001,0.010622026836319033
-101,all_users,506.62399999999997,41618.106608,0.012026759404457434
-98,all_users,5458.658,47066.752608,0.1039241376090948
-97,all_users,5938.658,41464.064608,0.1252809474491609
-96,all_users,125.96800000000002,41745.412608000006,0.0030084510749552973
-94,all_users,8732.829,48291.324608,0.15314263250677795
-93,all_users,48695.701,44995.864608,0.5197447676746053
-89,all_users,844.7624999999997,42638.65910800001,0.019427231546207988
-87,all_users,1560.2964999999997,48346.16010800001,0.03126442160090933
-86,all_users,1543.067,42341.134608,0.03516224389322607
-85,all_users,39075.030999999995,42038.64460800001,0.48173172658133295
-84,all_users,38111.049999999996,42032.425608000005,0.4755352785847449
-83,all_users,38112.84,42077.91560800001,0.4752772275436419
-82,all_users,38084.206000000006,42072.855608000005,0.47511978652918885
-81,all_users,37231.704,42063.073608000006,0.4695353858492153
-80,all_users,37199.0045,42125.354108,0.4689480652951465
