day_offset,segment,agg_yes,agg_no,odds
-209,medium,84573.3,79175.65,0.5164814797285723
-208,medium,25778.0,107397.65,0.1935639135232304
-160,medium,109551.3,42797.65,0.7190814245848101
-158,medium,25783.0,42797.65,0.37595152568545215
-157,medium,103210.3,39624.65,0.7225843534793129
-156,medium,25783.0,102824.65,0.20047796534654044
-155,medium,83048.65,82263.0,0.5023762693070936
-152,medium,62477.0,39224.65,0.6143164835575431
-150,medium,5221.3499999999985,39224.65,0.11747626333078338
-148,medium,75122.3,75091.64360800001,0.5001020424311607
-147,medium,-0.0,44164.413608,-0.0
-145,medium,43708.3,43487.413608,0.501266612674294
-143,medium,-0.0,43477.413608,-0.0
-134,medium,-0.0,43472.413608,-0.0
-133,medium,-0.0,43267.413608,-0.0
-132,medium,-0.0,43267.412608000006,-0.0
-120,medium,43703.3,43712.412608000006,0.49994787774572713
-118,medium,43698.3,43247.412608000006,0.5025929248175403
-116,medium,-0.0,43217.412608000006,-0.0
-113,medium,43258.3,42997.412608000006,0.5015122905145172
-111,medium,-0.0,39677.412608000006,-0.0
-108,medium,42988.3,41677.412608000006,0.507741548211313
-106,medium,-0.0,41671.412608000006,-0.0
-104,medium,-0.0,42071.412608000006,-0.0
-102,medium,-0.0,41581.412608000006,-0.0
-101,medium,-0.0,41581.408608000005,-0.0
-98,medium,-0.0,40984.064608,-0.0
-97,medium,-0.0,41264.064608,-0.0
-96,medium,-0.0,41745.404608000004,-0.0
-94,medium,-0.0,44244.054608000006,-0.0
-93,medium,38191.0,42677.904608000004,0.47225815886990424
-89,medium,-0.0,42638.630108000005,-0.0
-87,medium,-0.0,42216.90010800001,-0.0
-86,medium,-0.0,41736.125608,-0.0
-85,medium,38089.2,42010.57560800001,0.47552193137724375
-84,medium,37240.2,41998.72560800001,0.46997356052288786
-83,medium,37223.35,41986.93560800001,0.4699307635906384
-82,medium,37125.44,42015.57560800001,0.4691049225838739
-81,medium,37075.57,41968.07760800001,0.46905186086386513
-80,medium,36608.47,42000.777108,0.46570182703447344
-79,medium,33385.0,58482.126309,0.36340529350736156
-77,medium,35829.0,54164.691383000005,0.39812790707203033
-76,medium,-0.0,53881.691383000005,-0.0
-75,medium,-0.0,54608.45555100001,-0.0
-72,medium,-0.0,54246.20555100001,-0.0
-70,medium,-0.0,54214.198551,-0.0
-69,medium,-0.0,54214.187553,-0.0
-68,medium,-0.0,54214.181887000006,-0.0
-67,medium,-0.0,54214.179887000006,-0.0
-64,medium,-0.0,54113.179887000006,-0.0
-63,medium,-0.0,53699.539887000006,-0.0
-62,medium,1104.6399999999999,54568.429887000006,0.019841550003297733
-57,medium,-0.0,54289.536917000005,-0.0
-56,medium,-0.0,54289.456597000004,-0.0
-55,medium,35828.020000000004,58482.713931,0.3798933430654102
-54,medium,35827.48,58482.711764,0.37988980119618454
-53,medium,-0.0,57974.711764,-0.0
-52,medium,-0.0,56564.051645,-0.0
-50,medium,-0.0,56564.047645,-0.0
-49,medium,-0.0,56172.047645,-0.0
-47,medium,-0.0,56172.045646,-0.0
-46,medium,-0.0,56172.044647,-0.0
-45,medium,-0.0,56172.043314,-0.0
-44,medium,-0.0,55756.970315,-0.0
-41,medium,436.49857399999996,55756.936815,0.007767785880651917
-40,medium,439.603074,55756.932315,0.007822601001236254
-39,medium,5391.443074,56275.979315000004,0.0874277351822914
-38,medium,-0.0,56485.003315,-0.0
-37,medium,-0.0,51145.003315,-0.0
-36,medium,-0.0,51145.001815,-0.0
-35,medium,-0.0,51145.000315,-0.0
-34,medium,35827.48,47456.008315,0.43018707219000096
-33,medium,765.7550339999974,53773.509349,0.014040435687260294
-32,medium,5194.043033999997,56273.509349,0.08450056709003606
-31,medium,5194.054033999997,50957.189349,0.09250114015413802
-30,medium,5495.084033999997,60667.189349,0.08305464357595557
-29,medium,11978.487107999998,63907.189349,0.15784911813743283
-28,medium,10841.569107999996,51782.189349,0.17312230014818186
-27,medium,47452.076034,65943.189349,0.4184661138516452
-26,medium,16963.589107999996,56783.229349,0.23002469073145249
-25,medium,28299.711107999996,56853.229349,0.33233979890912413
-24,medium,58715.838034,301266.85934900003,0.163107389496362
-23,medium,31812.568033999996,301755.85934900003,0.09537044103239757
-22,medium,33155.82803399999,317090.869349,0.09466421320097017
-21,medium,39337.241107999995,316970.869349,0.11040231741440333
-20,medium,39607.341108,301990.869349,0.11594715632442029
-19,medium,39457.681108,302050.869349,0.11553936513507058
-18,medium,39053.248034,302220.869349,0.11443366503581608
-17,medium,82144.34803400001,356083.124275,0.18744682436540386
-16,medium,80937.24282,329818.999349,0.1970444621671738
-15,medium,46167.913889999996,355185.979349,0.11503043739632475
-14,medium,25595.31689,328449.919349,0.07229391690705239
-13,medium,42102.012224,330681.376015,0.11293961467244198
-12,medium,42101.382224,330681.376015,0.11293811554719972
-11,medium,42111.262224,330681.376015,0.11296162505495125
-10,medium,49001.052224,344576.29601499997,0.12450170835096967
-9,medium,46161.425557999995,346148.852681,0.1176656032699656
-8,medium,30390.272889999997,345619.962681,0.08082299367156871
-7,medium,38206.352889999995,387991.182681,0.08964470627173587
-6,medium,51946.11622499999,370263.74601400003,0.12303387691970798
-5,medium,51794.596224999994,330772.526014,0.13538695097965714
-4,medium,52495.446225,370856.74601400003,0.12399946708050616
-3,medium,57824.086225,331914.416014,0.14836636845681836
-2,medium,51530.109225,370879.786014,0.12199077201031051
-1,medium,79494.847694,394648.576014,0.16765991832664687
0,medium,52285.18388999999,372110.636014,0.12319910196530001
