day_offset,segment,agg_yes,agg_no,odds
-207,medium,0.0,0.0,0.0
-205,medium,0.0,0.0,0.0
-155,medium,0.0,0.0,0.0
-154,medium,0.0,0.0,0.0
-152,medium,0.0,0.0,0.0
-151,medium,0.0,0.0,0.0
-150,medium,0.0,0.0,0.0
-128,medium,0.0,0.0,0.0
-124,medium,0.0,0.0,0.0
-117,medium,2000.0,-0.0,1.0
-115,medium,1223.97,1549.312996,0.4413433471323963
-113,medium,1223.97,3349.312996,0.26763486997645664
-112,medium,1223.97,4871.312996000001,0.2008060988805974
-102,medium,1223.97,4874.609698,0.20069754936569822
-100,medium,1223.97,4676.807498,0.2074252080195958
-99,medium,1223.97,4677.917386,0.20738620037098754
-98,medium,1224.060908,4677.917386,0.2073984089782896
-96,medium,2927.810908,5827.917386,0.33438804970756436
-93,medium,2927.810908,5826.827386,0.3344296828352781
-92,medium,2927.810908,5824.647386,0.3345129801997546
-90,medium,2327.810908,10451.877906,0.18214926371680587
-88,medium,13816.970908,16197.479334,0.46034396087873547
-87,medium,2327.810908,16202.623366,0.12562095812649923
-84,medium,2327.810908,16320.623366,0.12482607782496132
-83,medium,2207.750908,16320.623366,0.11915513338361441
-81,medium,2507.750908,16320.623366,0.13318998610851598
-80,medium,2507.750908,16020.623366,0.13534651615490137
-79,medium,3125.750908,15868.623366,0.16456193096492838
-78,medium,14894.910908,15593.623366,0.48854138982673484
-73,medium,15012.910908,15357.623366,0.4943248865019951
-72,medium,15032.910908,15357.623366,0.4946576711177171
-71,medium,15034.790908,15357.631309999999,0.49468880104908525
-69,medium,15569.550908,14823.109892999999,0.5122799550175522
-68,medium,15569.950908,14823.114448,0.5122862970755361
-64,medium,16217.750907999998,14823.114448,0.5224645228798434
-63,medium,16717.750907999998,14823.114448,0.530034630290186
-62,medium,3919.7809079999997,15623.114448,0.20057319228271672
-61,medium,18432.754408,15623.114448,0.5412504518953859
-60,medium,20710.754408,13401.114448,0.6071421796157951
-55,medium,4750.152658,13404.223248,0.2616533161258427
-52,medium,4750.142658,13404.223248,0.26165290942109315
-50,medium,4253.262658,13404.223248,0.240875891428844
-49,medium,6253.262658,14404.238824999999,0.3027114708497586
-48,medium,4252.252658,14404.285866999999,0.22792291572747686
-43,medium,4252.252658,14404.398432,0.2279215405533963
-41,medium,4252.252658,14404.777515,0.22791690952795676
-40,medium,4252.252658,14409.900431,0.22785434444358932
-39,medium,4051.582658,14409.287031,0.21946867760050087
-38,medium,4050.832658,14408.576169,0.21944541647915472
-37,medium,4050.1226580000002,14408.290297,0.219418791196938
-36,medium,4050.1226580000002,14413.511546,0.21935674273283495
-34,medium,4050.1226580000002,14413.67267,0.2193548285199016
-33,medium,4050.1226580000002,14413.311753,0.21935911639424188
-32,medium,4045.532658,14414.296433,0.21915331057817755
-31,medium,3378.700613,14613.907309999999,0.18778270651254494
-30,medium,3356.5183880000004,14613.939535,0.18677979172161577
-29,medium,3356.628388,14613.586496999998,0.18678843906323164
-28,medium,5212.518388,14601.213962,0.2630760472546709
-27,medium,3213.4226580000004,14608.043832,0.1803119097860504
-26,medium,3661.682658,14557.043832,0.2009845561933127
-25,medium,3661.682658,14560.391346999999,0.20094763400671417
-24,medium,3661.682658,14567.529274999999,0.2008689498733253
-23,medium,3661.682658,14567.572321,0.20086847554758755
-22,medium,3661.682658,14563.987030999999,0.2009079896915935
-21,medium,5500.909386000001,5256.798250000001,0.5113458714560664
-20,medium,4113.090611000001,-0.0,1.0
-19,medium,4118.972230000001,-0.0,1.0
-18,medium,4118.971830000001,-0.0,1.0
-17,medium,4116.847258000002,-0.0,1.0
-16,medium,3916.847258000001,-0.0,1.0
-15,medium,4375.5072580000015,-0.0,1.0
-14,medium,4427.5072580000015,-0.0,1.0
-13,medium,6695.5072580000015,-0.0,1.0
-12,medium,7968.600281000001,104.05000000000018,0.9871108004957313
-11,medium,8264.545293000001,-0.0,1.0
-8,medium,7172.757589000001,-0.0,1.0
-7,medium,7171.725599000001,-0.0,1.0
-5,medium,6654.891081000002,-0.0,1.0
-4,medium,5782.657003000001,-0.0,1.0
-3,medium,5982.657003,-0.0,1.0
-2,medium,7490.982733000002,391.7900000000002,0.9502979454983103
-1,medium,9819.426183,425.1165500000002,0.9585031210196817
0,medium,16460.576888,3346.7572549999995,0.8310344425535549
