day_offset,segment,agg_yes,agg_no,odds
-96,small,2532.0,5700.0,0.3075801749271137
-84,small,2000.0,0.0,1.0
-83,small,530.9615,1061.923,0.3333333333333333
-82,small,236.16149999999993,72.32300000000004,0.7655538608909036
-81,small,700.0015,72.32,0.9063602398741974
-80,small,740.7314999999999,81.46000000000001,0.9009233250404558
-79,small,1551.4945,81.4660000000001,0.9501114693221299
-78,small,3467.5699999999997,848.7915,0.803354862654576
-77,small,1814.0195000000003,88.01799999999992,0.9537243613756301
-76,small,4618.7995,1588.0,0.7441515550808432
-75,small,3809.7995,874.0,0.8133993566547842
-74,small,3392.8015,910.004,0.7885091482754681
-73,small,3301.8015000000005,741.0,0.8167112582697914
-72,small,1510.0195000000003,474.0,0.7610910578247845
-71,small,1511.8995000000002,3.76,0.9975192317271788
-69,small,3732.8065,781.5740000000001,0.826870154166225
-68,small,1354.1299999999999,0.014000000000010004,0.9999896613654088
-67,small,1354.1299999999999,0.0,1.0
-64,small,1604.1299999999999,974.0,0.622206793295916
-62,small,2109.2599999999998,1984.26,0.5152680333795853
-61,small,5596.653,1263.7730000000001,0.8157879700181884
-60,small,8252.363333000001,6528.2105,0.5583249626327278
-59,small,2555.772,3643.6675,0.4122585598262552
-58,small,6441.65,3364.0299999999997,0.6569304729503715
-55,small,5435.423332,3699.0,0.5950483281148634
-54,small,5440.68,0.0,1.0
-52,small,5441.5,0.0,1.0
-50,small,5496.99,0.0,1.0
-49,small,5461.99,0.0,1.0
-48,small,8281.445,0.009999999999999787,0.9999987924827219
-47,small,3587.725,0.0,1.0
-46,small,2977.725,0.0,1.0
-45,small,10811.625,540.0,0.9524297182121503
-44,small,11725.164999999997,820.7500000000001,0.93458029964335
-43,small,4066.1299999999997,120.79,0.971150631012773
-42,small,6448.17,1000.0,0.8657388324917396
-41,small,29424.966666,-0.0,1.0
-40,small,8122.03,0.0,1.0
-39,small,5420.533334,0.0,1.0
-37,small,3041.2058339999994,0.004999999999999893,0.9999983559179968
-36,small,2989.2058339999994,1.6199999999999999,0.9994583435847104
-35,small,3044.2058339999994,110.0,0.9651259284304525
-34,small,2989.213833999999,110.01599999999996,0.96450214863284
-33,small,3071.2188339999993,0.00999999999997181,0.9999967439743047
-32,small,9994.41,0.0040000000000000036,0.999999599776435
-31,small,9331.623332,0.22,0.9999764248078142
-30,small,24435.296668,0.1399999999999998,0.9999942706159951
-29,small,14737.716166,524.7205,0.9656201357959496
-28,small,2.5859999999999994,5.594,0.3161369193154034
-27,small,20.0,14.549,0.5788879562360705
-26,small,11238.523332,0.0,1.0
-24,small,8011.34,3.0,0.9996256709847599
-23,small,7447.34,434.2,0.9449092436249769
-22,small,6915.827499999999,0.3915000000000015,0.9999433939266528
-21,small,2489.8599999999997,1999.9299999999998,0.5545604582842405
-20,small,8856.287666,42.04200000000006,0.9952752930518365
-19,small,6856.404334,0.0,1.0
-14,small,6856.404334,0.0,1.0
-13,small,693.491,526.2,0.5685792549096451
-12,small,10633.364332000001,8.06,0.9992425825952864
-11,small,221.21099999999998,0.0,1.0
-10,small,616.381,424.2,0.5923431236972423
-9,small,499.181,0.0,1.0
-8,small,2110.1809999999996,383.2,0.8463130985597468
-2,small,2334.55,1618.938,0.5905038791062475
-1,small,1310.21,80.0,0.9424547370541141
0,small,15884.46,10.0,0.9993708499691087
