day_offset,segment,agg_yes,agg_no,odds
-216,medium,18122.0,21844.0,0.45343542010709104
-215,medium,16322.0,24644.0,0.3984279646536152
-214,medium,31822.0,23744.0,0.5726883345930965
-213,medium,12302.0,12944.0,0.48728511447357997
-212,medium,12916.0,14054.0,0.4789024842417501
-211,medium,29538.0,31480.166664000004,0.48408534072570014
-199,medium,32360.0,13562.083332,0.7046718626863886
-191,medium,26776.04348,12161.039852,0.6876746070498406
-177,medium,26667.217395,12269.865937,0.684879685712973
-173,medium,23926.63,12269.865937,0.6610206148585294
-171,medium,23926.63,12239.865937,0.6615689294776813
-169,medium,24284.260000000002,11194.865936999999,0.6844661292705284
-168,medium,30926.63,25496.579269,0.5481189460981563
-165,medium,34421.21,25496.579269,0.5744739654106146
-159,medium,25873.937541,9255.513478,0.7365312235311023
-150,medium,25873.937541,8255.478396,0.7581125205529766
-140,medium,33331.157541,12190.858402,0.7321986263247946
-133,medium,33388.107541,1185.9059399999994,0.9656995002720263
-131,medium,43701.504004999995,20792.118548000002,0.6776096965104834
-127,medium,45243.324005,25551.265660000005,0.6390788366609851
-122,medium,31746.034004999998,11339.409924,0.7368157574821306
-121,medium,31113.034004999998,-0.0,1.0
-120,medium,31108.034004999998,4471.227596,0.874330511798077
-118,medium,31013.034004999998,1685.2275959999997,0.9484612479842518
-115,medium,30890.796409,9543.172462,0.7639813075870338
-114,medium,29133.044005,-0.0,1.0
-113,medium,28928.044005,9093.182328,0.760839320426977
-111,medium,28925.266228999997,9095.960104000002,0.7607662618681689
-110,medium,48105.40734,29190.677152000004,0.6223524471666974
-107,medium,46097.462349,22356.977048,0.6734035477474117
-106,medium,28246.939945,3160.8937159999996,0.899359702737952
-105,medium,28231.939945,3160.8937159999996,0.8993116151879323
-104,medium,38932.389744,6551.928798,0.8559519190784406
-103,medium,42902.45734,34340.254862,0.5554240149906227
-102,medium,28317.949945,12912.93831,0.6868139674765782
-101,medium,27958.949945,14046.969706,0.6655954726689195
-97,medium,29496.663277,11773.801562,0.7147160418974994
-96,medium,29364.683277,11532.721561999999,0.7180084749288951
-95,medium,29364.683277,11315.081562,0.721849877776281
-93,medium,29364.683277,14846.292958,0.6641944100242055
-92,medium,68748.426188,39125.742957999995,0.6373020226459766
-91,medium,38057.080594,20465.898906,0.6502929433727823
-90,medium,129532.540744,92741.33503899998,0.5827609757903315
-89,medium,74579.661774,42796.857399,0.6353882556704363
-88,medium,76113.12357,39381.34938,0.6590196190855901
