day_offset,segment,agg_yes,agg_no,odds
-216,small,0.0,2922.0,0.0
-215,small,55.555552,-0.0,1.0
-214,small,1400.0,1200.0,0.5384615384615384
-213,small,1440.0,0.0,1.0
-212,small,1162.0,0.0,1.0
-211,small,200.0,0.0,1.0
-209,small,0.0,500.0,0.0
-208,small,47.169806,-0.0,1.0
-199,small,-0.0,2700.0,-0.0
-194,small,0.009806000000004644,-0.0,1.0
-193,small,200.0,-0.0,1.0
-192,small,72.72726999999999,-0.0,1.0
-191,small,272.72727,-0.0,1.0
-184,small,215.269534,2780.35742,0.07186126220174209
-180,small,400.0,0.0,1.0
-177,small,300.0,-0.0,1.0
-175,small,0.009534000000002152,-0.0,1.0
-174,small,1078.571426,3119.643133,0.25691193502432896
-173,small,2205.8441479999997,563.636361,0.7964830013540998
-172,small,8.872724,568.072723,0.01537879195708429
-171,small,0.3636339999999998,-0.0,1.0
-169,small,937.1428419999999,3199.999723,0.22651934935193607
-168,small,1510.7142779999997,3940.1597229999998,0.2771508344758747
-166,small,125.03571199999999,-0.0,1.0
-165,small,1424.095793,2512.718436,0.36173812381330933
-152,small,3740.144367,200.0,0.9492404385801024
-150,small,3.508766,-0.0,1.0
-143,small,912.280696,-0.0,1.0
-140,small,91.228062,2512.718436,0.03503453779486985
-139,small,603.859642,3115.172819,0.16237009177317854
-137,small,35.714279999999995,-0.0,1.0
-136,small,109.12697800000001,-0.0,1.0
-135,small,25.0,-0.0,1.0
-134,small,75.0,-0.0,1.0
-133,small,1319.2857060000001,880.0,0.5998700861833365
-131,small,140.00428399999998,139.99571600000002,0.5000152999999999
-127,small,18.183633999999998,-0.0,1.0
-119,small,83.00999999999999,0.0,1.0
-114,small,50.0,432.0,0.1037344398340249
-113,small,0.0,0.0,0.0
-108,small,2.727269999999976,-0.0,1.0
-106,small,174.0,990.0,0.14948453608247422
-104,small,152.0,2488.0,0.05757575757575758
-103,small,185.3492,10.0,0.9488096188773745
-102,small,103.448272,2.22222,0.9789702881292538
-101,small,5921.489142,4.0,0.9993249502439135
-100,small,3479.9321799999993,-0.0,1.0
-99,small,12.900258,795.4405859999999,0.015958933778682103
-98,small,10.20338,0.0,1.0
-97,small,1492.123186,1287.685086,0.536771978495645
-93,small,517.241425,4120.061925999999,0.11153926880553562
-92,small,6560.5354640000005,4577.083744,0.5890428952075913
-91,small,964.8908769999999,2048.251796,0.3202274109507459
-90,small,582.999472,3019.4889439999997,0.16183243488325488
-89,small,848.7175159999999,6128.145871000001,0.12164743222311282
-88,small,161.76,977.8171540000001,0.141947387618478
-87,small,-0.0,912.501792,-0.0
-86,small,548.236736,1311.1739380000001,0.29484435238861056
-85,small,543.32602,5361.964840000001,0.09200664842442662
-84,small,2079.8322739999994,1654.488636,0.5569506006916797
-83,small,2165.8217139999997,7341.481788000001,0.22780609807443167
-82,small,2694.412736,10437.869406,0.20517475232904572
-81,small,293.775,0.0,1.0
-79,small,97.555,0.0,1.0
-78,small,128.047618,128.03238199999998,0.5000297485160887
-77,small,2983.696738,6258.544808000001,0.3228325859208181
-76,small,226.901905,2248.798463,0.09165160208111257
-75,small,3303.5196079999996,2149.931002,0.6057668518978299
-74,small,3175.24409,101.593444,0.9689964964860537
-73,small,4633.224809,55.485713,0.9881661039341938
-72,small,2356.4598499999997,11953.737783,0.16466997245138604
-71,small,1442.60913,1445.9197700000002,0.4994269332046496
-70,small,396.133524,1166.356636,0.2535270519719625
-69,small,3390.55881,-0.0,1.0
-68,small,4605.639015,2018.7421,0.69525574314726
-66,small,1105.004927,9296.720283,0.10623285125218183
-65,small,541.0184409999999,365.706559,0.5966731269127905
-64,small,939.179072,3888.35333,0.1945464046209006
-63,small,253.339388,59.4,0.8100654977300141
-62,small,11302.508907000001,12938.248334,0.46626055426533125
-61,small,278.0,220.0,0.5582329317269076
-60,small,2843.559167,13388.138739,0.17518556490315695
-59,small,895.8724290000001,13635.606947,0.06165046282070986
-58,small,854.2875710000001,8509.254488999999,0.09123551381794083
-57,small,0.010000000000000675,0.0,1.0
-56,small,452.02630999999997,8670.220000000001,0.04955208340564967
-54,small,430.668538,730.255249,0.3709705519196153
-53,small,460.613186,-0.0,1.0
-52,small,201.298694,-0.0,1.0
-51,small,648.9810379999999,15808.279558,0.03943432956015397
-50,small,448.64862999999997,3673.6093880000003,0.10883564979216687
-49,small,8484.363769,10017.540241,0.458567062309605
-48,small,2068.291645,9599.804359,0.17726042400499262
-47,small,26.38535,9399.277821,0.0027993096635555554
-46,small,129.824932,9559.927821,0.01339816766323635
-45,small,126.582276,-0.0,1.0
-44,small,1686.0771120000002,8468.732353,0.16603729669289272
-43,small,511.946497,8256.139411,0.05838748643337311
-42,small,505.67616000000004,8256.928827,0.0577084281158639
-41,small,2679.315854,4846.188167,0.356031416171374
-40,small,1532.240432,277.03898399999997,0.8468788283611358
-37,small,1513.952612,19495.193503000002,0.07206159658812006
-36,small,377.011789,10914.043896,0.03339030463740026
-35,small,2666.725899,3310.744035,0.44612953782194625
-34,small,1726.8308639999996,332.10565799999995,0.838700390006487
-33,small,5043.807328999999,6803.285079000001,0.4257422121223653
-32,small,3096.7677,7295.890246,0.29797648648601066
-31,small,2103.074125,5659.1644670000005,0.2709365475015793
-30,small,5336.082446,3618.94,0.595875943156737
-29,small,6456.24547,645.369388,0.9091235724684522
-28,small,9969.937701,1048.1368530000002,0.9048711416987567
-27,small,16340.77521,11952.903317999999,0.577541559109355
-26,small,1237.293634,434.0,0.740320915983337
-25,small,2407.757214,966.44,0.713579278653272
-24,small,672.3973319999999,330.20345800000007,0.670653104113353
-23,small,2486.674608,-0.0,1.0
-22,small,2152.770738,-0.0,1.0
-21,small,240.056973,128.19487299999997,0.6518826059055248
-20,small,5259.463548000001,-0.0,1.0
-19,small,6250.0209239999995,150.0,0.9765625766257261
-18,small,11058.464436,31.578944,0.9971524958994343
-17,small,2.631922000000001,100.0,0.025644282487470138
-16,small,5379.257261000001,4.482054999999999,0.9991674829078964
-15,small,2156.953439,1392.590257,0.6076706257851348
-14,small,7481.305256,571.9,0.9289847977519375
-13,small,14130.420680000001,-0.0,1.0
-12,small,14240.958604000001,3113.34299,0.8206010784625068
-11,small,2402.2320199999995,1.111108,0.9995376823279809
-10,small,6302.734548,11904.409235000001,0.3461682196350237
-9,small,4503.467238,266.98859699999997,0.944032896177101
-8,small,7777.128946,8119.348981,0.48923597929769264
-7,small,1753.8279710000002,11.764702,0.9933366839476004
-6,small,16506.641483,16542.254190000003,0.4994612118457395
-5,small,5961.232844000001,2625.03379,0.6942753000931324
-4,small,11454.592885999999,31319.131483,0.267795078754041
-3,small,7635.295184999999,28900.452762,0.2089814938529798
-2,small,23391.265506,33901.305419,0.4082774629998855
-1,small,38521.35454400001,63676.68721999999,0.3769284995984085
0,small,18669.060161999994,30252.473656999995,0.38161232293067154
