day_offset,segment,agg_yes,agg_no,odds
-208,small,400.0,800.0,0.3333333333333333
-207,small,790.0,190.0,0.8061224489795918
-183,small,400.0,400.0,0.5
-162,small,201.428564,400.714282,0.3345195668072423
-132,small,400.0,400.714282,0.4995539719872263
-131,small,190.0,2924.0,0.06101477199743096
-104,small,2734.0,0.0,1.0
-101,small,4365.0,5031.0,0.46455938697318006
-97,small,666.0,0.0,1.0
-96,small,1514.68,848.68,0.640901089973597
-91,small,794.569996,431.658566,0.6479787052945843
-82,small,75.998572,0.0,1.0
-81,small,132.658572,0.0,1.0
-80,small,159.318572,0.0,1.0
-79,small,66.002572,0.008000000000000007,0.9998788072916563
-78,small,1204.856772,5473.466399999999,0.18041306791674386
-75,small,1456.068772,8707.454,0.14326418158981225
-74,small,6894.128772,1881.7799999999997,0.7855743434795132
-73,small,0.607,791.2230000000001,0.000766578684818711
-72,small,216.40591200000014,410.01,0.3454668182183726
-71,small,93.55177200000014,0.005999999999999783,0.9999358685027258
-70,small,293.55177200000014,810.0,0.2660063437422491
-69,small,823.0401050000002,1058.976666,0.43731815660849926
-68,small,1093.731772,3633.7868989999997,0.23135429981678862
-67,small,1400.0,5013.438566,0.2182916364743736
-66,small,1434.89,10525.56,0.11996956636246967
-65,small,6037.052331,2369.316566,0.7181522016187579
-63,small,3511.809,0.0,1.0
-61,small,83.85010500000016,0.018000000000029104,0.9997853772897334
-60,small,4566.919,0.0,1.0
-56,small,6651.329,8031.735230999999,0.45299325095624177
-55,small,7333.031771,1600.7785629999998,0.8208179373466425
-54,small,2514.0061040000005,0.00866599999999984,0.9999965529239909
-53,small,205.93643700000015,3821.1406659999993,0.051137942416495163
-52,small,5571.086437,9403.095231,0.37204613651145135
-51,small,160.24643700000016,0.0,1.0
-50,small,167.70310200000014,14.053329999999999,0.9226804254168018
-49,small,209.19476800000015,6699.123332,0.030281577219207687
-48,small,207.32576800000015,0.0020000000000000018,0.9999903534388119
-47,small,206.62710100000015,0.002665999999999835,0.9999870976963353
-46,small,3050.299767,6909.125332,0.3062726750469033
-45,small,217.87543200000016,10954.231329999999,0.01950173200466236
-44,small,3467.715432,2190.9752309999994,0.6128123338980264
-43,small,3225.001,6651.877231,0.3265202753920638
-42,small,4945.9975,10093.868231,0.3288591526322849
-41,small,4946.03,2190.8402309999997,0.693025071202251
-40,small,1335.381332,6362.067664000001,0.1734836220017741
-39,small,6012.182832,9194.858230999998,0.3953552046774006
-38,small,5462.2345000000005,9194.901231000002,0.37266725233684744
-37,small,16614.395762,11304.964227000004,0.5950851226011604
-36,small,11362.903,13521.582231,0.456626001885086
-35,small,1960.36333,12680.989665,0.133892225033401
-34,small,20226.801762,6685.620230999999,0.7515786489696488
-33,small,4585.755432000001,13251.568,0.2570876426321449
-32,small,5005.517432000001,17346.762000000002,0.22393767254153035
-31,small,14531.373998,12890.013230999997,0.5299284779667192
-30,small,12520.1275,2690.786231,0.8231016046382441
-29,small,5978.41,6207.454,0.4906020615362193
-28,small,19928.786500000002,14477.712230999998,0.5792157654810809
-27,small,404992.905265,14336.34535,0.9658112441977899
-26,small,26110.759,12198.598000000004,0.6815765401648478
-25,small,51771.726666,12425.112000000001,0.8064528992674432
-24,small,13037.248428,19959.413000000004,0.39510810681401154
-23,small,34528.056095,14740.610231,0.700811665299308
-22,small,450020.5010980001,18501.044015000003,0.960511860750101
-21,small,1113.7103319999999,18609.8352,0.056466030926999755
-20,small,7189.3095,25663.421666000002,0.21883445439204063
-19,small,20160.21,494.9585,0.9760370630721313
-18,small,11691.046479999999,3367.0059600000004,0.7763983109093223
-17,small,11256.473145999998,3337.42,0.7713139347662865
-16,small,15259.609895999998,5830.963497000001,0.7235275026265854
-15,small,17990.579395999997,7382.833582000001,0.7090326954280339
-14,small,15000.357226,6770.955582,0.6889964495153471
-13,small,-0.0,4223.248917000001,-0.0
-12,small,26471.075192,7991.860188,0.7681027428488304
-10,small,14722.881312,8175.269522,0.6429725010868098
-9,small,11428.724979,18424.867521999997,0.38282578482362467
-8,small,14128.234834,22336.114169,0.38745336802359037
-7,small,15487.210893,18723.504709,0.4527005828575711
-6,small,13250.090065,21673.397687,0.3794034020625902
-5,small,12690.740091,22118.715185999998,0.36457738249599325
-4,small,14282.329429000001,24719.787185999998,0.3661937009722979
-3,small,13150.795655,27153.122270000003,0.3262907511739133
-2,small,10601.117942,12539.026269999998,0.4581267015830645
-1,small,22414.597333,46957.9,0.3231049507329403
0,small,721.766667,501.55199999999996,0.590007073766005
