day_offset,segment,agg_yes,agg_no,odds
-183,medium,5444.0,7294.0,0.42738263463652065
-162,medium,5443.887642,5522.112358,0.49643330676636876
-152,medium,5660.887642,7311.112358,0.4363928185322232
-117,medium,5616.887642,5522.112358,0.5042542097136188
-109,medium,978.0,8730.07621,0.1007408655272598
-104,medium,978.0,11139.714762,0.08070828693434136
-92,medium,1978.0,6847.41356,0.2241254742967535
-91,medium,20743.014730000003,6847.41356,0.7518192364385367
-90,medium,11369.991377,7847.41356,0.5916507152903316
-89,medium,10369.991377,8867.41356,0.5390535475528209
-88,medium,18010.164787,15321.492537999999,0.5403321116436565
-86,medium,17239.004787,14551.492537999999,0.5422691130233837
-85,medium,12481.411377,18098.738434,0.4081540297919112
-84,medium,12492.121377,10267.064284,0.5488826165870434
-82,medium,12442.121377,10317.064284,0.5466857014273908
-80,medium,12118.391377,10817.064284,0.528369331576281
-79,medium,18677.084787,10817.064284,0.6332471142679673
-78,medium,18477.534787,12016.614284,0.6059370518579964
-77,medium,18377.534787,12116.614284,0.6026577342496523
-75,medium,29863.155037000004,29109.158683999998,0.5063927994801696
-74,medium,14856.795055000002,19912.054409,0.42730188901944743
-73,medium,30025.428465,38735.638684,0.43666321233696365
-72,medium,9988.835055,26889.904409,0.27085619520024057
-71,medium,25162.501723,27098.237740999997,0.48148001695102843
-70,medium,10188.835055,27098.237740999997,0.27325381937980975
-69,medium,28649.585859,30522.045517,0.484177724912622
-68,medium,29665.512679,30806.858647,0.49056307911387226
-67,medium,43249.216784000004,61519.157026999994,0.41280794204194393
-66,medium,41537.876784,50363.608628,0.4519826485696411
-65,medium,29627.449141000005,56656.79734800001,0.34337031783405647
-63,medium,35614.530623,44397.855297,0.4451127186559468
-62,medium,35611.586014,48688.493073000005,0.42243834643675554
-61,medium,26237.409853,35210.216577,0.4269881747652071
-59,medium,23144.922980000003,39274.855297,0.3707947003158177
-58,medium,30253.049853,37498.865297000004,0.4465268588499819
-56,medium,18571.27298,34154.226577,0.3522256429248838
-55,medium,26987.91298,43573.542459000004,0.38247387064359667
-54,medium,20616.35298,32346.903739,0.3892576525152409
-53,medium,27712.07298,35586.462459,0.43779959185162787
-52,medium,20816.36298,31821.823739,0.39546124738537464
-51,medium,39653.869489000004,42009.122459,0.4855794349813944
-50,medium,31164.597798000003,34982.052459,0.4711440061880079
-49,medium,31225.597798000003,35008.008977,0.4714464351016766
-48,medium,31433.927798,34799.678977,0.47459181718403404
-47,medium,20817.017798,31135.040257,0.4006966918608245
-46,medium,20817.017798,31240.040257,0.39988847959879203
-45,medium,20928.997798,31240.040257,0.40117660931250615
-44,medium,24151.123959,38668.678033000004,0.3844508131699556
-43,medium,61599.273285999996,52539.669827,0.5396867327307858
-42,medium,109441.67392100001,133412.758006,0.4506472171522785
-41,medium,91665.44415,96574.742498,0.48696001519277027
-40,medium,106980.885071,107812.71219400002,0.49806365940700326
-39,medium,101033.258519,112124.49459700001,0.4739835030256577
-38,medium,82588.66338,101877.868208,0.4477162478690665
-37,medium,89379.07415,95337.90820800001,0.4838703675700722
-36,medium,92943.818519,88698.188208,0.5116868074392643
-35,medium,110826.623881,144700.620985,0.4337174454298137
-34,medium,83052.57155400001,103507.679073,0.4451782803403899
-33,medium,56916.715887,147280.890043,0.2787335122161586
-32,medium,41320.095887,134064.104558,0.23559759534872055
-31,medium,42519.428265,102978.187665,0.29223453589408926
-30,medium,105094.78357,165388.190268,0.3885449131187987
-29,medium,109719.92119200001,116405.931605,0.4852161742447861
-28,medium,74962.247893,112019.806067,0.4009061100004616
-27,medium,66298.93081600001,119216.10606700002,0.3573776656056899
-26,medium,140237.31868899998,121717.097167,0.5353500845967429
-25,medium,89682.894302,144042.43207100002,0.38371063886707735
-24,medium,103978.139439,143633.30311500002,0.4199246140102111
-23,medium,63400.009604,91997.154502,0.4079869151328488
-22,medium,140344.88911,175337.755214,0.4445758790779686
-21,medium,126876.71089300001,228700.435001,0.3568190823232009
-20,medium,107975.501386,166658.67473,0.393161196880294
-19,medium,78630.115509,127392.077265,0.3816584730522445
-18,medium,140515.649538,134033.079207,0.5118058647742292
-17,medium,80706.849538,188716.661808,0.2995538478984277
-16,medium,96392.08123400001,180445.99737400003,0.3481893882470201
-15,medium,142246.61090899998,167592.34465500002,0.4590985360445345
-14,medium,73567.582115,160874.549233,0.3137984699763633
-13,medium,74499.226759,145873.143918,0.3380606494822057
-12,medium,83630.373566,151541.847314,0.3556133171386496
-11,medium,85024.09040999999,140981.241095,0.37620391449977353
-10,medium,76493.888225,148753.48912399999,0.3395994622680103
-9,medium,270907.663054,318163.788025,0.4598893097904837
-8,medium,185364.012605,241733.029814,0.4340091225055831
-7,medium,180888.85270299998,219920.34690000003,0.45130913382769083
-6,medium,172843.970975,233358.758084,0.4255115946054976
-5,medium,142295.835551,229618.18540000002,0.3826041169062233
-4,medium,102235.886121,292505.70629299997,0.2589944614039463
-3,medium,101645.276121,275797.320443,0.2692999599046707
-2,medium,104909.37625100001,252483.054037,0.29354112555338724
-1,medium,126072.197424,328846.028267,0.27713155970504827
0,medium,195573.91498,379313.33931300003,0.3401952531031811
