day_offset,segment,agg_yes,agg_no,odds
-220,large,0.0,0.0,0.0
-219,large,0.0,0.0,0.0
-218,large,0.0,0.0,0.0
-215,large,0.0,0.0,0.0
-214,large,0.0,0.0,0.0
-211,large,0.0,0.0,0.0
-189,large,0.0,0.0,0.0
-180,large,2752.66,3343.820275,0.4515162644399764
-166,large,3479.66,1999.8202749999998,0.6350346794523318
-165,large,3479.66,2091.3725569999997,0.6245987551495833
-164,large,3479.66,2093.2244069999997,0.6243912031674768
-159,large,3479.66,2130.2614409999996,0.6202689354201957
-158,large,3479.66,2125.2614409999996,0.6208222606915215
-156,large,3479.66,2121.101441,0.6212833802431543
-153,large,3479.66,2122.953291,0.6210780254260457
-150,large,3629.66,2122.953291,0.6309584559905367
-146,large,3522.21319,2122.953291,0.6239343342405848
-144,large,3522.21319,2063.1210659999997,0.6306181561499727
-142,large,3522.21319,9846.441066,0.26346804416900765
-141,large,3522.21319,10045.119031,0.2596098579017762
-139,large,3522.21319,10046.813945,0.25957742990393096
-138,large,3522.21319,10072.237670999999,0.25909197995665917
-134,large,3522.21319,10106.135975,0.2584475307578458
-133,large,3522.21319,9907.465975,0.26227083660937184
-132,large,3522.21319,9909.160888999999,0.26223774047861514
-128,large,3572.21319,9907.310889,0.26501033486525066
-127,large,3572.21319,5907.310888999999,0.3768346554352373
-126,large,3572.21319,6407.310888999999,0.35795426332173896
-122,large,3602.21319,6407.310888999999,0.3598785678089781
-120,large,3602.21319,6408.977553999999,0.35981865515437433
-119,large,3702.21319,6408.977553999999,0.36615006913967085
-118,large,3702.21319,6308.977553999999,0.36980747691965066
-115,large,3196.73319,6316.607553999999,0.3360263524688904
-114,large,3196.73319,6316.774218999999,0.3360204656986777
-113,large,4201.73319,6321.774218999999,0.3992711770608495
-106,large,4501.73319,6609.614218999999,0.405147370907841
-104,large,4918.399855,6610.371791999999,0.426619591886865
-103,large,4968.399855,6875.972752,0.41947345122051344
-102,large,4968.399855,6565.035252,0.4307823132402699
-101,large,4968.399855,7866.597752,0.3870978403837267
-100,large,4764.559855,7866.597752,0.3772069040100926
-99,large,5067.419855,7866.597752,0.39179008479603966
-97,large,5067.419855,7865.847752,0.3918128046973458
-96,large,4465.539855,8710.877751999999,0.3389039409791985
-95,large,4292.459855,8709.317751999999,0.33014407604457036
-94,large,4292.459855,8703.917752,0.33028125103783007
-92,large,4312.459855,8723.917752,0.3308020053580211
-88,large,6974.049854999999,7873.917751999999,0.46969727033295244
-85,large,6974.049854999999,9696.496697999999,0.4183456032966695
-84,large,6974.049854999999,9796.496697999999,0.41585107754001294
-83,large,6974.049854999999,8480.496697999999,0.45126201736706495
-81,large,6974.049854999999,8486.691502,0.451081205872604
-80,large,7004.049854999999,10866.481501999999,0.3919329378114137
-79,large,7004.049854999999,10766.481501999999,0.39413845958190946
-78,large,7064.049854999999,10766.481501999999,0.3961771925673297
