day_offset,segment,agg_yes,agg_no,odds
-220,small,0.0,300.0,0.0
-219,small,0.0,100.0,0.0
-218,small,434.0,200.0,0.6845425867507886
-215,small,3.389828,0.0,1.0
-214,small,84.74575999999999,0.0,1.0
-211,small,83.898302,1902.666665,0.04223285087257859
-189,small,8.33333,-0.0,1.0
-180,small,900.0,0.006664999999884458,0.9999925944992865
-166,small,400.0,2798.0,0.12507817385866166
-165,small,183.104564,0.0,1.0
-164,small,3.7037,0.0,1.0
-159,small,437.037034,0.0,1.0
-158,small,5.0,200.0,0.024390243902439025
-156,small,13.326665,204.153335,0.061277657715652016
-153,small,364.814816,0.0,1.0
-150,small,-0.0,300.0,-0.0
-146,small,211.111116,385.10638,0.3540840673350519
-144,small,238.89111100000002,0.0,1.0
-142,small,0.01334100000002536,6000.0,2.2234950560629695e-06
-141,small,397.35593,198.677965,0.6666666666666666
-139,small,3.389828,200.372879,0.016636155113506614
-138,small,50.847452,225.796605,0.1838009916113976
-134,small,67.79660799999999,259.694909,0.20701790574929607
-133,small,198.677965,198.66203499999997,0.5000200458046006
-132,small,3.389828,261.389823,0.012802449082463667
-128,small,51.8537,290.84000000000003,0.15131209006760263
-127,small,200.0,2149.48,0.08512521919743943
-126,small,1200.0,790.84,0.6027606437483675
-122,small,1230.0,60.0,0.9534883720930233
-120,small,3.3333299999999997,0.0,1.0
-119,small,100.0,461.389823,0.1781293423981432
-118,small,100.0,100.0,0.5
-115,small,1427.4857599999996,3026.84,0.3204717923459643
-114,small,0.3333299999999998,461.556488,0.0007216656159326721
-113,small,10.0,2010.0,0.0049504950495049506
-106,small,876.01333,2898.0,0.2321171796179109
-104,small,251.515146,955.4242380000001,0.20839086812001817
-103,small,815.59346,350.75007300000004,0.6992737876311438
-102,small,498.44654,500.742573,0.4988510518328676
-101,small,3726.01654,1303.8750730000002,0.7407747177632872
-100,small,450.73154,246.89507300000002,0.6460928118291267
-99,small,250.0,1846.98,0.119219067420767
-97,small,452.239113,247.63750000000002,0.6461697742141871
-96,small,2152.39096,2368.562396,0.47609227313602925
-95,small,457.68146699999994,2289.84,0.1665797601573389
-94,small,703.841467,50.0,0.9336730570169073
-92,small,-0.0,220.0,-0.0
-88,small,3823.7,1800.0033349999999,0.6799256241350078
-85,small,3326.317892,1372.0,0.7079805940044722
-84,small,200.0,0.0,1.0
-83,small,1278.58,322.5799999999999,0.7985335631667042
-81,small,2.0,0.0,1.0
-80,small,0.0,180.0,0.0
-79,small,200.0,0.0,1.0
-78,small,-0.0,120.0,-0.0
-77,small,400.65625,920.0,0.30337663566881995
-76,small,0.003750000000025011,250.0,1.4999775003474992e-05
-75,small,5.0,-0.0,1.0
-73,small,250.0,-0.0,1.0
-72,small,2500.0,0.0,1.0
-71,small,25.0,0.0,1.0
-70,small,12.5,0.0,1.0
-69,small,2775.29,2819.83,0.4960197457784641
-68,small,10561.490398,4167.057743,0.717076136554144
-66,small,3996.3,1847.8300000000002,0.6838143573123802
-65,small,5656.22,4578.956047000001,0.5526255702907892
-64,small,1290.2800000000002,200.0,0.8657970314303353
-63,small,1340.2857600000002,-0.0,1.0
-60,small,1427.7800000000002,300.0,0.8263667828079964
-58,small,4.878044,-0.0,1.0
-53,small,5480.610000000001,-0.0,1.0
-52,small,2169.6097550000004,0.590245,0.9997280227628791
-51,small,0.0,200.0,0.0
-50,small,2539.309756,3001.0,0.45833353509702207
-49,small,0.6823459999999998,1199.0,0.0005687722273109117
-47,small,899.0648779999999,584.525122,0.6060062941917915
-44,small,0.0,0.0,0.0
-43,small,108.16,0.0,1.0
-42,small,108.16,0.0,1.0
-40,small,300.0,383.68,0.4388017786098759
-38,small,1136.363632,1156.861816,0.4955307089370831
-37,small,500.0,1426.3618159999999,0.25955663980000737
-35,small,210.0,0.0,1.0
-34,small,-0.0,400.0,-0.0
-33,small,231.818166,410.272725,0.3610363723412485
-32,small,1727.519086,816.6081839999999,0.6790222746993314
-31,small,865.386332,-0.0,1.0
-30,small,1534.949991,561.3054589999999,0.7322342279420193
-29,small,2489.8642449999998,926.525459,0.7287998327839476
-28,small,106.741562,-0.0,1.0
-27,small,3366.9024339999996,-0.0,1.0
-26,small,-0.0,430.0,-0.0
-25,small,95.68181999999999,0.0,1.0
-24,small,2530.525941,3.3692189999999993,0.9986703400151725
-23,small,3.244983,701.744092,0.004602884094338624
-22,small,0.3751570000000254,700.489075,0.0005352777083936357
-21,small,102.66209300000003,0.1695499999999998,0.9983511884566505
-20,small,106.10968100000002,202.83366,0.3434600035609766
-19,small,1490.012241,16184.51,0.08430282984077409
-18,small,774.886913,1335.833962,0.3671195571986751
-17,small,3401.7740710000003,2782.5645380000005,0.5500627126156119
-16,small,494.36243100000013,1772.401284,0.21809173480615737
-15,small,611.037274,4052.791837,0.1310162228197473
-14,small,6189.130852000003,7102.656231,0.4656357202648701
-13,small,2776.943072,542.6037309999999,0.8365428285241743
-12,small,3608.5242780000003,3.969999999999999,0.9989010363215862
-11,small,3405.053187999999,4676.823064,0.4213196393792048
-10,small,16011.990233999999,7117.404893,0.6922788143001833
-9,small,3614.594027,528.2767389999999,0.8724853443811238
-8,small,10807.131591,3435.7703189999993,0.7587731530617555
-7,small,2308.7941139999984,3586.48437,0.3916344444568904
-6,small,4219.990101,13997.203092999998,0.23164875379319647
-5,small,21256.362759999996,27032.188319,0.4401946690267144
-4,small,15067.357925999999,5953.378873,0.7167854328834365
-3,small,66043.83665200001,55174.25581200002,0.5448348122753545
-2,small,99748.9083560001,47873.10758000001,0.6757048244026497
-1,small,37915.47671600003,29676.522247,0.5609462258507109
0,small,18716.184951000003,14174.619683,0.5690400450602732
