day_offset,segment,agg_yes,agg_no,odds
-220,medium,0.0,0.0,0.0
-219,medium,205.0,410.0,0.3333333333333333
-216,medium,505.0,425.0,0.543010752688172
-215,medium,506.639343,423.360657,0.5447734870967742
-196,medium,906.639343,207.5,0.8137575866935345
-188,medium,406.639343,244.975,0.6240490980107232
-187,medium,6.639342999999997,289.125,0.022448084622560458
-180,medium,3725.06,2082.4856569999997,0.6414172561019954
-177,medium,3461.423638,2546.122019,0.5761793310662141
-172,medium,3543.043638,2664.502019,0.5707640078337002
-169,medium,-0.0,2934.269459,-0.0
-166,medium,-0.0,3164.5019150000003,-0.0
-165,medium,-0.0,3165.638277,-0.0
-162,medium,599.6200000000001,2324.985296,0.20502595711636848
-156,medium,205.0,1614.1282769999998,0.11269133825904462
-142,medium,6645.97623,7036.565164,0.48572674027606894
-141,medium,6941.251723,370.92636200000027,0.9492727942771377
-138,medium,6368.741723,6705.18,0.4871332304059872
-136,medium,6573.741723,6500.18,0.5028132998100558
-134,medium,6607.631723,6466.29,0.5054054829910504
-128,medium,6657.631723,6416.29,0.5092298901627744
-126,medium,8841.631723,6416.29,0.5794781152712302
-121,medium,8523.406887000001,681.7751639999999,0.925935721833341
-120,medium,9124.693552,1051.034861,0.896711584827947
-119,medium,8525.073552,781.7751639999999,0.916000013768785
-118,medium,9124.693552,1122.966288,0.8904172947255049
-115,medium,9275.763855,5250.976591,0.6385302944924661
-114,medium,9236.312895,10229.476590999999,0.47448950897382575
-113,medium,8625.073552,9011.976590999999,0.4890315263645843
-107,medium,8724.693552,8960.906287999998,0.4933218907434016
-106,medium,8925.073552,8511.976590999999,0.5118453797406162
-104,medium,8925.808845,8566.030644,0.5102841728346025
-99,medium,10643.048187999999,8778.530644,0.5480011836351822
-97,medium,9478.078845,8566.030644,0.5252727407123083
-96,medium,10478.078845,8566.030644,0.5502005148128456
-95,medium,10478.078845,8642.953719,0.5479870822838059
-92,medium,10478.078845,8681.415256,0.5468870310335132
-91,medium,10478.078845,8731.415256,0.5454635499460934
-88,medium,10478.078845,8689.107562,0.5466675505995667
-86,medium,12060.078845,8467.107562,0.5875173833315693
-85,medium,12060.078845,8867.107562,0.5762876389807464
-84,medium,12226.078845,9492.107559,0.5629419794807651
-82,medium,12060.078845,9596.274221,0.5568841073215628
-81,medium,12498.078845,9617.107553,0.5651355869254745
-80,medium,12501.039869,9631.690885,0.5648213954231885
-79,medium,12197.559357,9780.149212,0.5549968650601229
-78,medium,12197.559357,9847.841518,0.5532926992873293
-77,medium,12901.039869,10506.783182000001,0.5511422331282899
-76,medium,15851.039869,10847.259369999998,0.5937097238705498
-75,medium,15051.039869,11266.30698,0.57190566949464
-74,medium,16751.039869,11113.926023999999,0.6011505606474851
-73,medium,15651.039869,11240.346023999999,0.5820094186024851
-72,medium,14447.559357,11589.042578999999,0.5548941982718494
-71,medium,14847.559357,11589.042578999999,0.5616288883474605
-69,medium,14822.569357,11539.042578999999,0.5622785660067309
-68,medium,17561.449869,11282.829832,0.6088364851208666
-67,medium,15457.969357,10733.002579,0.5902022038270646
-66,medium,17561.449869,11478.092986,0.6047426420136048
-65,medium,20118.189211999997,13499.187249999999,0.5984461409337207
-63,medium,14662.969357,12973.061052,0.5305743675916941
-62,medium,14662.969357,13130.955785,0.5275602233972513
-61,medium,14662.969357,12945.245785,0.5311089210795603
-60,medium,14662.969357,12966.298415,0.530704232844698
-59,medium,18777.918700000002,12193.798415,0.6062924645177524
-55,medium,18861.2487,12110.468415,0.6089829837321243
-53,medium,16766.449869,13120.699872,0.5609919317933262
-50,medium,28717.729212000006,15891.346927999999,0.6437642672059158
-49,medium,19766.449869000004,16185.464571999999,0.5498024285031704
-48,medium,19766.449869000004,16722.221629,0.541714703701488
-47,medium,19415.969357,12810.090693,0.6024928063460243
-46,medium,19415.969357,12868.914220999999,0.601395055679578
-45,medium,22574.329357000002,12868.917749,0.6369148201768035
-44,medium,51141.19096600001,28248.273939,0.6441810765092977
-43,medium,36068.733533,6317.618717,0.8509515827231866
-38,medium,34613.186189,1137.3330190000004,0.9681869510094977
-37,medium,34613.186189,1644.4758750000003,0.954644734895006
-36,medium,41755.186189,31514.756532,0.5698815181007708
-35,medium,42185.186189,6056.324335,0.8744582358799277
-33,medium,48740.51618900001,9422.599718,0.8379969922335957
-32,medium,33229.096189,6150.475875,0.8438155735922117
-31,medium,51929.923533,25433.40454,0.6712472798998377
-30,medium,35169.583533,26477.07014,0.5705027189237941
-29,medium,34044.036189,20410.002904999998,0.6251884480090134
-28,medium,34144.036189,18290.714444999998,0.6511718998594828
-27,medium,34144.036189,18503.406749,0.6485412070099882
-25,medium,34144.036189,18703.406749,0.6460868168977898
-23,medium,36341.245272,16054.34598,0.6935935715891519
-22,medium,34144.045272,39425.059821999996,0.46410847635530983
-21,medium,50160.689980999996,52564.58597400001,0.48829939384123405
-20,medium,33876.599981,19027.933445,0.6403345382184451
-19,medium,84338.50079500001,37431.159027,0.6926068523003516
-18,medium,43621.456716,29647.706228,0.5953590154884137
-17,medium,93866.990795,36928.86487,0.7176602830246869
-16,medium,89202.538451,26804.267088,0.7689422877954454
-15,medium,96501.690795,68682.70045,0.5842058687728525
-14,medium,98592.12079500001,55377.642940000005,0.6403342994322482
-13,medium,42833.611716,53504.167256999994,0.44461904948010805
