day_offset,segment,agg_yes,agg_no,odds
-205,medium,7667.0,0.0,1.0
-199,medium,8867.0,100.0,0.9888479982156797
-193,medium,8767.0,200.0,0.9776959964313594
-192,medium,8767.0,0.0,1.0
-173,medium,7277.777776,577.777776,0.9264497880289447
-165,medium,23142.555551999998,16964.777651999997,0.5770155655647516
-164,medium,7167.0,19364.777651999997,0.2701289033100179
-163,medium,8287.0,16051.777651999999,0.34048546391642764
-159,medium,8087.0,13751.777775999999,0.37030460600626247
-157,medium,5854.0,16151.777775999999,0.26602104499957757
-156,medium,14387.0,17395.666542,0.4526681227639581
-155,medium,8225.67777,13228.278896,0.3834107571884848
-154,medium,9425.67777,13828.278896,0.40533651564688095
-153,medium,-0.0,16106.278772,-0.0
-152,medium,-0.0,13740.278896,-0.0
-149,medium,10734.67777,14451.278896,0.42621679662029166
-139,medium,2977.0,16807.269335999998,0.15047308290445527
-132,medium,-0.0,15145.969335999998,-0.0
-131,medium,24629.073322,16232.294178,0.6027471626347307
-115,medium,2935.264718,18488.294053999998,0.13701107034729965
-113,medium,6176.612488000001,14867.244054,0.2935114329292504
-112,medium,-0.0,12451.024178,-0.0
-111,medium,2365.994718,13417.024054,0.14990761603841044
-110,medium,2365.994718,13517.024054,0.14896379283836056
-109,medium,5542.994718,14877.364054,0.2714445314056111
-92,medium,5871.654718,14534.024054,0.2877461114430994
-89,medium,633.6177700000007,10694.690843,0.055932248285757456
-85,medium,-0.0,10728.024174999999,-0.0
-81,medium,-0.0,10894.69084,-0.0
-79,medium,-0.0,11311.360834,-0.0
-77,medium,2965.994718,12832.360702,0.18774072611666817
-76,medium,31153.96804,26053.047366,0.5445829994608057
-75,medium,-0.0,25041.920134,-0.0
-73,medium,-0.0,25743.920134,-0.0
-70,medium,-0.0,19598.886802,-0.0
-69,medium,5473.612488000001,40315.393337999994,0.11953988494093848
-66,medium,1154.984718,31679.553338000005,0.03517590885640446
-65,medium,-0.0,26764.243466,-0.0
-57,medium,-0.0,26655.763466,-0.0
-56,medium,5971.339156,37637.860005999995,0.13692842956866955
-51,medium,3495.454718,34702.860005999995,0.09150808728752126
-49,medium,3496.4020579999997,34703.792666,0.09152838312112892
-48,medium,12729.968756,44937.350964,0.22074840339050875
-45,medium,12375.110318000001,19234.761092,0.39149511737922
-40,medium,12731.827556,33939.070964,0.2728001379820017
-37,medium,12733.959076,33941.170964,0.27282107334435185
-34,medium,12734.214316,33941.420964,0.27282358857269745
-32,medium,12736.708996000001,33941.620964,0.2728612828889648
-31,medium,12739.273595999999,33944.150964,0.27288644130266865
-30,medium,12754.248835999999,33945.800964,0.27310996220822015
-29,medium,4247.257538,24623.291092,0.14711384921818163
-28,medium,11100.246623000003,28587.586357,0.27968890688977094
-27,medium,2807.2422730000003,13636.611092000001,0.17071681501217278
-23,medium,3562.2269910000005,28347.650964,0.11163398982670915
-22,medium,3167.2422730000003,13636.611092000001,0.18848309397872443
-20,medium,3648.3947780000003,18893.611092,0.16184871918853777
-18,medium,3507.6140899999996,18636.611092,0.1583985920108496
-17,medium,86296.113471,96385.899873,0.47238429165163515
-16,medium,3950.5589370000002,50386.236184,0.07270504136658576
-15,medium,104980.68987200002,107890.822427,0.4931645796011624
-14,medium,111277.47515400001,108769.52622,0.5056986664629376
-13,medium,7722.3441490000005,103461.07255499999,0.06945589889145921
-12,medium,7722.3583340000005,66717.610625,0.1037394083043387
-11,medium,7722.367027,66717.610625,0.10373951296843949
-10,medium,7722.378329,66517.610625,0.10401912012385778
-9,medium,8493.609131,83379.172718,0.09244967834934943
-8,medium,65917.237804,90668.87529400001,0.4209647745885707
-7,medium,36714.713093000006,53959.493783,0.404908014725826
-2,medium,56976.113378,46970.151082,0.5481304563852337
-1,medium,11693.625496,61533.412496,0.15968999725589775
0,medium,7798.268548000001,30031.088376,0.20614330197753275
