day_offset,segment,agg_yes,agg_no,odds
-232,medium,2244.0,100.0,0.9573378839590444
-231,medium,1472.0,52.371790000000004,0.9656436898507549
-230,medium,1472.0,244.67948,0.8574693279376765
-229,medium,2687.9605199999996,-0.0,1.0
-228,medium,2686.67847,1.28205,0.9995230398696482
-224,medium,3102.8579609999997,114.102559,0.964530942083181
-219,medium,7191.217961,4836.142559,0.5979049143028432
-218,medium,4920.217961,5736.142559,0.4617165449466231
-205,medium,5220.217961,5636.142559,0.4808441974069594
-178,medium,7968.217961,100.0,0.9876056893252787
-177,medium,6273.902173,-0.0,1.0
-159,medium,6202.639017,-0.0,1.0
-156,medium,7134.729017000001,100.0,0.9861777822272234
-132,medium,6934.729017000001,1000.0,0.8739717515421737
-131,medium,15300.963229,3702.7825589999998,0.8051551204532457
-129,medium,12866.413229,1000.0,0.927883297325323
-127,medium,13798.413229,1000.0,0.9324251874491293
-125,medium,12500.323229,-0.0,1.0
-124,medium,12470.323229,-0.0,1.0
-122,medium,12462.196088,-0.0,1.0
-121,medium,12432.196088,-0.0,1.0
-119,medium,29479.2,14952.206471,0.6634766337914786
-118,medium,11389.23,7764.955554,0.5946078974692593
-116,medium,11036.73,7167.455554,0.6062743080299411
-115,medium,9887.68,6167.455554,0.6158577712871798
-114,medium,8887.68,8817.678054,0.5019768576773906
-113,medium,10011.99,9815.158054,0.5049636978919995
-112,medium,10014.5,9012.648054000001,0.5263269078255105
-111,medium,18266.534079,28815.775922,0.38797021808428744
-110,medium,9548.93,14954.983363,0.38969000006417465
-109,medium,9550.18,15566.715952999999,0.38022930930122806
-108,medium,9477.67,14410.236382000001,0.39675599227656083
-107,medium,9677.67,14726.731259,0.3965542894206844
-106,medium,9677.67,14170.236382000001,0.4058079499718492
-105,medium,10077.67,14970.236382000001,0.4023358218570333
-103,medium,18507.190000000002,26121.007034000002,0.4146972369486559
-102,medium,11477.014079,14531.224475,0.44128378994873774
-101,medium,27806.540743,32321.007034,0.4624592515585105
-98,medium,20371.020743,21152.709168999998,0.4905874493011996
-92,medium,22067.613332,38061.548536,0.36700350788930775
-91,medium,32312.196526,32296.3952,0.500122285021062
-90,medium,15403.779692,11198.022064,0.5790502400284108
-89,medium,6301.950473000001,11770.516941,0.34870448669992554
-88,medium,15659.779692,11070.022064,0.5858546888955086
-87,medium,15808.699691999998,10870.022064,0.5925583630499331
-80,medium,6569.916988,14703.460243000001,0.30883281562018194
-79,medium,36719.597103,39602.192802,0.4811155129970874
-75,medium,29309.077103,32023.160243,0.47787392684952323
-73,medium,28486.390473,24413.728108,0.5384938869159999
-72,medium,43250.647884000005,49197.978619,0.46783440187287695
-71,medium,27103.800473,13055.956715,0.6748995106249993
-70,medium,40758.320473,29379.040439999997,0.5811213872668742
-67,medium,16569.370473,21868.239647000002,0.4310718179738902
-65,medium,17624.400472999998,16530.346665999998,0.5160161309721825
-64,medium,16599.370473,22268.239647000002,0.42707463674126206
-63,medium,27969.199692,26525.861358000002,0.5132428361964372
-62,medium,28165.199692,11220.607294,0.715110387404568
-61,medium,28665.920473,11020.607294,0.7223086041010668
-59,medium,30351.920473,20940.157273,0.5917467532374819
-58,medium,36876.950473000004,44268.59448299999,0.45445440649879176
-57,medium,28685.759692,30031.460763,0.48854083128789
-56,medium,30257.860473,30296.712756999998,0.4996791961207255
-52,medium,55382.406207,53916.19745099999,0.5067073535568114
-51,medium,51807.436207,61776.92212799999,0.4561141777479761
-50,medium,31385.930473,29199.49091,0.5180442713204724
-49,medium,46369.539692,31660.422607999997,0.5942530064762058
-48,medium,47414.229692,5912.433725999999,0.889128001884245
-47,medium,47421.829692,5912.433725999999,0.8891438008684566
-46,medium,48396.589691999994,19500.345466,0.7127949086270007
-45,medium,35246.200473,14256.587303999999,0.7120043548209238
-44,medium,58172.039692,23190.475177,0.7149734713296598
-43,medium,68214.089692,65308.61674799999,0.5108800705942311
-42,medium,50055.870473,45392.50548099999,0.5244287288567773
-41,medium,64431.709692000004,31002.634732,0.6751417435817435
-40,medium,76467.31635600001,53533.848134,0.5882048569025091
-39,medium,69362.753024,10533.061903,0.8681650357703473
-38,medium,51886.513805,14545.414413999999,0.7810478364251378
-37,medium,54140.463805,16013.414414,0.7717387146579298
-36,medium,57548.651404000004,31359.672306999997,0.6472808056877122
-35,medium,77760.253622,20547.287538999997,0.7909897115079977
-34,medium,50975.265529000004,11265.282325,0.8190041265153161
-33,medium,81331.394748,18571.554914,0.8141040382007455
-32,medium,102431.23101300001,46176.12931,0.6892742781404934
-31,medium,139523.775693,93042.637216,0.5999308926332098
-30,medium,94080.158282,39617.174415,0.7036801436810641
-29,medium,77804.29131900001,38592.45097,0.6684404545087758
-28,medium,75835.22035100001,37905.927268,0.6667351432484758
-27,medium,76157.80099500001,35206.988102,0.6838588894436435
-26,medium,77314.460995,55818.63666599999,0.5807305797981782
-25,medium,103543.128556,55976.852037,0.6490919079295804
-24,medium,117741.137296,52731.886797,0.6906731309686124
-23,medium,101501.880364,68225.523697,0.5980288270214764
-22,medium,93394.661909,66268.840917,0.5849468429286608
-21,medium,153513.923966,106994.51393099998,0.5892858028141739
-20,medium,112589.26112499999,72621.43722899999,0.6078982592560825
-19,medium,136173.50162300002,109264.80872099998,0.5548176298644769
-18,medium,126982.469567,69545.28036399998,0.646129972034906
-17,medium,110663.56818199999,115055.30550799999,0.49027166569147523
-16,medium,175919.87161200002,149180.43992499998,0.5411248939759271
-15,medium,318220.750422,349118.74242699996,0.4768498700166159
-14,medium,1043618.576873,1097681.936553,0.48737604569255416
-13,medium,617596.9430750001,498321.64244200004,0.5534426535147904
-12,medium,637151.5253050001,527194.010316,0.547218592602047
-11,medium,788984.389483,1093672.535485,0.4190802790563717
-10,medium,679590.695719,855002.6236629998,0.44284742226864365
-9,medium,1153933.3495439999,915889.440459,0.5575034515598929
-8,medium,1169316.7245229997,1005763.5629690001,0.5375970400942272
-7,medium,988533.3586479999,737212.483061,0.5728151473736474
-6,medium,598043.907711,639578.7218780001,0.4832199197178572
-5,medium,1021870.2641149998,944075.6804899999,0.519785534754525
-4,medium,788659.344101,861678.8612279999,0.4778774081302798
-3,medium,731986.64264,804818.918944,0.47630400418744867
-2,medium,665166.515809,699673.849129,0.48735847275385663
-1,medium,878901.3285099999,1039291.161294,0.45819245627419053
0,medium,467585.80700499995,333041.541577,0.5840242752550814
