day_offset,segment,agg_yes,agg_no,odds
-216,medium,0.0,1222.0,0.0
-214,medium,-0.0,2833.6433319999996,-0.0
-213,medium,-0.0,2410.4805429999997,-0.0
-209,medium,-0.0,2609.3105429999996,-0.0
-205,medium,-0.0,2649.3105429999996,-0.0
-183,medium,550.8,1947.6905429999997,0.22045310579348468
-176,medium,308.79999999999995,1989.6905429999997,0.134349040913152
-156,medium,-0.0,1567.115836,-0.0
-143,medium,-0.0,1407.115836,-0.0
-133,medium,-0.0,991.7858359999998,-0.0
-132,medium,301.65714399999996,1420.928692,0.17511878810084444
-126,medium,-0.0,1123.0186919999999,-0.0
-124,medium,-0.0,561.2023339999998,-0.0
-117,medium,1707.303854,1268.5061879999998,0.5737274321624861
-114,medium,1107.303854,516.6861879999999,0.6818415294199199
-112,medium,1107.303854,638.5061879999998,0.6342636526087757
-111,medium,1107.303854,728.5061879999998,0.6031690799521185
-104,medium,1095.960998,2963.6861879999997,0.26996459243539794
-100,medium,794.303854,2493.506188,0.24159055537065605
-99,medium,795.427444,2535.172853,0.23882404763984205
-98,medium,795.427444,2035.562853,0.280971448345448
-97,medium,795.427444,1922.458236,0.29266405495024356
-95,medium,795.427444,1972.458236,0.28737727491693227
-93,medium,2470.217444,5496.5482360000005,0.3100652815986926
-91,medium,2394.307444,1472.458236,0.6192015865828209
-90,medium,6248.067762999999,16871.824586,0.2702464037757618
-89,medium,4972.157763,7516.014901,0.3981493447262606
-87,medium,3982.500619,10861.614900999999,0.2682881720796525
-85,medium,3850.840619,9514.570455,0.2881198788184762
-84,medium,4067.840619,10864.511629999999,0.2724179386588217
-83,medium,4067.840619,11137.117183999999,0.26753383151102195
-82,medium,4067.840619,10922.507183999998,0.27136399184720106
-80,medium,3067.840619,10137.117183999999,0.23232490892951022
-77,medium,2496.5306189999997,19844.597184,0.1117459530697802
-76,medium,297.84061900000006,14825.617183999999,0.019693949814897374
-74,medium,22907.840619,28421.007184,0.44629563295323205
-73,medium,26337.840619,29420.797184,0.472354448687463
-72,medium,30680.840619000002,37015.687183999995,0.4532114366084277
-71,medium,7055.8406190000005,32462.367184,0.17854657413042807
-70,medium,34645.840619,41612.687183999995,0.4543208689853181
-69,medium,8570.840619,38281.925275999994,0.1829313692644698
-68,medium,34895.833119,38666.715276,0.47436955190328683
-67,medium,11595.023119,27272.16623,0.298324198718998
-66,medium,33968.613119,33934.075276,0.5002543186714427
-65,medium,29683.143119,33319.215276,0.47114336471181556
-64,medium,21547.413119,28756.625276,0.4283436043405557
-63,medium,21017.413118999997,29370.265276,0.41711413957674165
-62,medium,15100.003118999999,17883.401941999997,0.45780607220733666
-61,medium,9602.250263,20075.474282,0.32355075768832
-60,medium,8390.593119,13722.171387999999,0.37944568696256314
-59,medium,18595.190263,29590.933289999997,0.3859034280387199
-58,medium,11154.263119,24091.910433999998,0.3164673493486386
-57,medium,7390.593119,17344.251387999997,0.2987927867065609
-56,medium,7390.593119,17358.537100999998,0.29862031729210403
-54,medium,22653.013119,51807.196146999995,0.30422978047341875
-53,medium,25779.603119,51536.719957,0.33343027828236604
-51,medium,18152.543119,40537.499957,0.3092951064202419
-50,medium,23477.543118999998,43629.219956999994,0.3498536070412326
-49,medium,22078.133119,65984.447101,0.2507095870214555
-48,medium,24329.453118999998,80178.254479,0.23280056254401663
-47,medium,38624.846911,89094.42915099999,0.302419870374539
-46,medium,23419.65358,71241.18826499999,0.2474059296699254
-45,medium,34926.085485999996,89360.86997900001,0.28101167459875065
-44,medium,30741.915342,66037.632979,0.31764888217947357
-43,medium,22314.9719,61325.771861,0.26679547426986205
-42,medium,70930.815151,124957.35146,0.36209851967146295
-41,medium,30355.168928,88515.49627199999,0.2553629936951005
-40,medium,67053.795151,131382.53267,0.3379108850043126
-39,medium,48634.24576099999,132015.38193600002,0.26921863267038243
-38,medium,49671.072432999994,110662.467792,0.30979838880433475
-37,medium,28393.157521,95734.111194,0.22874230469206214
-36,medium,44275.303708,123958.991384,0.2631764449917169
-35,medium,47460.823708,115923.676993,0.29048547141478953
-34,medium,68200.52370800001,122590.19775,0.3574624760932802
-33,medium,64315.51979400001,111998.21227399999,0.3647788464326479
-31,medium,46510.42265000001,93142.25368299999,0.33304354682825055
-30,medium,41153.148837,90197.55297300001,0.3133074149579224
-29,medium,33389.479794,79107.509207,0.29680331971998997
-28,medium,33389.479794,83458.926262,0.2857504087646517
-27,medium,52354.17265,110520.969113,0.3214374648169497
-26,medium,29408.65265,77962.888978,0.2738961572507673
-25,medium,29408.65265,78081.638978,0.2735935702154089
-24,medium,72342.15038,129355.437536,0.3586664130566003
-23,medium,54185.889794,107162.382717,0.3358318558403274
-22,medium,57641.370245,130866.65276,0.3057767479926895
-21,medium,58120.82889999999,164649.02248499996,0.26090078409916073
-20,medium,81533.309568,177567.107617,0.3146784187143338
-19,medium,71229.985158,167235.64294,0.2987012666191342
-18,medium,62116.928214,168741.589492,0.2690692499945198
-17,medium,62598.928214,150264.328752,0.2940804773272765
-16,medium,94174.29294099999,165561.55407399999,0.3625771876438809
-15,medium,68992.05866899999,190444.20069799997,0.26593067151574773
-14,medium,76025.254981,184276.47037199998,0.2920658896052293
-13,medium,58369.890687,163439.614492,0.26315324331973766
-12,medium,53319.149367,164848.598234,0.24439519568453205
-11,medium,114241.761693,237465.620595,0.32482048272575553
-10,medium,75961.433999,238391.52690700002,0.2416437681390713
-9,medium,56430.673007,194980.42395899998,0.22445577656674198
-8,medium,61587.960151,190049.940603,0.24474834659826578
-7,medium,63736.219478,174243.501249,0.26782206182650087
-6,medium,123683.256852,352006.01734200004,0.26000850463060543
-5,medium,96251.588802,237149.93142199997,0.2886957106174326
-4,medium,145844.407524,339525.180413,0.3004811408640014
-3,medium,115696.844943,316480.171295,0.26770707510111025
-2,medium,121837.45067100001,349413.78382,0.25854033210670957
-1,medium,136721.854505,304274.262895,0.3100296104897181
0,medium,122883.654265,197828.477137,0.38315873405789624
