day_offset,segment,agg_yes,agg_no,odds
-218,all_users,820.0,410.0,0.6666666666666666
-217,all_users,1230.0,-0.0,1.0
-216,all_users,5269.0,5064.0,0.5099196748282203
-213,all_users,2346.352932,617.352932,0.791695613421373
-205,all_users,2344.11764,617.470572,0.7915069456658144
-204,all_users,2749.0,617.470572,0.8165822160645936
-183,all_users,760.764,3288.2345720000003,0.18788942166117414
-178,all_users,2256.112828,2355.5833999999995,0.4892154028493831
-169,all_users,5725.299046,6738.175923,0.45936619283469116
-160,all_users,2289.5330000000004,4350.295509000001,0.3448180923493185
-157,all_users,880.072492,1681.8450010000004,0.34352101283692665
-119,all_users,877.0840000000001,1701.8450010000004,0.3400962181044549
-117,all_users,5286.320782,5496.081783,0.4902729934383599
-116,all_users,5131.054957,2675.9026350000004,0.6572413000242157
-114,all_users,2487.764,6177.666049,0.28709065631279207
-111,all_users,2507.764,4397.6666350000005,0.36315823480862464
-109,all_users,2490.0111880000004,4399.913823,0.36139888083318944
-108,all_users,3283.2696140000003,5195.4194370000005,0.3872378848016324
-104,all_users,3072.3793830000004,7300.430203,0.2961954866256041
-103,all_users,2883.6153350000004,4837.435389,0.373474471037551
-102,all_users,3272.3793830000004,5237.435389,0.3845417874155346
-100,all_users,3072.3793830000004,5437.435389,0.3610395132346601
-99,all_users,3074.6265710000002,5039.6825770000005,0.37891415213799545
-94,all_users,3072.386571,5037.442577000001,0.3788472623689852
-93,all_users,5307.157583,7272.220777,0.4218934697024249
-92,all_users,3086.873755,6686.715149000001,0.3158383051835387
-91,all_users,2029.615383,8635.426892,0.19030542314470106
-90,all_users,4684.463383,8418.712472,0.3575059538876959
-89,all_users,4867.519383000001,9582.514215,0.3368517692355888
-88,all_users,7438.0319660000005,5741.9211430000005,0.5643443420842598
-87,all_users,8342.295907,8145.3232929999995,0.5059733492025337
-86,all_users,6957.144083,5579.831999000001,0.5549299956780439
-85,all_users,12665.234778999999,9396.659954,0.5740773823952412
-83,all_users,5763.926864,7669.907154000001,0.4290604496286698
-82,all_users,5632.973029000001,6853.031862000001,0.4511429458961919
-77,all_users,15543.635016,17063.392082,0.47669586587221846
-75,all_users,9799.048245,7070.169047,0.5808833969817359
-74,all_users,26826.238373,26254.929527,0.50538146454385
-73,all_users,12057.833029,16934.361125,0.4158992922354034
-72,all_users,31719.931203,25923.817955,0.550275297258277
-71,all_users,21641.116475,15045.165570000001,0.5898966934958044
-70,all_users,14334.926733,12191.986548,0.5403918119364247
-69,all_users,13024.605755,9480.776681000001,0.578732922759207
-68,all_users,23558.319431,28368.789855000003,0.4536805486561434
-67,all_users,16757.525935,16185.858351,0.5086765157313079
-66,all_users,37585.910405,26660.10257,0.5850310184948874
-65,all_users,26061.237309,26795.658419,0.4930527408024554
-63,all_users,11466.942811,16584.833268,0.4087777821520661
-62,all_users,11356.299283,16274.186211999999,0.41100614337938546
