day_offset,segment,agg_yes,agg_no,odds
-218,small,-0.0,615.0,-0.0
-213,small,-0.0,2.816896,-0.0
-205,small,1000.0,4615.0,0.17809439002671415
-203,small,86.344824,283.172412,0.23366927327850004
-202,small,-0.0,1205.0,-0.0
-194,small,100.0,147.172412,0.4045758957921242
-186,small,94.206894,-0.0,1.0
-185,small,144.896546,-0.0,1.0
-174,small,2715.8700019999997,819.885002,0.7681160032093671
-169,small,47.103447,47.08690099999998,0.5000878327787898
-168,small,133.349876,686.551667,0.16264132826494754
-167,small,2896.310114,113.76023599999999,0.9622067849676669
-140,small,100.0,150.0,0.4
-139,small,66.666664,719.884999,0.08475815020939063
-132,small,14342.769716,2149.999856,0.8696398535968098
-131,small,12601.519714,142.32972,0.9888314970498419
-130,small,1382.5400019999997,-0.0,1.0
-122,small,5.88235,-0.0,1.0
-114,small,100.0,50.0,0.6666666666666666
-111,small,-0.0,500.0,-0.0
-109,small,250.0,1705.0,0.1278772378516624
-107,small,60.0,1545.86956,0.03736293500700019
-106,small,-0.0,2121.86956,-0.0
-105,small,859.185604,3625.030302,0.1916021935630679
-104,small,246.875,4247.333182,0.054931812235306014
-103,small,640.1653200000001,1798.274733,0.2625306778456202
-102,small,1536.738537,5777.960218,0.2100891080373685
-101,small,239.96435499999998,3967.271878,0.05703610201818682
-100,small,834.644355,3696.633734,0.18419623307299512
-99,small,-0.0,499.990989,-0.0
-98,small,1222.337258,2319.3892210000004,0.34512469137512974
-97,small,1269.072745,275.9937340000001,0.8213709651000718
-94,small,367.632745,2396.433734,0.1330043064423705
-92,small,1929.4299999999998,6763.790989,0.22194650319385778
-91,small,300.0,1619.492442,0.15629131609782082
-90,small,4602.43,1980.0,0.6991992318946043
-89,small,794.4545039999999,251.409008,0.7596158532013114
-86,small,1706.7647040000002,10.0,0.9941750899370774
-85,small,1737.865296,4339.26,0.28596831747798146
-83,small,2560.705296,2389.5299999999997,0.5172896120855424
-82,small,4111.3350949999995,600.0,0.8726475642463296
-80,small,1472.5882239999999,292.302349,0.8343793357663314
-78,small,191.176468,-0.0,1.0
-77,small,290.949397,1619.4924419999998,0.1522942970890411
-76,small,176.470586,-0.0,1.0
-75,small,2602.941172,541.385293,0.8278215385627904
-74,small,367.738554,-0.0,1.0
-73,small,55.555552,-0.0,1.0
-72,small,745.117056,357.53,0.6757529999699197
-71,small,236.0,-0.0,1.0
-70,small,6210.283525999999,2316.5205859999996,0.7283248734728293
-69,small,2434.991768,4536.287642,0.3492890794919379
-68,small,500.0,250.0,0.6666666666666666
-67,small,1102.631576,50.0,0.9566210044552866
-66,small,3669.0,4457.1800840000005,0.4515036538784143
-65,small,1132.5279620000001,2617.625293,0.30199511459699
-64,small,117.647056,0.0,1.0
-63,small,1302.614368,88.235293,0.9365601506229221
-62,small,177.76999999999998,0.005293000000008874,0.9999702264588589
-61,small,1058.823526,0.0,1.0
-60,small,1411.764696,0.0,1.0
-58,small,47.05882,0.0,1.0
-57,small,2542.889859,1781.4813090000002,0.5880369099251196
-53,small,3549.99222,8633.663326,0.2913733244178504
-52,small,117.647056,58.823528,0.6666666666666667
-50,small,3092.183154,11218.388040000002,0.21607685060792406
-49,small,4432.748532,5934.352398999999,0.4275784099627186
-48,small,5000.0,-0.0,1.0
-47,small,52.631576,3851.5831559999997,0.013480707290154246
-46,small,8245.77,8667.713156,0.48752642633961774
-45,small,315.789468,1265.0,0.19976693569418444
-43,small,6000.0,1157.9,0.8382346777686194
-41,small,926.315786,1621.0578930000001,0.36363561170328
-40,small,0.003154000000009205,-0.0,1.0
-39,small,1020.0,-0.0,1.0
-36,small,8122.0,125.0,0.9848429732023766
-35,small,2203.78947,-0.0,1.0
-34,small,34974.63,21830.897641999996,0.6156906106112989
-33,small,10440.714282,3884.12,0.7288541058460533
-32,small,1694.0,5670.575105,0.23002005897799857
-31,small,-0.0,2395.42,-0.0
-30,small,11649.502115000001,20024.911068999998,0.36778904307798277
-29,small,7015.044102000001,2654.965293,0.7254433595097867
-28,small,490.582272,-0.0,1.0
-27,small,9745.090906,3456.881903,0.7381541415807653
-26,small,0.0,40.0,0.0
-24,small,3902.212606,205.005293,0.9500865797624437
-23,small,10491.013330999998,9596.460912,0.522266423547792
-22,small,13665.52,17214.54994,0.4425352671335303
-21,small,5132.571335999999,8865.155582,0.36667177221466635
-20,small,8775.445178000002,10794.574404,0.4484126927533292
-19,small,921.2325679999999,7187.40726,0.11361123289986139
-18,small,4745.884706999999,9780.346783,0.3267113504467496
-17,small,1780.522769,10297.59,0.14741729962730074
-16,small,14768.77,31585.920585999997,0.31860357200745615
-15,small,6154.853628000001,4264.738662000001,0.5907000443680508
-14,small,1646.4650019999995,-0.0,1.0
-13,small,11340.359169,3726.4392989999997,0.7526721216246111
-12,small,4042.844753,100.0,0.9758619967770732
-11,small,10.0,2296.008822,0.004336496853176393
-10,small,14636.371843,10227.923203000002,0.5886501835633019
-9,small,9190.589944,21066.781926000007,0.3037471325496188
-8,small,17707.885789,7383.958228,0.7057227749783043
-7,small,18899.951826000004,13379.577960999999,0.5855088952879238
-6,small,15041.780146,6859.982346000001,0.6867840043235913
-5,small,19601.720343999998,5962.1378890000005,0.7667747241179906
-4,small,4449.005413,2583.629228,0.6326228561714927
-3,small,26001.05417,1489.937383,0.9458027048559692
-2,small,37225.05913099999,7884.654476999999,0.8252116041897971
-1,small,119418.38214199999,70739.40541999997,0.6279962744258594
0,small,2148.480246,14562.220162000003,0.12856913196597353
