Year_Date,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-04-03,43618.0,6954.0,43618.0,6954.0,50572.0,0.8624930791742467,0.1375069208257534,All
2024-04-04,33818.0,17920.0,33818.0,17920.0,51738.0,0.6536394912830028,0.3463605087169972,All
2024-04-05,35342.0,2354.0,35342.0,2354.0,37696.0,0.9375530560271647,0.06244694397283532,All
2024-04-06,24560.0,12530.0,24560.0,12530.0,37090.0,0.6621730924777568,0.3378269075222432,All
2024-04-07,18290.0,23850.0,18290.0,23850.0,42140.0,0.4340294257237779,0.5659705742762221,All
2024-04-08,41619.0,19890.0,41619.0,19890.0,61509.0,0.6766326878993318,0.3233673121006682,All
2024-04-09,31077.0,32956.0,31077.0,32956.0,64033.0,0.4853278778130027,0.5146721221869973,All
2024-04-10,82607.0,33914.0,82607.0,33914.0,116521.0,0.7089451686820402,0.29105483131795984,All
2024-04-11,31227.0,1700.0,31227.0,1700.0,32927.0,0.9483706380781729,0.05162936192182707,All
2024-04-12,23498.0,32572.0,23498.0,32572.0,56070.0,0.4190832887462101,0.5809167112537899,All
2024-04-13,17876.0,38.0,17876.0,38.0,17914.0,0.997878754047114,0.002121245952886011,All
2024-04-14,16622.0,24.0,16622.0,24.0,16646.0,0.998558212183107,0.0014417878168929473,All
2024-04-15,31741.0,6294.0,31741.0,6294.0,38035.0,0.8345208360720389,0.16547916392796108,All
2024-04-16,27271.0,2262.0,27271.0,2262.0,29533.0,0.9234077134053432,0.07659228659465682,All
2024-04-17,38878.0,34224.0,38878.0,34224.0,73102.0,0.5318322344121912,0.4681677655878088,All
2024-04-18,34665.0,74644.0,34665.0,74644.0,109309.0,0.3171285072592376,0.6828714927407624,All
2024-04-19,37896.0,114622.0,37896.0,114622.0,152518.0,0.24846903316329877,0.7515309668367013,All
2024-04-20,16172.0,2216.0,16172.0,2216.0,18388.0,0.8794866217098107,0.12051337829018925,All
2024-04-21,11111.0,8114.0,11111.0,8114.0,19225.0,0.5779453836150845,0.4220546163849155,All
2024-04-22,77504.0,101434.0,77504.0,101434.0,178938.0,0.4331332640355878,0.5668667359644123,All
2024-04-23,71944.0,103076.0,71944.0,103076.0,175020.0,0.41106159296080447,0.5889384070391955,All
2024-04-24,62288.0,13276.0,62288.0,13276.0,75564.0,0.8243078714731883,0.1756921285268117,All
2024-04-25,28290.0,27280.0,28290.0,27280.0,55570.0,0.5090876372143243,0.49091236278567574,All
2024-04-26,44858.0,5482.0,44858.0,5482.0,50340.0,0.8911005164878824,0.1088994835121176,All
2024-04-27,14827.0,3616.0,14827.0,3616.0,18443.0,0.8039364528547417,0.19606354714525837,All
2024-04-28,23925.0,4534.0,23925.0,4534.0,28459.0,0.8406830879510875,0.15931691204891246,All
2024-04-29,50642.0,36050.0,50642.0,36050.0,86692.0,0.5841600147649149,0.41583998523508514,All
2024-04-30,58416.0,13608.0,58416.0,13608.0,72024.0,0.8110629790069976,0.18893702099300233,All
2024-05-01,52463.0,50794.0,52463.0,50794.0,103257.0,0.5080817765381523,0.4919182234618476,All
2024-05-02,43807.0,20840.0,43807.0,20840.0,64647.0,0.6776339195941034,0.32236608040589665,All
2024-05-03,39133.0,75278.0,39133.0,75278.0,114411.0,0.3420387899764883,0.6579612100235117,All
2024-05-04,19151.0,716.0,19151.0,716.0,19867.0,0.9639603362359692,0.0360396637640308,All
2024-05-05,7389.0,21200.0,7389.0,21200.0,28589.0,0.2584560495295393,0.7415439504704606,All
2024-05-06,31494.0,8428.0,31494.0,8428.0,39922.0,0.7888883322478834,0.21111166775211662,All
2024-05-07,29127.0,47376.0,29127.0,47376.0,76503.0,0.38073016744441396,0.6192698325555861,All
2024-05-08,108480.0,5646.0,108480.0,5646.0,114126.0,0.9505283633878345,0.0494716366121655,All
2024-05-09,28771.0,7736.0,28771.0,7736.0,36507.0,0.7880954337524311,0.21190456624756895,All
2024-05-10,36435.0,96134.0,36435.0,96134.0,132569.0,0.2748380088859386,0.7251619911140613,All
