Year_Month,DEM,REP,Period_DEM,Period_REP,Total_Period,Dem_Ratio,Rep_Ratio,Segment
2024-04,1030582,735434,1030582,735434,1766016,0.5835632293252156,0.41643677067478435,All
2024-05,1138941,1024920,1138941,1024920,2163861,0.5263466553535555,0.4736533446464445,All
2024-06,1561413,1219554,1561413,1219554,2780967,0.561464051892741,0.4385359481072591,All
2024-07,1943248,858828,1943248,858828,2802076,0.6935029599482669,0.30649704005173306,All
2024-08,2475073,1528776,2475073,1528776,4003849,0.6181734126336932,0.38182658736630676,All
2024-09,3385350,2523442,3385350,2523442,5908792,0.5729343662799435,0.42706563372005646,All
2024-10,5912807,4035262,5912807,4035262,9948069,0.5943673088717016,0.40563269112829836,All
2024-11,574549,355028,574549,355028,929577,0.6180757484318136,0.3819242515681864,All
2024-04,49841,500,49841,500,50341,0.9900677380266582,0.00993226197334181,Small
2024-05,73323,150,73323,150,73473,0.9979584337103425,0.002041566289657425,Small
2024-06,96213,600,96213,600,96813,0.9938024852034334,0.006197514796566577,Small
2024-07,110514,2278,110514,2278,112792,0.9798035321654018,0.0201964678345982,Small
2024-08,159635,10998,159635,10998,170633,0.9355458791675701,0.06445412083242984,Small
2024-09,277051,10428,277051,10428,287479,0.9637260460764091,0.03627395392359094,Small
2024-10,607871,71904,607871,71904,679775,0.8942238240594315,0.10577617594056857,Small
2024-11,98778,6544,98778,6544,105322,0.9378667324965344,0.06213326750346556,Small
2024-04,179044,15530,179044,15530,194574,0.9201846084266141,0.07981539157338596,Medium
2024-05,205474,18128,205474,18128,223602,0.918927379898212,0.08107262010178799,Medium
2024-06,269206,30952,269206,30952,300158,0.8968809760192965,0.1031190239807035,Medium
2024-07,340863,30522,340863,30522,371385,0.9178157437699422,0.08218425623005776,Medium
2024-08,466116,75718,466116,75718,541834,0.8602560931945946,0.13974390680540535,Medium
2024-09,686919,150854,686919,150854,837773,0.8199345168679344,0.1800654831320656,Medium
2024-10,1319242,372376,1319242,372376,1691618,0.7798699233514895,0.22013007664851048,Medium
2024-11,140334,38650,140334,38650,178984,0.7840589102936575,0.21594108970634246,Medium
2024-04,801637,719404,801637,719404,1521041,0.5270318157104247,0.4729681842895754,Large
2024-05,859886,986842,859886,986842,1846728,0.4656267734068038,0.5343732265931962,Large
2024-06,1195559,1184002,1195559,1184002,2379561,0.5024283891020235,0.4975716108979766,Large
2024-07,1489831,809808,1489831,809808,2299639,0.6478542936521776,0.35214570634782244,Large
2024-08,1848853,1436060,1848853,1436060,3284913,0.5628316488138346,0.43716835118616537,Large
2024-09,2419561,2343820,2419561,2343820,4763381,0.507950340314999,0.49204965968500103,Large
2024-10,3967270,3547846,3967270,3547846,7515116,0.5279053576817709,0.472094642318229,Large
2024-11,333387,309334,333387,309334,642721,0.518711851643248,0.481288148356752,Large
