Year_Month,DEM,REP,Cumulative_DEM,Cumulative_REP,Total_Cumulative,Dem_Ratio,Rep_Ratio,Segment
2024-04,1030582,735434,1030582,735434,1766016,0.5835632293252156,0.4164367706747843,All
2024-05,1138941,1024920,2169523,1760354,3929877,0.5520587540017156,0.4479412459982844,All
2024-06,1561413,1219554,3730936,2979908,6710844,0.5559562999825357,0.4440437000174643,All
2024-07,1943248,858828,5674184,3838736,9512920,0.5964713253133633,0.4035286746866367,All
2024-08,2475073,1528776,8149257,5367512,13516769,0.6028997758266047,0.3971002241733953,All
2024-09,3385350,2523442,11534607,7890954,19425561,0.5937850134675647,0.4062149865324352,All
2024-10,5912807,4035262,17447414,11926216,29373630,0.5939822214687119,0.4060177785312881,All
2024-11,574549,355028,18021963,12281244,30303207,0.5947213111800345,0.4052786888199655,All
2024-04,49841,500,49841,500,50341,0.9900677380266582,0.00993226197334181,Small
2024-05,73323,150,123164,650,123814,0.9947501898008303,0.005249810199169722,Small
2024-06,96213,600,219377,1250,220627,0.9943343289805872,0.005665671019412856,Small
2024-07,110514,2278,329891,3528,333419,0.989418719389117,0.010581280610883002,Small
2024-08,159635,10998,489526,14526,504052,0.9711815447612548,0.028818455238745207,Small
2024-09,277051,10428,766577,24954,791531,0.9684737552919596,0.031526244708040496,Small
2024-10,607871,71904,1374448,96858,1471306,0.9341686909453234,0.06583130905467659,Small
2024-11,98778,6544,1473226,103402,1576628,0.934415727743006,0.06558427225699404,Small
2024-04,179044,15530,179044,15530,194574,0.9201846084266141,0.07981539157338596,Medium
2024-05,205474,18128,384518,33658,418176,0.919512358432813,0.08048764156718702,Medium
2024-06,269206,30952,653724,64610,718334,0.9100557679296817,0.08994423207031826,Medium
2024-07,340863,30522,994587,95132,1089719,0.9127004301108818,0.0872995698891182,Medium
2024-08,466116,75718,1460703,170850,1631553,0.8952838185458885,0.10471618145411152,Medium
2024-09,686919,150854,2147622,321704,2469326,0.869719915474911,0.13028008452508905,Medium
2024-10,1319242,372376,3466864,694080,4160944,0.8331916988068092,0.1668083011931908,Medium
2024-11,140334,38650,3607198,732730,4339928,0.8311654018223343,0.1688345981776656,Medium
2024-04,801637,719404,801637,719404,1521041,0.5270318157104247,0.4729681842895754,Large
2024-05,859886,986842,1661523,1706246,3367769,0.4933601443566943,0.5066398556433057,Large
2024-06,1195559,1184002,2857082,2890248,5747330,0.49711466019873574,0.5028853398012643,Large
2024-07,1489831,809808,4346913,3700056,8046969,0.5401925867988308,0.4598074132011693,Large
2024-08,1848853,1436060,6195766,5136116,11331882,0.5467552521284638,0.45324474787153624,Large
2024-09,2419561,2343820,8615327,7479936,16095263,0.5352709676132661,0.4647290323867339,Large
2024-10,3967270,3547846,12582597,11027782,23610379,0.5329265150720367,0.46707348492796325,Large
2024-11,333387,309334,12915984,11337116,24253100,0.5325498183737337,0.46745018162626634,Large
